Entry,Distance,PS1,AS1,PS2,AS2
GLS,17.401820375911615,2.5504402132032777,2.244777050226104,4.767047571721675,5.778680302166331
AK1,30.744933570026227,5.539756426266797,6.6314820737694,4.963868673841718,1.116657791289221
MYL1,28.794087397215687,3.752054392476593,2.7884058677814463,5.942090701938041,7.687163706300938
XRCC6,13.09737415904891,3.767957004662162,3.5803218108456427,4.2157303140757,7.171543500246863
UCHL3,16.476323099906423,3.373949205523093,2.7268197883289655,5.138460121104055,6.382339495388696
MAP4,33.2171764622978,2.182494814970367,0.792493506331627,5.646484676654228,5.39878818866028
PXN,14.448907257391285,3.7822903087203943,2.77476290347696,5.267696202497583,6.27368796528141
YWHAG,37.88229005999766,4.246009336021575,1.0084972698267796,5.026453403043901,7.113675163897296
RPL8,20.342871297810962,2.848170022154937,1.4360850929588147,4.685847713498518,5.555042728155987
LRP1,18.447821280688924,5.502126936828812,9.120812659693035,5.55197510542774,4.826009236860244
TRIM28,110.9581049666052,1.113816707439428,0.0,6.230096080069187,9.207702772559964
NEDD8,25.73178306235123,5.585177405731078,2.2805979758957085,4.9850047121368535,7.3176185039673465
NUFIP2,29.12786787310956,5.742201117490756,7.476538443212579,6.679010247939291,2.161441404943398
