Entry,Q,P,Role
O00629,-0.4527292324015897,-0.03842670543008564,0
O15143,-0.13978291363367212,-0.12314846486352493,0
O60716,-0.23249463630663658,0.02125335064393641,1
O94925,-0.3422357235225324,-0.0031769348287671306,0
P05556,-0.5073083149347885,0.0010626402780362643,1
P05787,-0.19770660519441985,-0.13370478829472865,0
P05976,-0.3192698589254743,-0.11601578328234408,0
P13667,-0.4421442063809242,-0.11211617794767581,0
P14174,0.09012849272640255,0.008440421026366773,3
P15374,-0.6659765264760608,-0.20562727559939437,0
P16989,-0.34657339820126754,0.12354741386897272,1
P17096,-0.24793326190426257,-0.13462360724017858,0
P31949,-0.46153336051814753,-0.10572151887169656,0
P49023,-0.40109011988280474,-0.16905270231590308,0
P49756,-0.4499170981144437,-0.025902216232847608,0
P56192,-0.6428575994788641,-0.0570249145340358,0
P62328,-0.8221474501299373,-0.06270731273329122,0
P62424,-0.05170876891902276,0.008775953664770575,1
P62854,0.12774086836743792,-0.05142016400453597,2
P63208,-0.17286165257598696,0.10663398057919049,1
P67809,0.2172871472140867,-0.2179746914792141,2
P67936,-0.5817384060126194,0.0817587871479647,1
P80723,0.1953771133428004,-0.10035325763593173,2
Q01995,-0.016028135601033222,-0.11145387116559657,0
Q02790,-0.003154641110142631,0.005711365068210461,1
Q07065,0.11470616068760942,-0.07687711996337199,2
Q07866,0.28994382864765855,0.015603349267906186,3
Q07954,-0.02114060908147186,-0.020816513834015726,0
Q14011,-0.187747338884525,-0.12342446697666998,0
Q15366,-0.8090327578935976,0.021364590944498163,1
Q16181,-0.08302030580522879,-0.07522930727235122,0
Q3SX28,-0.2769304039194871,-0.21551936725223692,0
Q6NZI2,-0.513840789453259,-0.02208850847069277,0
Q71UM5,-0.5848865038620001,-0.2027731622956922,0
Q86UP2,0.4031015486945331,-0.07844912815458716,2
Q8IVL6,-0.48136217520262214,-0.0003542134260120511,0
Q92841,-0.2223089554607246,-0.08655687185184524,0
Q96A49,0.4804898220829328,-0.08080834880417831,2
Q96C90,-0.48358189677021335,-0.026927135672222047,0
Q99613,0.034162879972769566,0.11808007006710453,3
Q99879,0.324554852795804,-0.044911586098298484,2
Q9HBL0,-0.39103293281905915,0.08261175738601045,1
Q9UBR2,-0.40726571714770843,-0.06997040114979236,0
Q9UHB9,0.009463923330428115,-0.0382061865077733,2
Q9UKY7,0.21627681317012915,-0.1425002135933754,2
Q9UMX0,-0.06963445898661802,-0.056869618628442864,0
Q9UN86,-0.2306082074274678,-0.10052342130465985,0
Q9Y5S9,-0.6054547304778068,-0.009918646454700197,0
