Entry,AS1,PS1,AS2,PS2
APOA2,7.631253835543177,5.4562201351722,8.729230875770991,7.024735117847444
SOD2,7.345920578673479,6.500063761569108,5.1707285325661365,5.197738848820945
TRIM28,0.0,1.113816707439428,9.207702772559964,6.230096080069187
