Entry,Distance,PS1,AS1,PS2,AS2
ITGB1,14.799238611863851,3.945193578441509,3.772341891655471,4.927530612867222,7.491784398626045
MYL1,12.164802151197492,4.3229605337890655,3.018849328797711,6.448546303903159,5.7841137438376125
RPL17,22.736731540157535,1.4352742741741806,0.0,4.519693108905034,3.636356967091529
ACO1,27.40632588439412,6.496617829267166,1.7318990052715613,5.656381757818049,6.899135135799164
RPL29,9.97501714806641,7.367893856293115,0.384337058125724,5.906837282759154,3.1843961355381296
EIF3E,54.20662036554021,2.6596886740795185,0.7291602537773826,4.417710467980803,7.878704276839855
TMSB4X,44.048489918476385,5.198150227128559,9.638842561552979,3.9492326103088415,3.120507290575139
LRP1,12.374201451945426,4.969355441159613,7.400875281993991,4.533171386787048,3.910324476940935
SF3A1,40.1538120064568,5.827575783507747,5.855829132629714,2.534675276641551,0.4419009600052245
HDGFL2,9.438087648314067,6.432102173496707,4.311975060703586,4.88324909234783,6.965113161392974
SMARCE1,11.33281618175282,4.1622298112179985,8.420362806740311,4.5494645981651045,5.076283650749704
