Entry,Q_1,P_1,Role_1,Q_2,P_2,Role_2
Q02790,0.28386434021359497,0.07306986216151512,3,-0.003154641110142631,0.005711365068210461,1
P14174,1.1672385046644733,-0.12580229449071145,2,0.09012849272640255,0.008440421026366773,3
Q07866,-0.8313251749892845,-0.11214643826113369,0,0.28994382864765855,0.015603349267906186,3
Q99613,-0.6004329979894789,-0.012710785356874865,0,0.034162879972769566,0.11808007006710453,3
