category,BackgroundGeneCount,ProteinCount,ProteinNames,FDR,Description,Strength
GO Biological Process,360,8,"P63208,Q15843,Q9H0U4,P02652,P15374,Q07065,Q02818,Q8WWI1",0.0442,Post-translational protein modification,0.6044059203410292
GO Biological Process,971,12,"P63313,Q07954,Q13263,P49023,Q9UMS6,Q9H0U4,P27816,P62328,P13010,O15143,Q9UHD8,Q96HC4",0.0442,Regulation of cellular component biogenesis,0.523948364945005
GO Biological Process,1306,14,"P63313,Q07954,Q13263,P49023,P42765,Q9UMS6,P61981,Q9H0U4,P23246,P27816,P62328,P13010,O15143,Q9UHD8",0.0442,Regulation of organelle organization,0.5075504339718548
