"","Protein","day1_04","day1_07","day1_09","day1_11","day1_14","day1_21","short.term.prod","long.term.prod","short.term.prod.rank","long.term.prod.rank","method"
"1","P40939",1,30,689,364,274,567,20670,56550312,6,360,"KNN"
"2","Q9UMX0",2,44,135,19,33,165,11880,103455,4,31,"KNN"
"3","P31949",3,2,26,31,11,246,156,83886,1,29,"KNN"
"4","Q96AC1",4,23,349,142,203,907,32108,26145182,10,282,"KNN"
"5","P14174",5,21,263,42,1,252,27615,10584,8,10,"KNN"
"6","P46777",6,80,651,118,82,173,312480,1673948,31,95,"KNN"
"7","P05783",7,32,515,301,207,283,115360,17632881,21,251,"KNN"
"8","Q13177",8,58,919,295,286,309,426416,26070330,38,280,"KNN"
"9","Q02790",9,29,13,11,45,83,3393,41085,3,20,"KNN"
"10","P60903",10,42,186,88,92,88,78120,712448,18,67,"KNN"
"11","P17174",11,9,557,519,533,572,55143,158230644,14,560,"KNN"
"12","Q99460",12,24,252,148,168,121,72576,3008544,17,121,"KNN"
"13","Q9H4M9",13,144,458,67,613,514,857376,21110494,52,263,"KNN"
"14","P20618",14,92,701,456,271,751,902888,92805576,56,454,"KNN"
"15","Q9NZM1",15,4,652,637,510,541,39120,175754670,12,586,"KNN"
"16","Q92804",18,3,27,700,293,421,1458,86347100,2,441,"KNN"
"17","Q7Z417",19,48,103,98,15,18,93936,26460,19,12,"KNN"
"18","P46379",20,134,253,89,81,299,678040,2155491,48,107,"KNN"
"19","P68104",21,35,390,183,4,690,286650,505080,28,55,"KNN"
"20","P23284",22,22,716,236,279,318,346544,20938392,34,262,"KNN"
"21","P14314",23,12,150,80,103,51,41400,420240,13,52,"KNN"
"22","P55060",25,11,846,257,877,483,232650,108862887,26,491,"KNN"
"23","P62829",26,99,340,196,52,227,875160,2313584,54,110,"KNN"
"24","P09936",27,133,167,77,30,206,599697,475860,47,54,"KNN"
"25","Q99439",28,19,219,53,13,67,116508,46163,22,23,"KNN"
"26","Q6P2Q9",29,201,791,580,317,212,4610739,38978320,109,320,"KNN"
"27","Q15233",30,53,536,254,240,43,852240,2621280,51,116,"KNN"
"28","Q14019",31,52,166,389,256,706,267592,70306304,27,401,"KNN"
"29","Q9Y3I0",32,64,753,371,386,270,1542144,38665620,66,319,"KNN"
"30","Q9C0C2",33,37,257,218,432,215,313797,20247840,32,261,"KNN"
"31","O00232",34,25,833,587,526,598,708050,184639676,49,592,"KNN"
"32","P04406",35,41,367,212,24,131,526645,666528,42,63,"KNN"
"33","Q15365",36,65,236,63,98,92,552240,568008,43,57,"KNN"
"34","Q13409",37,178,267,104,320,686,1758462,22830080,73,268,"KNN"
"35","P62805",38,51,387,391,357,517,750006,72166479,50,406,"KNN"
"36","P15374",40,121,187,46,42,21,905080,40572,57,18,"KNN"
"37","P68371",42,16,837,319,59,449,562464,8450629,44,188,"KNN"
"38","P60228",44,113,382,439,560,236,1899304,58018240,76,367,"KNN"
"39","P14866",46,18,36,174,169,132,29808,3881592,9,136,"KNN"
"40","Q9BR76",47,190,832,168,570,547,7429760,52380720,132,351,"KNN"
"41","Q9UN86",48,96,123,2,12,86,566784,2064,45,4,"KNN"
"42","P62888",50,106,181,100,97,124,959300,1202800,58,84,"KNN"
"43","P06748",51,33,220,149,69,485,370260,4986285,36,152,"KNN"
"44","P32969",52,204,385,415,369,921,4084080,141037335,104,540,"KNN"
"45","Q16629",53,150,189,64,102,108,1502550,705024,64,66,"KNN"
"46","P62195",54,59,502,462,379,383,1599372,67062534,70,389,"KNN"
"47","Q6NYC8",56,67,30,70,61,106,112560,452620,20,53,"KNN"
"48","P62854",57,20,24,25,32,12,27360,9600,7,7,"KNN"
"49","P07339",58,86,70,266,49,25,349160,325850,35,47,"KNN"
"50","P52272",59,148,806,428,583,321,7037992,80097204,129,427,"KNN"
"51","Q15366",60,62,109,37,119,145,405480,638435,37,62,"KNN"
"52","P05787",61,60,37,24,29,54,135420,37584,23,16,"KNN"
"53","P00367",62,93,272,205,162,222,1568352,7372620,68,176,"KNN"
"54","Q6NZI2",63,118,152,47,170,148,1129968,1182520,59,82,"KNN"
"55","P62847",64,114,244,306,132,453,1780224,18297576,74,254,"KNN"
"56","Q9BUF5",67,173,676,627,590,546,7835516,201981780,134,612,"KNN"
"57","Q13435",70,282,471,712,825,353,9297540,207352200,146,618,"KNN"
"58","O00629",71,171,14,29,22,221,169974,140998,25,34,"KNN"
"59","P35998",72,153,800,597,530,682,8812800,215791620,141,627,"KNN"
"60","P16070",75,101,655,203,291,190,4961625,11223870,112,205,"KNN"
"61","O14980",76,360,934,379,588,240,25554240,53484480,226,352,"KNN"
"62","P12081",77,83,1013,975,927,919,6474083,830615175,126,906,"KNN"
"63","Q13247",78,104,254,198,153,189,2060448,5725566,78,163,"KNN"
"64","P50454",79,156,858,870,362,288,10573992,90702720,159,450,"KNN"
"65","O15143",81,109,38,6,36,4,335502,864,33,3,"KNN"
"66","P56192",82,124,86,23,71,20,874448,32660,53,14,"KNN"
"67","O15372",83,147,409,348,326,250,4990209,28362000,113,290,"KNN"
"68","Q01518",85,34,106,123,200,243,306340,5977800,30,166,"KNN"
"69","P52306",86,426,1027,1008,284,482,37625172,137983104,262,537,"KNN"
"70","P37802",88,94,1029,507,392,674,8511888,133953456,138,530,"KNN"
"71","P27635",89,75,280,55,157,144,1869000,1243440,75,85,"KNN"
"72","Q01844",90,232,129,72,83,163,2693520,974088,92,77,"KNN"
"73","P30048",91,102,883,828,724,117,8196006,70138224,136,400,"KNN"
"74","P13667",92,17,44,40,180,135,68816,972000,16,76,"KNN"
"75","P09960",93,343,324,132,165,675,10335276,14701500,156,234,"KNN"
"76","Q969H8",94,172,149,530,117,183,2409032,11347830,85,206,"KNN"
"77","P20290",95,63,454,259,190,272,2717190,13385120,94,227,"KNN"
"78","Q07866",96,152,138,45,74,63,2013696,209790,77,38,"KNN"
"79","Q9UK76",97,211,475,317,353,284,9721825,31779884,148,299,"KNN"
"80","Q13185",98,165,305,129,163,150,4931850,3154050,111,123,"KNN"
"81","Q9Y2D5",100,108,952,294,665,351,10281600,68624010,155,398,"KNN"
"82","P12814",101,214,486,164,310,314,10504404,15963760,158,244,"KNN"
"83","Q9Y237",102,578,518,206,336,239,30539208,16542624,244,249,"KNN"
"84","P25788",104,271,497,709,621,114,14007448,50192946,177,345,"KNN"
"85","P48556",105,126,404,246,197,99,5344920,4797738,116,147,"KNN"
"86","P00491",107,66,1004,770,397,393,7090248,120136170,130,509,"KNN"
"87","Q99536",109,160,983,689,50,344,17143520,11850800,191,209,"KNN"
"88","Q14974",110,362,598,907,866,846,23812360,664500852,218,868,"KNN"
"89","Q96C19",111,316,76,71,109,279,2665776,2159181,91,108,"KNN"
"90","P61158",112,163,724,406,104,369,13217344,15580656,172,242,"KNN"
"91","Q9UKV3",113,380,241,853,805,339,10348540,232779435,157,639,"KNN"
"92","P53618",114,72,312,360,121,343,2560896,14941080,88,237,"KNN"
"93","Q9BRF8",115,234,972,691,482,721,26156520,240137702,231,648,"KNN"
"94","P34897",117,231,466,727,634,534,12594582,246130212,167,657,"KNN"
"95","Q09666",118,206,127,326,156,152,3087116,7730112,97,182,"KNN"
"96","Q92841",119,195,929,26,376,379,21557445,3705104,209,132,"KNN"
