"","Protein","KNN_long.term.prod.rank","KNN_short.term.prod.rank","MinProb_long.term.prod.rank","MinProb_short.term.prod.rank","short.term.prod","long.term.prod","short.term.prod.rank","long.term.prod.rank"
"293","P27824",155,584,103,504,294336,15965,571,124
"294","P28066",717,537,757,545,292665,542769,569,767
"295","P28070",559,414,804,679,281106,449436,556,704
"296","P28072",680,494,300,123,60762,204000,244,463
"297","P28074",641,799,487,651,520149,312167,752,590
"298","P28161",699,641,573,871,558311,400527,780,660
"299","P28300",102,655,195,725,474875,19890,716,136
"300","P28331",568,645,394,304,196080,223792,450,484
"301","P28838",521,381,119,763,290703,61999,568,245
"302","P29401",511,677,527,629,425833,269297,682,540
"303","P29692",831,795,838,755,600225,696378,807,855
"304","P29966",459,459,616,526,241434,282744,507,556
"305","P30040",477,845,584,858,725010,278568,869,552
"306","P30041",711,304,726,271,82384,516186,291,752
"307","P30043",728,427,578,788,336476,420784,603,678
"308","P30044",572,803,748,869,697807,427856,852,685
"309","P30046",296,211,298,367,77437,88208,282,291
"310","P30048",400,136,491,143,19448,196400,132,446
"311","P30049",629,541,543,59,31919,341547,178,614
"312","P30050",774,114,796,93,10602,616104,96,814
"313","P30084",840,626,828,701,438826,695520,694,852
"314","P30085",275,776,423,806,625456,116325,820,337
"315","P30086",663,515,368,358,184370,243984,437,514
"316","P30101",426,729,400,685,499365,170400,734,414
"317","P30153",637,533,825,622,331526,525525,601,756
"318","P30520",795,298,733,392,116816,582735,343,794
"319","P30533",631,673,705,706,475138,444855,717,700
"320","P30837",448,361,695,550,198550,311360,454,588
"321","P31150",265,212,323,322,68264,85595,258,287
"322","P31153",336,773,883,881,681013,296688,847,573
"323","P31350",904,432,732,215,92880,661728,309.5,840
"324","P31689",683,659,371,585,385515,253393,649,523
"325","P31939",313,750,363,770,577500,113619,792,333
"326","P31942",814,217,680,258,55986,553520,232,773
"327","P31943",753,530,768,498,263940,578304,530,788
"328","P31946",383,619,592,773,478487,226736,719,490
"329","P31948",279,170,347,174,29580,96813,171,301
"330","P31949",29,1,23,1,1,667,1,25
"331","P32119",909,710,910,735,521850,827190,755,912
"332","P32322",310,355,407,465,165075,126170,412,351
"333","P32969",540,104,865,114,11856,467100,101,720
"334","P33176",674,359,533,98,35182,359242,187,629
"335","P34897",657,167,440,221,36907,289080,193,563
"336","P34932",707,98,858,79,7742,606606,78,812
