Regulator,Target,Weight,Sign
O15143,O94925,0.03529347756268299,
O15143,P02652,0.011263191163154915,
O15143,P04179,0.020725280507052923,
O15143,P12956,0.0578008422350528,
O15143,P18859,0.03612149097333097,
O15143,P21281,0.020428422207427247,
O15143,P26022,0.004727202356281328,
O15143,P26447,0.023084666989261163,
O15143,P30085,0.15361708544778904,
O15143,P35222,0.020332497816341385,
O15143,P36957,0.05634717113164018,
O15143,P38606,0.005208434897684658,
O15143,P40926,0.014507836562345958,
O15143,P42765,0.022121705132626467,
O15143,P56192,0.005255762925822757,
O15143,P61981,0.053114398648973396,
O15143,P62854,0.006919591680826478,
O15143,P62917,0.04140931902765412,
O15143,Q02218,0.02127684811702326,
O15143,Q02818,0.027215926399351345,
O15143,Q07065,0.026833989425098976,
O15143,Q07866,0.013176524288684002,
O15143,Q07954,0.002820822064239025,
O15143,Q13162,0.017245841381419203,
O15143,Q14011,0.03703618045231535,
O15143,Q15459,0.030675487101441745,
O15143,Q15843,0.006451879694019518,
O15143,Q96L92,0.018854058584330303,
O15143,Q9H0U4,0.0707369860697501,
O15143,Q9UHD8,0.03766412006661714,
O15143,Q9UJZ1,0.029628727635201843,
O15143,Q9UNH7,0.023846491284186665,
O15143,Q9Y3D6,0.0035572733003618865,
O94925,O15143,0.03171162684386688,
O94925,P02652,0.0019589018289897773,
O94925,P04179,0.04833015577926089,
O94925,P12956,0.020378803724649938,
O94925,P18859,0.02731339862363315,
O94925,P21281,0.0012848573843077743,
O94925,P26022,0.08690870509829103,
O94925,P26447,0.03908551801714319,
O94925,P30085,0.0684131514976641,
O94925,P35222,0.06563965008830432,
O94925,P36957,0.01943374594662376,
O94925,P38606,0.0010981628628533408,
O94925,P40926,0.050005110655832456,
O94925,P42765,0.0025596375393835726,
O94925,P56192,0.023056157143846647,
O94925,P61981,0.0011087260317503937,
O94925,P62854,0.0390958162634665,
O94925,P62917,0.038762190751396156,
O94925,Q02218,0.011180751565092704,
O94925,Q02818,0.010045272560376373,
O94925,Q07065,0.051892535377309354,
O94925,Q07866,0.0195272648102064,
O94925,Q07954,0.020561026061310203,
O94925,Q13162,0.00047452431427281067,
O94925,Q14011,0.010242427041081604,
O94925,Q15459,0.08597891606424174,
O94925,Q15843,0.0010350846672410481,
O94925,Q96L92,0.0021785984534345546,
O94925,Q9H0U4,0.02073263553511159,
O94925,Q9UHD8,0.08899043013229785,
O94925,Q9UJZ1,0.012832484019231023,
O94925,Q9UNH7,0.01991371429244551,
O94925,Q9Y3D6,0.010974833056077589,
P02652,O15143,0.011007891725901442,
P02652,O94925,0.004926729481104874,
P02652,P04179,0.010785113461929762,
P02652,P12956,0.005382907538760546,
P02652,P18859,0.020361978145000383,
P02652,P21281,0.004155479383484827,
P02652,P26022,0.006690718289023294,
P02652,P26447,0.02581384420472542,
P02652,P30085,0.0025959904829503887,
P02652,P35222,0.027193866424796,
P02652,P36957,0.005584701690566004,
P02652,P38606,0.041327094235376144,
P02652,P40926,0.01725551876937692,
P02652,P42765,0.020034600903356684,
P02652,P56192,0.028730290866260635,
P02652,P61981,0.01225261331493541,
P02652,P62854,0.011046646185742132,
P02652,P62917,0.0044850633303128,
P02652,Q02218,0.04345165110901081,
P02652,Q02818,0.011854462682255415,
P02652,Q07065,0.0441459270145688,
P02652,Q07866,0.002688332396235471,
P02652,Q07954,0.1162940626507092,
P02652,Q13162,0.03638748017504719,
P02652,Q14011,0.04650877200639519,
P02652,Q15459,0.003687078385612116,
P02652,Q15843,0.06496662064236969,
P02652,Q96L92,0.0403754876310136,
P02652,Q9H0U4,0.00814698327390337,
P02652,Q9UHD8,0.007445465916627017,
P02652,Q9UJZ1,0.07518346260976377,
P02652,Q9UNH7,0.033659260874123666,
P02652,Q9Y3D6,0.05729508856367116,
P04179,O15143,0.067740983986072,
P04179,O94925,0.04625979546620917,
P04179,P02652,0.02688427877443177,
P04179,P12956,0.03608633436926876,
P04179,P18859,0.021641687856772195,
P04179,P21281,0.029278783825764796,
P04179,P26022,0.05735327008928273,
P04179,P26447,0.006543521151159137,
P04179,P30085,0.032299552720445816,
P04179,P35222,0.03782711111383944,
P04179,P36957,0.01981206696757776,
P04179,P38606,0.0009212415173171591,
P04179,P40926,0.010471899926585542,
P04179,P42765,0.009342035424899893,
P04179,P56192,0.014611860734939884,
P04179,P61981,0.008852314851071623,
P04179,P62854,0.007908054923520723,
P04179,P62917,0.052443815008854665,
P04179,Q02218,0.11392830473112416,
P04179,Q02818,0.09316688181281892,
P04179,Q07065,0.017831239322735698,
P04179,Q07866,0.009590074300981619,
P04179,Q07954,0.007481074524039928,
P04179,Q13162,0.0243174429641677,
P04179,Q14011,0.01395565982396791,
P04179,Q15459,0.054036402845183476,
P04179,Q15843,0.0035732888180049095,
P04179,Q96L92,0.012828796895059813,
P04179,Q9H0U4,0.06049002306355414,
P04179,Q9UHD8,0.02344476512249692,
P04179,Q9UJZ1,0.011758355026730423,
P04179,Q9UNH7,0.04512215389800115,
P04179,Q9Y3D6,0.009039521922037733,
P12956,O15143,0.04874081516892146,
P12956,O94925,0.06831275539243153,
P12956,P02652,0.013007151950217137,
P12956,P04179,0.02009207367507031,
P12956,P18859,0.028845224818555355,
P12956,P21281,0.0012437143178198231,
P12956,P26022,0.02971211547737564,
P12956,P26447,0.06742822682551707,
P12956,P30085,0.06773179766004828,
P12956,P35222,0.06933773806210718,
P12956,P36957,0.02930048002404364,
P12956,P38606,0.0004289709308665163,
P12956,P40926,0.01113667973624206,
P12956,P42765,0.0008316071884592111,
P12956,P56192,0.07813092958053414,
P12956,P61981,0.001861704911846934,
P12956,P62854,0.03892350135298424,
P12956,P62917,0.03979378192194544,
P12956,Q02218,0.011280913938105723,
P12956,Q02818,0.010831406708867135,
P12956,Q07065,0.011289676328150993,
P12956,Q07866,0.06704906840840417,
