Unnamed: 0,Regulator,Target,Weight
1242,Q07866,P67809,0.2338638837384152
1252,Q07866,Q3SX28,0.2157860585388494
1748,Q96A49,P15374,0.1888854004067983
1184,Q07065,P15374,0.1852553679573327
1180,Q07065,P05787,0.13780612471749
231,P05556,Q9UKY7,0.1327457379181622
1744,Q96A49,P05787,0.1235735977712895
900,P63208,P13667,0.0945956557576733
2019,Q9UBR2,Q9UN86,0.0885902662768092
1485,Q3SX28,Q14011,0.0853770930115953
1911,Q99879,Q3SX28,0.0848787945800582
1752,Q96A49,P49023,0.0847270580932518
2079,Q9UKY7,P17096,0.084605392713329
1478,Q3SX28,P67936,0.0820334138398037
1891,Q99879,P17096,0.0801697438420912
2196,Q9UN86,Q86UP2,0.0797145805421191
1233,Q07866,P17096,0.0785211693106005
420,P14174,Q9UMX0,0.077993900208264
2083,Q9UKY7,P56192,0.0779845516290122
2163,Q9UN86,O15143,0.0778314543150096
