Protein,Weight,Role
Q86UP2,1.3419095472454021,2
Q9UBR2,0.89394392522432,0
Q9UMX0,1.0897869059669474,0
Q99879,1.36006533526023,2
Q3SX28,0.8614788337289515,0
Q9UN86,1.0210147356049109,0
P49023,0.8357466612269466,0
P05787,0.964922698178256,0
P14174,1.2741641891653028,3
P17096,0.9297413849031555,0
Q07065,1.2452428787325729,2
Q07866,1.4012188598558288,3
P05556,0.8996265240343232,1
O15143,0.9983215928200663,0
P56192,0.7898965245381092,0
P13667,0.8028203227073561,0
P67936,0.8257741368999372,1
Q14011,0.9819715548173333,0
Q96A49,1.4441377305480665,2
P67809,1.0821741277648975,2
P63208,1.1160831718723176,1
P15374,0.6635331453733689,0
Q9UKY7,1.1693519579770564,2
