Protein,Weight,Role
Q15843,6.412774714801307,1
Q02818,8.613294536676316,1
P07339,10.887380032962762,2
P63313,10.977181601236532,2
Q14011,9.450595240038437,1
Q07954,11.945933364295128,2
P04179,10.61754406475763,1
Q9UMS6,9.545921089022983,0
Q07065,8.307599992300483,0
Q02218,10.256626265468986,3
P62854,6.8143979543212545,1
P00568,10.266646951443423,3
P02652,11.279695443423268,3
Q14767,9.473504392598663,2
Q7Z417,10.278169087204683,2
Q01995,9.997907269897391,2
