"","ctr_1","ctr_2","ctr_3","ctr_4","ctr_7","mg_1","mg_2","mg_3","mg_4","mg_7"
"A0AVT1",7.38479281647307,7.36989144446785,7.32685874720378,7.1874288671508,7.08654115294338,7.32863624127023,7.59697509025774,7.34044801968672,7.33469073385294,7.17166383653198
"A6NDG6",6.90254129251495,7.04993495344618,6.97210379270257,6.91338390719319,7.01752333698525,6.73249026426608,6.94656549249127,6.86091941487123,7.051864638909,7.22164091269326
"A6NHL2",7.27839305162353,7.47376059754169,7.53230975005023,7.34674769477343,7.17797957330809,7.19467713803928,7.44199996245039,7.44083087338557,7.51929676917918,7.38624220065964
"C9JLW8",7.06242386956924,7.33510005461776,7.39612060698183,7.15531257794983,6.9558662175198,6.98997745343537,7.42260756490871,7.52093377085199,7.12739681925585,6.87919710921898
"O00151",7.2810984222212,7.28481322854639,7.29294423424673,7.09638683306035,7.29028311408132,7.26147627986343,7.30215072488979,7.32830122375845,7.36974638693856,7.27800129681406
"O00154",8.17551483747162,8.06123451733782,8.05039456056499,7.88069176227512,7.79834849169308,8.09522590333003,8.0362680203579,7.89085223771869,8.17715572229235,7.93272083454657
"O00159",8.61218372297544,8.44395428266281,8.28408963795179,8.19866678529783,7.63209329003978,8.36617366540387,8.45647344779846,8.41643197915734,8.27642265143771,8.0293143772721
"O00203",7.36144286917725,7.24547512047679,7.10914030634837,7.18351316104183,7.15761409657499,7.46194403620452,7.42724196545593,7.1693697317299,7.16058363643927,7.09147827106456
"O00231",8.2574347570456,8.05819533437716,8.27376202898603,7.9461731128839,7.50227728464791,8.2322767813635,8.19110567223821,7.96094638526721,7.82156560454274,7.42399619842041
"O00232",7.82007784843044,8.03634083235433,7.87631828393582,7.60783272595121,7.59867965199596,7.50745438212318,7.58743828095376,7.69862312194279,7.91213699890358,7.90359121782695
"O00273",7.34711674997329,7.45851230110484,7.46010967403285,7.55231931106859,6.9345602420945,7.2527213539546,7.29738440408981,7.5285668533835,7.46228421689427,7.14026747817447
"O00299",8.74890388330449,8.93633336051922,8.95145209945539,8.78345991237957,8.29775282613498,8.74574471379234,8.78073536544299,8.79465552194862,8.88132414791679,8.30078596836327
"O00303",8.21278383317887,8.27791211984052,8.25567913899978,8.09269806919794,7.73330850674123,7.97099817328163,8.10856549922098,8.18405584072792,8.13524239882428,7.78485300933922
"O00410",8.67932079332092,8.72118341041225,8.67718474624511,8.47230195086783,8.12607619312416,8.52375454262604,8.51345797228301,8.59873113315636,8.63699468332199,8.3037615932687
"O00429",7.46771516939596,7.77116188177918,7.39177645418399,7.36430993874533,7.27671569107165,7.51895874074117,7.57636632852437,7.47666121873917,7.4587113157471,7.4595096644133
"O00442",7.16422819529095,7.08437024165481,7.17319725271048,6.95021609152717,6.97351541673389,7.15409856881652,7.03889144655157,7.09131620345617,7.12277713749087,6.99448585438658
"O00469",8.73483334967866,8.64534467724801,8.55011529072136,8.54281068411492,8.53446530179936,8.56068786319761,8.53918599846628,8.38654844903132,8.45060238962628,8.29354048792236
"O00505",7.53941626041784,7.51546060040075,7.52893119623896,7.54354328287268,7.26379408379749,7.56440991387517,7.48314348683702,7.42418754655599,7.46111119972963,7.19134879727808
"O00560",7.277706948207,7.42386099533737,7.25130095606468,7.25703304783276,7.14608934850974,7.2100127038409,7.16546805559611,7.27058014170281,7.27254414993966,7.15531859168647
"O00567",7.76345441366846,7.76462385129044,7.54835524544904,7.48425565254772,7.13888548248679,7.54339459637518,7.4737479639571,7.47621054221592,7.45000990335306,7.25504227198767
"O00571",8.27935749842068,8.37903352904208,8.19600573581104,8.10912494964019,7.95627278630301,8.23687423282281,8.41503054680894,8.32188134910013,8.26672287819201,8.15571014122268
"O00629",7.50081641607157,7.30793146248444,7.2511570421715,7.23677555296683,6.91851504639831,7.67480703899586,7.28216218073519,7.04987049752418,6.78787227655712,6.85662155041811
"O00743",6.83648591320461,6.84832932692098,6.7860580827176,6.79447916912462,7.72363417522015,6.83836478019252,6.90723233816808,6.69306379789159,6.86670153946638,7.05045228240337
"O00764",7.69793122873265,7.72963031557596,7.7368565174017,7.81426816502913,7.60938540991977,7.45514689429137,7.63294466163015,7.82341053391105,7.85503975968508,7.9248646783075
"O14530",7.06420335108506,6.97723329476817,6.9942430937234,6.93695881351074,6.89261117011918,7.08815242749907,6.95524530737797,6.94757260730585,6.88806279196207,7.01827262012966
"O14558",8.05468187990094,8.06278774393117,7.91830603562015,7.89105394541575,8.34244887047819,8.02329597349389,7.93332016237325,7.95350926632726,8.07679498229357,7.79054466762964
"O14579",8.27567523536755,8.25326427048218,8.25131890836468,7.83734451958733,7.85887077308191,8.09655947186443,8.01652925598655,8.22400368879668,8.1570003727647,7.98368647239642
"O14737",7.93629251662776,7.87444003155322,7.91654880932662,7.86646476088568,7.38402332810822,7.86270909771425,7.81845082400802,7.70497701337906,7.76530398983269,7.39268783155929
"O14744",7.05402080219405,7.09876212274742,7.08513239125717,7.08980040231665,6.88460311582625,7.00860074267599,7.20870376306082,7.12034638890986,7.13341132281647,7.1019092384991
"O14745",7.03281723348227,6.96917577424336,6.99836504370046,6.91084640599572,7.29417616432674,7.02717224443536,7.0345468290199,6.97857120471433,6.75093242859083,7.08657273011088
"O14776",6.98719832504405,6.9521752366558,7.05598471520665,6.99442306645445,7.10891940758525,6.95011185961207,7.0575909056369,6.94053829868705,6.89916167159114,7.02581828098775
"O14818",7.94582647935564,8.1742707844702,8.04686919800555,8.06331864148314,8.1191689993733,8.04378345114145,8.07621192614625,7.8302696483723,8.13876584316533,7.98971039439465
"O14907",7.32187543266254,7.26463510605786,7.41317864658229,7.45098943871399,7.08715902593911,7.26011457186871,7.40400740055689,7.40396055399321,7.36764220812643,7.27641923209013
"O14908",6.9446032126965,6.81501992717083,6.71569663426421,6.845680700479,7.02679739189486,7.02131795524626,6.91565944195434,6.76437764679281,6.95126464766215,7.1910377593294
"O14929",7.20777126664608,7.16493980187704,7.13416288936063,7.06268990725361,7.02949099198584,6.93848936694692,7.11431640873824,6.92864173881666,7.12529176566455,7.20210391598969
"O14974",7.44531217855095,7.41904473859753,7.45871327324495,7.37872428234562,7.15625547645732,7.43985599813586,7.34969975754785,7.25685384382938,7.2666862972846,6.79260338227359
"O14979",7.66640182643854,7.72317926525176,7.71019046699681,7.49420330924287,7.37841836330564,7.45680955328093,7.45124403385051,7.71077739627592,7.67734986100393,7.45113336294076
"O14980",8.27947482327153,8.19275318192864,8.05347637409891,7.59911981830577,7.50878539193091,8.0945969305267,7.8659941950056,7.5486350972364,8.12162446964425,7.17045643295124
"O15067",7.33397284154183,7.36730034971109,6.91835601021047,7.34348419186875,7.38064369461016,7.29719597324069,7.3307417905688,7.2178359676326,7.22208279433475,7.2200247254139
"O15116",7.36497611243903,7.31555833483216,7.32178279599909,7.39956937765316,7.31705805585949,7.29724477148386,7.24484710291248,7.41483232164451,7.4528100370578,7.40218084020252
"O15143",7.6938630417198,7.78750739958267,7.74217711590005,7.7717865247289,7.61169809453812,8.032212726775,7.75529828828396,7.66213480956816,7.44582471195345,7.30542474324365
"O15144",8.19895089622267,8.0116942920144,7.96148472770446,7.50556462128149,7.92074356856775,8.35406930495994,7.91108363788999,7.8533285076084,7.95397034436331,7.969322557118
"O15145",8.10516855986833,7.97779303790894,8.04629686695273,7.78077266526818,7.56989547233578,7.96192081813202,7.86751942433108,7.82746958199725,7.84146021764519,7.69215518848716
"O15160",7.0815057741363,7.08864726257892,7.09674830656483,6.89022356864378,7.26156430214563,6.86069953551377,7.09764578748993,6.99977638193052,7.07027078974452,7.18910362391192
"O15212",7.70884264288441,7.73877564412873,7.75933666749133,7.8019364382641,7.77916462956424,7.57664055370361,7.67376563231815,7.57003593875676,7.72400522509193,7.67988157777497
"O15231",7.0796514688011,7.36322378801782,7.37532461609298,7.14946159793538,6.98006286021013,7.21105766375414,7.11949225594344,7.06321162402445,6.87270603911346,6.74917985502441
"O15355",7.51373418787943,7.63245390847477,7.57982030733122,7.42504533685878,7.24340389295531,7.09915473215664,7.47175820223137,7.55459412303342,7.44728234650824,7.32170121581378
"O15371",7.75529207093404,8.01103149709535,7.42752336324328,7.50202026576201,7.50531038956649,7.6165324019711,7.37847782916893,7.56217713848283,7.54158129501849,7.6302993774985
"O15372",7.78371484440971,7.85739512321915,7.643638403035,7.32720658369995,7.77725317743799,7.4269757966073,7.4116625606539,7.49761824417243,7.47300111942978,7.62782531335977
"O15460",8.06945026867396,8.01439820788129,7.98155845846414,7.97549791304826,8.13326580528385,8.0001251325037,7.86838155981031,7.9728908007381,7.95358368031349,7.6104886429029
"O15498",7.15263380371324,6.9681022510601,6.80088146887757,7.03911859871319,7.22321505737102,6.94364380252472,6.86918268052427,6.70803546685441,7.0461705719387,7.12423783346188
"O15511",7.7884184755361,7.95153454213952,7.6271018572867,7.40124093214964,7.45100921823707,7.8685488184076,7.36804124472934,7.63543187948019,7.54659317677541,7.50411957478848
"O43143",7.89677177833303,8.03503689661647,7.7933211251007,7.49274121479003,7.46585073570042,7.73921986559232,7.86089827511925,7.60584265449542,7.75229518021336,7.59171842138294
"O43175",8.03484893481768,8.08940566365822,7.98156934081697,7.87957463581533,7.97311174160906,8.13560824889815,8.08747658761179,8.01417538916427,8.00021238810092,8.08773348331755
"O43237",7.40540585992676,7.30539288454976,7.34590535273847,7.29043021955952,7.1699239871708,7.69040069118508,7.35421279462591,7.39231184557118,7.19204961157813,7.11997913384365
"O43242",8.23497859498547,8.12279763204674,8.00378427496942,7.93900547920365,7.26287995910819,8.18114272278837,8.18338703218203,8.03663166807087,7.80470905420169,7.53799665982764
"O43290",6.18390203736145,6.66236063172576,6.47751079640902,6.62477464500971,6.37206584928253,6.7978717976915,6.48654404150992,6.23491729328997,6.29353013215169,6.40750595802132
"O43294",7.50697463385469,7.71128975376448,7.58370716812429,7.64472502052654,6.97044119901021,7.24900454490224,7.37334836063028,7.56227719186547,7.79792724559253,7.3773739509342
"O43390",8.02608730911891,8.16731876636073,8.06293302783025,7.86961203248237,7.33696188606346,8.15288305364973,8.13772006041483,8.1615296997857,7.82543060020174,6.81226800497302
"O43396",8.04861543533839,7.95639617547628,7.96560640364986,7.92582994521912,7.57472730865174,7.98013622506374,7.79696081937217,7.81307314518786,7.85537119803039,7.27584457525934
"O43399",8.20507160697833,8.15830171162724,8.26720278465405,8.00384130616683,8.01207453316898,7.78335316201597,7.98762299837117,8.15465371736181,8.18150098948955,7.94150091835389
"O43504",7.61037296222738,7.58981530583319,7.71976503161213,7.61065318385311,7.3049317925778,7.49181389272209,7.48913009389921,7.59772618886428,7.79011032913913,7.02348565525713
"O43598",7.18704028490026,7.18580496315068,7.21996134732516,7.23072284715662,7.29618720044811,7.14794203460765,7.12988345076071,7.26497315643891,7.3495449254337,7.05824766896595
"O43617",7.39614992198963,7.34268753908953,7.43290040223676,7.28184919793697,7.11938976308859,7.08352156592171,7.15713252885308,7.33299722983107,7.47235779283086,7.11173771406344
"O43660",6.83329099827738,6.98312759071364,6.87325571790316,6.82543442954902,6.76441005440814,6.8171396217853,6.83684473280305,6.78468818764909,6.74540955843108,6.43895728605702
"O43665",7.08571379068354,6.98897080411631,7.10045816775501,6.94047949622313,6.63345205280401,6.9481473050556,6.86319306112888,6.820951256254,6.98573680129333,6.96505875478508
"O43681",7.29427094070951,7.63151807377007,7.46561592199262,7.36056473412641,7.05503699417899,7.22327746955098,7.60080260609847,7.30909360387902,7.56190467569416,7.63002836056321
"O43684",7.67922867331306,7.64266731236559,7.59717030633437,7.61852055060441,7.2670998662287,7.8059604746026,7.52377769008263,7.44241464178449,7.6855920316119,7.36693115002175
"O43707",9.66620347464359,9.67587761236306,9.70418780627691,9.57950592052033,9.28986504780529,9.57900627923184,9.52306225240373,9.64366857340561,9.63093699539932,9.23189833153589
"O43747",7.15381088693045,7.15651175112457,7.13510167964615,6.94491845093361,6.95020039482358,7.17073925079911,7.1153485947532,7.1817391892243,6.90040392742051,6.80869439197866
"O43776",8.01006179460149,7.8692728142731,7.66888801103541,7.76254814986424,7.71516135713533,7.93727667690647,7.9149979138521,7.81882790622448,7.89524408823684,7.77138694124901
"O43795",7.17433207296125,7.23094807249455,7.07552692663088,6.89585616614143,7.07541216218667,7.54498898944127,7.36949506836176,7.12844727413339,7.0915159485605,7.37500529019704
"O43809",7.5326104603477,7.58999382776766,7.41820270916391,7.26761253869973,6.99349330420619,7.37364714795292,7.55766962655775,7.59599005307753,7.22335472110888,7.03381014042589
"O43847",7.18321706607451,6.80398882518539,6.93020506031706,6.93913795167414,6.76562323287096,7.12101936803024,6.98268795008794,7.02530084922065,7.16646453507579,6.9463859978797
"O43852",9.07376135340898,9.09686271209796,9.18185392400227,9.085921949033,8.88495540159614,8.91385398255833,8.99624696831679,9.12940093026242,9.20195933696607,9.01015447844472
"O43865",6.91520153279299,6.83393333943667,7.16912037753074,6.61295548420627,6.80987467025861,7.18459623316144,6.78631626902856,6.6873478065165,6.6678455417386,6.86952638037297
"O60271",7.03142703570606,7.0410464452852,7.0319420124263,7.06108988185091,7.23442423732608,6.96052723367917,7.12860078885644,7.04926164739096,7.05161670725469,7.18667884012188
"O60443",7.23655151418919,7.13017238647874,7.25780707256625,7.22163147584932,7.46230989520715,7.4366758011526,7.19142621253189,7.28310419459976,7.31293108262466,6.94905563216641
"O60488",7.73147885000328,7.66993432822604,7.48744486764428,7.46585233857253,7.44939487116811,7.67494068320831,7.55395074829734,7.50610854808245,7.34039114579693,7.1737429615521
"O60493",7.32617566877539,7.31897333385426,7.30710675991773,7.0994671232,7.23669739250801,7.36029460302131,7.17757426581383,7.31471580170572,6.84786482582217,7.16507364991492
"O60506",8.77303084438274,8.7757531166717,8.68090979744595,8.6069637015431,8.22524749906319,8.68918766183891,8.72050765730376,8.70888918872007,8.58987356039058,8.204390966439
"O60568",7.52423013100401,7.5479539295832,7.44160006734039,7.33268627437865,7.36567625668346,7.22707546593149,7.63149983589121,7.4496979535847,7.51898851498999,7.40743433153329
"O60664",8.81307397530186,8.82063470723706,8.88165095690678,8.80821299266966,8.58203919846239,8.7626618463756,8.73651645468735,8.79464076226046,8.8256247622071,8.57230908771396
"O60701",8.62118844042273,8.48140552566342,8.6050505301333,8.38655502141513,8.32586488651119,8.62461546171351,8.51841996014041,8.51626263575163,8.45786101361267,8.31148597596616
"O60711",7.27453064812298,7.3165619798203,7.23308534622648,7.25687261916849,7.27974585296656,7.21609361588419,7.28561746936701,7.39223793690852,7.40234765103308,7.63860255021299
"O60716",7.7379762664349,7.72626061672062,7.65097408279956,7.50282372071218,7.43413410301428,7.70206981034612,7.68485919648102,7.66175682343476,7.62285549808304,7.25208167585376
"O60763",8.15424300332863,8.04560979414458,7.88157160220243,7.55157529524591,7.88487965353285,7.90328854912362,7.34945666227322,8.00875927730865,8.06316020627853,7.76242522857738
"O60784",7.24130869908118,7.32485570048334,7.21033604479474,7.3033793422895,7.14948130827605,7.12984015492159,7.18741668936816,7.36949842610006,7.40469507266868,7.22967734886443
"O60832",7.025623992453,7.03669837187809,7.12439375195174,6.95186302642261,6.86617510359408,6.84817071772964,7.08458769031789,6.9170710952553,6.96190265972371,6.89023019169149
"O60841",7.59891875527543,7.71155008926872,7.55665090787696,7.34117535582447,7.24845020653598,7.55741787920028,7.67449613672299,7.63997496617298,7.4501830021678,7.39141797724789
"O60869",7.63049077787868,7.54745505687948,7.55456644463663,7.65838437853064,7.17290338714791,7.5846629313369,7.40724891618956,7.47601240393094,7.27504129577732,7.31429605412816
"O60888",7.44421636649371,7.38453357233914,7.58109715444408,7.75987290608964,7.48875612888148,7.58116090035248,7.56570880540157,7.59967370492121,7.63587506644816,7.53310612672024
"O60925",7.24025075780215,7.32862567451152,7.64200063006172,7.40914028490798,7.53735142735725,7.46799380826592,7.44361585767494,7.5563597067862,7.51485738788273,7.59745966033809
