source,target,Weight,WeightPool,FitScore,pvalue,tvalue
P40926,P02652,0.4007447198056397,"[0.42006302 0.46550565 0.47086723 0.53673537 0.44253341 0.40929243
 0.42286293 0.4548633  0.49077137 0.40526806 0.39143667 0.38726369
 0.37736913 0.46186123 0.36283312 0.414452   0.44149034 0.4194707
 0.3967585  0.40034044 0.32162175 0.50477861 0.32663062 0.45528337
 0.47046928 0.41842049 0.39172733 0.40814628 0.47277857 0.3719953
 0.29064361 0.44255297 0.52908162 0.35666851 0.36986303 0.37716747
 0.40579611 0.41113415 0.48131529 0.3715326  0.36802005 0.43901677
 0.33205676 0.38253234 0.40734661 0.48307515 0.47292399 0.3027572
 0.41357581 0.31974301 0.32848621 0.34347734 0.43361875 0.37216212
 0.3627452  0.42710465 0.41191875 0.41737112 0.33889656 0.41138883
 0.38242688 0.34477343 0.48866467 0.41386999 0.36668893 0.35894184
 0.39250696 0.38528491 0.36752639 0.37001798 0.43171522 0.37948686
 0.33738689 0.4445391  0.43314207 0.36576654 0.40439895 0.41104256
 0.40552962 0.34138561 0.45005551 0.44682274 0.42689911 0.31114417
 0.36992495 0.35821081 0.4325406  0.44575337 0.42638957 0.39837319
 0.39652844 0.44678352 0.49657517 0.36176557 0.35425887 0.41552976
 0.39813726 0.38182129 0.43435855 0.42219287 0.37730244 0.41799458
 0.36336115 0.38078519 0.44543175 0.44569868 0.41825125 0.46390617
 0.41086274 0.361508   0.47344628 0.4135973  0.47887731 0.34353135
 0.41039795 0.41907093 0.43669646 0.43697025 0.42225914 0.33713968
 0.4123857  0.39231625 0.38059386 0.38206172 0.36154882 0.36590807
 0.40407677 0.35694906 0.34938842 0.51330549 0.37466267 0.40175535
 0.37573149 0.35022815 0.42189374 0.41635862 0.35439104 0.33988465
 0.44812382 0.38840363 0.38456373 0.37723793 0.39074349 0.34849207
 0.36503986 0.43334292 0.3959459  0.41151249 0.3958728  0.38577459
 0.36066917 0.36839732 0.43110743 0.4268857  0.42693937 0.3802708
 0.36691226 0.32603936 0.41490848 0.33736257 0.42609459 0.37302403
 0.33502473 0.438735   0.39728193 0.44695634 0.39742683 0.32909389
 0.46434502 0.39974895 0.40033632 0.46995517 0.43753916 0.4679099
 0.46935227 0.36370128 0.46287665 0.48570821 0.36349663 0.46404365
 0.45357665 0.303179   0.41490848 0.38599928 0.47175368 0.2940346
 0.43137652 0.3980641  0.4331425  0.44371085 0.39841309 0.38663976
 0.35874826 0.42312228 0.40752227 0.33695927 0.42733477 0.48367406
 0.43223507 0.3829309  0.31913986 0.43102074 0.47426741 0.3455215
 0.35242169 0.38503899 0.37818136 0.41968021 0.50111918 0.36322006
 0.44079681 0.38239818 0.41175203 0.31231359 0.40598157 0.36633297
 0.38157055 0.40454627 0.3218111  0.39716089 0.36730781 0.38308237
 0.39090589 0.40244594 0.44236636 0.41683961 0.3873159  0.3696219
 0.42137653 0.4076542  0.4743287  0.3637723  0.39800691 0.3925733
 0.43644501 0.37160444 0.35268614 0.42085929 0.35939378 0.46477665
 0.37847013 0.40210414 0.34938516 0.36047306 0.42763301 0.43176545
 0.45174743 0.43894644 0.41159596 0.41319721 0.41889969 0.35760046
 0.45948926 0.39473277 0.45793224 0.43040477 0.39163174 0.37695327
 0.46550621 0.39651479 0.34231678 0.38678455 0.33508334 0.47121933
 0.36298246 0.44014525 0.40544904 0.44405345 0.37554361 0.41335609
 0.45761542 0.3814711  0.35012771 0.38502665 0.38795558 0.37799001
 0.37521972 0.49457539 0.34811568 0.38554328 0.30916397 0.38060492
 0.35917153 0.39210323 0.35953608 0.45836654 0.37700209 0.36655671
 0.41952605 0.38958274 0.3595057  0.43450757 0.32351739 0.41103987
 0.38001839 0.35676773 0.38948339 0.36778637 0.41074534 0.40995958
 0.41693431 0.43679776 0.46591097 0.44942293 0.42849447 0.35650179
 0.37184815 0.45092084 0.40782603 0.35598456 0.4345722  0.38164823
 0.37620952 0.33452907 0.43584826 0.43639468 0.4557695  0.44344567
 0.41088927 0.3818719  0.44376048 0.33232091 0.29829826 0.38395838
 0.43498724 0.39133956 0.44776398 0.40255902 0.3810833  0.44684039
 0.4722499  0.40070692 0.39905244 0.43392031 0.35044056 0.30775727
 0.41362236 0.39954103 0.42359904 0.39879793 0.44909606 0.40857704
 0.42841505 0.47742099 0.4011411  0.4320105  0.38572592 0.45067755
 0.36780084 0.43194431 0.34249447 0.46265298 0.45289485 0.36301969
 0.4068857  0.38926726 0.39504827 0.33499551 0.41654188 0.40621606
 0.43062803 0.40563856 0.3784146  0.36013765 0.30746105 0.31849724
 0.39571233 0.39159208 0.37478893 0.408216   0.39019733 0.40033667
 0.41442838 0.39943145 0.34745971 0.41392184 0.39412377 0.4008785
 0.34918691 0.35301474 0.37161533 0.41841014 0.40823874 0.41467428
 0.39392442 0.3780345  0.32836681 0.34004113 0.40047842 0.38523956
 0.38480766 0.40803408 0.43392115 0.2750539  0.37338023 0.40715147
 0.39745377 0.37388921 0.41322277 0.42755182 0.44055349 0.36248429
 0.38946016 0.52924948 0.44281272 0.37237204 0.43860985 0.45896531
 0.43337863 0.48807597 0.42053061 0.4487676  0.38179094 0.37402109
 0.38021866 0.41036696 0.41444061 0.36528792 0.45384138 0.43537161
 0.35269541 0.3947067  0.30816838 0.2946948  0.4210335  0.38467344
 0.37547816 0.37164715 0.42328011 0.40660918 0.40382818 0.34200414
 0.42314558 0.3961028  0.37498636 0.35446636 0.39673249 0.45483209
 0.4771714  0.43470193 0.3615549  0.50199605 0.37803642 0.26855568
 0.3647393  0.4923861  0.3924904  0.44394726 0.38518334 0.41840438
 0.39672401 0.38827368 0.39997543 0.39866888 0.39523897 0.3810522
 0.34388842 0.44865951 0.41285646 0.53077927 0.4091095  0.35410534
 0.27104397 0.38305921 0.34844673 0.39558085 0.40517915 0.36060915
 0.39094705 0.37807875 0.41961633 0.46734882 0.38591303 0.42503562
 0.375154   0.38759632 0.36327823 0.42800913 0.36047273 0.42622933
 0.47234065 0.42451267 0.39351058 0.37101193 0.50677187 0.38146236
 0.33597428 0.42871359 0.33782032 0.40958763 0.48110165 0.40139097
 0.32979366 0.33702279 0.38048379 0.44697514 0.4002457  0.41385965
 0.48170511 0.44327919]",0.0199659322498791,0.0,199.4682814689675
Q14011,Q07065,0.3786312520058577,"[0.3168176  0.41466665 0.34190978 0.3118957  0.36082708 0.45812984
 0.38397576 0.38515207 0.4183858  0.40854596 0.36564789 0.42030696
 0.41527844 0.3572103  0.33355879 0.36189946 0.3629384  0.32323407
 0.35480022 0.36125093 0.3548617  0.36559207 0.4189478  0.45043028
 0.42844821 0.39813879 0.38320887 0.36398721 0.42458431 0.37868629
 0.41632938 0.37387241 0.41944047 0.40819831 0.43745362 0.40257146
 0.39923246 0.3501643  0.39125219 0.37648855 0.37823929 0.35289978
 0.36029276 0.35787891 0.37012871 0.38575846 0.34747284 0.31747148
 0.36950535 0.3557702  0.39851251 0.30802082 0.30741151 0.35610185
 0.38115782 0.32955265 0.29562543 0.39488049 0.3998085  0.31454329
 0.30467228 0.38457684 0.40145681 0.44110943 0.3974805  0.32842168
 0.41131297 0.43314913 0.43417265 0.36467757 0.4010149  0.34459142
 0.35425939 0.40798709 0.38568137 0.41035535 0.33088323 0.34405247
 0.3899813  0.38447333 0.4267586  0.35341877 0.37792992 0.43694912
 0.41297574 0.30791281 0.29048953 0.40988062 0.3189938  0.39583958
 0.31807702 0.37511444 0.36236561 0.33074783 0.41426683 0.36338715
 0.40855446 0.38677357 0.42916854 0.34984937 0.37683711 0.41159459
 0.33237548 0.38028323 0.37566502 0.38253169 0.34865659 0.28340412
 0.37634808 0.41292637 0.44048979 0.44850868 0.43822468 0.46416059
 0.37600409 0.39005563 0.44942996 0.35269393 0.37235664 0.35160508
 0.39658213 0.35298195 0.36518095 0.46158247 0.45465188 0.36691253
 0.43006317 0.42646999 0.44515838 0.36391259 0.40785324 0.35155272
 0.29189379 0.41216114 0.39771133 0.36843372 0.46556477 0.34291785
 0.41158345 0.42984028 0.38347188 0.36888234 0.37964873 0.33549494
 0.4210508  0.34213464 0.34633845 0.37463125 0.35914856 0.35544556
 0.37395229 0.35531535 0.3591853  0.37701515 0.34043609 0.27023269
 0.38122322 0.33157058 0.28687471 0.37947403 0.38168939 0.35316913
 0.36905516 0.36358101 0.39140419 0.34540722 0.2678426  0.4192903
 0.4260856  0.33456888 0.41209721 0.43687636 0.44218108 0.43565644
 0.36815805 0.39650675 0.43287225 0.37170501 0.41724178 0.36018085
 0.36098061 0.39212723 0.40764937 0.27561524 0.33451916 0.37331477
 0.36700514 0.34067525 0.36788348 0.28541535 0.39165426 0.38238379
 0.39409506 0.39840974 0.35826309 0.34304287 0.38292267 0.35660952
 0.34869612 0.31147688 0.40219021 0.35795308 0.46649149 0.29567276
 0.33070693 0.35184354 0.39130509 0.35100332 0.47461221 0.35621916
 0.42004032 0.408989   0.43287512 0.31805877 0.38403496 0.31949819
 0.40406559 0.44166564 0.33313695 0.47569    0.37000606 0.44656813
 0.37618813 0.37144025 0.31784055 0.36739098 0.39733168 0.37759006
 0.3802533  0.39547599 0.41937479 0.34585419 0.37476061 0.38505453
 0.47130913 0.45083919 0.39508714 0.39552804 0.37013505 0.38089754
 0.34664028 0.35894631 0.40055998 0.30321566 0.40088162 0.29782765
 0.38168002 0.37178483 0.30528183 0.39551382 0.32433241 0.34592774
 0.34044873 0.3111743  0.38526589 0.40937848 0.3717813  0.32296978
 0.25624292 0.34266311 0.35456564 0.32703543 0.45430957 0.32325423
 0.29290167 0.34588837 0.38776017 0.3895098  0.3460638  0.4083655
 0.39676419 0.4049905  0.31896406 0.45402817 0.42215528 0.38945792
 0.3867718  0.41788419 0.34256666 0.38045584 0.3831618  0.38964203
 0.44829085 0.33373462 0.33084774 0.40599859 0.40262895 0.39852701
 0.39486766 0.41199988 0.35962839 0.36640268 0.44119597 0.32782211
 0.39434944 0.39236902 0.4280949  0.36417834 0.35829558 0.36045151
 0.39332328 0.38556446 0.41324212 0.39010993 0.33135816 0.39167572
 0.37232655 0.36628257 0.38649253 0.43169959 0.37506481 0.40755888
 0.37184283 0.41833552 0.3781946  0.31958458 0.44904608 0.3632988
 0.39660146 0.30833295 0.38295141 0.35829486 0.37853779 0.408017
 0.38072226 0.33624431 0.41275823 0.43052962 0.34578953 0.38705947
 0.34699717 0.32949369 0.36103132 0.39057608 0.4500027  0.35876871
 0.35920403 0.40687865 0.37354007 0.38363718 0.37861288 0.4366845
 0.32429421 0.3256145  0.33067054 0.3626623  0.40625136 0.36478723
 0.31523139 0.40592241 0.40016053 0.28330725 0.3875174  0.35739076
 0.38682825 0.39799154 0.43580696 0.36656926 0.35983427 0.35594216
 0.3855559  0.31942443 0.37570382 0.36746776 0.36007926 0.3191563
 0.41431294 0.33516447 0.39311043 0.40827193 0.39064164 0.38306129
 0.36215666 0.44098544 0.41712198 0.39649225 0.31896712 0.39487587
 0.37595413 0.36171377 0.4129958  0.42241234 0.44035636 0.40066974
 0.40795713 0.44501224 0.3464097  0.44657462 0.35448024 0.44019379
 0.3876071  0.39731674 0.42864646 0.39611667 0.41621787 0.34130725
 0.37850565 0.36963728 0.31329747 0.34034746 0.4248783  0.35151168
 0.4302727  0.39780742 0.44296566 0.33732343 0.41402154 0.40778185
 0.34171131 0.35493739 0.3572007  0.37002613 0.36071833 0.3750189
 0.40189989 0.40444888 0.4008083  0.41490674 0.35303361 0.37428984
 0.34930613 0.35264939 0.34582312 0.44735908 0.46706898 0.33226618
 0.37393493 0.35386493 0.41200767 0.47360091 0.3436195  0.50918936
 0.3169742  0.37316935 0.33615571 0.35269995 0.35978608 0.41230035
 0.32404998 0.37204793 0.34031416 0.35444848 0.43740111 0.42611285
 0.35028736 0.38680372 0.41109455 0.33747774 0.30963899 0.42970198
 0.41855262 0.30428983 0.37713606 0.38150418 0.3922895  0.35128051
 0.3884708  0.32812842 0.36487215 0.3695417  0.38609714 0.36978254
 0.39546124 0.37708846 0.32023727 0.35049859 0.39969856 0.37278358
 0.38772238 0.41800343 0.42398394 0.38721978 0.39890732 0.4012384
 0.40400407 0.38712656 0.40366147 0.38940092 0.34176256 0.33842603
 0.40659716 0.3834272  0.43147765 0.33889876 0.41986381 0.40884218
 0.4195685  0.39796397 0.42358078 0.46297996 0.39775328 0.4241532
 0.41481486 0.42462382 0.36173038 0.3871518  0.3529196  0.31169996
 0.30719686 0.34138112]",0.0377850218493125,0.0,208.2809400139195
Q9UHD8,P56192,0.258795535865934,"[0.30751034 0.28818127 0.32106179 0.19092755 0.21630107 0.2603022
 0.25853024 0.2531258  0.27894961 0.27927397 0.24705043 0.24836491
 0.25522005 0.28888864 0.23835068 0.23187838 0.24458074 0.21008207
 0.23823861 0.22604931 0.2859164  0.2923521  0.28055434 0.23866461
 0.24092337 0.27836939 0.23453736 0.26427487 0.2289081  0.28557967
 0.29831693 0.28192537 0.28333087 0.2457047  0.25114164 0.25478895
 0.25921772 0.21709831 0.25806006 0.28096678 0.22593172 0.21514737
 0.21626593 0.2489048  0.26821527 0.2158202  0.3162507  0.28054256
 0.24775348 0.30139106 0.2391149  0.25547242 0.27404827 0.22861572
 0.26698282 0.2295418  0.20009899 0.23544374 0.26326019 0.31156984
 0.27524781 0.26972483 0.25123449 0.28934233 0.2944439  0.23005056
 0.2575756  0.19449028 0.25297922 0.25721276 0.22255611 0.2691069
 0.24454069 0.25644354 0.3074834  0.27550102 0.29960644 0.26596861
 0.27904801 0.2569499  0.26828857 0.22853841 0.28498635 0.28159068
 0.22269283 0.25472846 0.25552461 0.25871624 0.29791291 0.15293066
 0.20105064 0.29583501 0.33676987 0.25660294 0.23852197 0.24041799
 0.25722396 0.2288998  0.24328178 0.24527754 0.29175334 0.23292805
 0.30679817 0.25009747 0.27019625 0.31871235 0.26289646 0.26475969
 0.24799665 0.32206297 0.25569794 0.27706163 0.27119009 0.26982526
 0.237347   0.20825442 0.26058619 0.24655491 0.24812422 0.22087515
 0.20007449 0.18029602 0.24280491 0.2555829  0.23293593 0.24239152
 0.24449249 0.34856294 0.26848714 0.34362704 0.22371862 0.27596204
 0.2217718  0.2487601  0.26994636 0.27154965 0.20943766 0.22087177
 0.29468118 0.27638425 0.22703368 0.29134763 0.24497073 0.21050064
 0.31680433 0.20867225 0.28976316 0.2963624  0.27702865 0.27610986
 0.25351073 0.32653149 0.30281421 0.27799486 0.27237013 0.27402122
 0.27817977 0.24179238 0.20742388 0.26106221 0.31912058 0.2142479
 0.28890982 0.26971123 0.2631108  0.36382719 0.31320905 0.32294565
 0.2266192  0.21318345 0.24606495 0.2632761  0.2689582  0.27050265
 0.31130574 0.22159109 0.30994223 0.31992506 0.19411698 0.25739975
 0.29306677 0.3437011  0.34053146 0.22612396 0.22861221 0.31553105
 0.27163318 0.24500479 0.24446362 0.23856511 0.28832638 0.26896945
 0.26449679 0.26061017 0.30447332 0.23925597 0.3219097  0.28718496
 0.25274325 0.18432186 0.20682415 0.31818723 0.24910928 0.32804342
 0.2638344  0.22944897 0.20675387 0.26962792 0.27065059 0.28419687
 0.16634919 0.2458826  0.16021953 0.22952271 0.25338978 0.15144551
 0.24522546 0.24975299 0.25806998 0.32396253 0.25444705 0.29099916
 0.28856071 0.30183296 0.23518184 0.23555571 0.2260247  0.23135139
 0.22985226 0.22836792 0.17514061 0.26166338 0.24878277 0.30327178
 0.27118785 0.30225704 0.2665652  0.21705005 0.27791459 0.29023188
 0.24586302 0.26593242 0.2619689  0.22000081 0.18802817 0.27061017
 0.24290498 0.27506403 0.30761574 0.2336787  0.2487671  0.23722289
 0.19904505 0.31552286 0.27769276 0.31533221 0.24306959 0.32662833
 0.28360734 0.24099038 0.26292693 0.23080425 0.28190736 0.21655601
 0.27616608 0.28797242 0.28127206 0.26093141 0.25605263 0.27989666
 0.22709527 0.20515695 0.33164647 0.31676035 0.26061182 0.31414545
 0.26229159 0.23428679 0.22774567 0.25981193 0.33313169 0.29542358
 0.29362591 0.31648984 0.17810182 0.23978316 0.26541213 0.24545444
 0.23941231 0.31909966 0.30773944 0.22843459 0.29632825 0.20538433
 0.32584913 0.28385038 0.20661632 0.20139376 0.30293312 0.2693703
 0.21389044 0.27395348 0.26007137 0.24492648 0.26821542 0.25743191
 0.29841229 0.25339206 0.31922633 0.18946132 0.23751315 0.22998529
 0.21855223 0.24710725 0.28907969 0.3530783  0.2575792  0.22352047
 0.22725377 0.27493918 0.27327457 0.2655109  0.32107156 0.2620939
 0.27581484 0.21099681 0.24479179 0.24947155 0.26352374 0.19097042
 0.27204205 0.25281864 0.24959327 0.2006925  0.18022817 0.27778951
 0.24648415 0.24580266 0.25099173 0.24739806 0.27016796 0.23131116
 0.20366319 0.24089501 0.23996183 0.27079517 0.22791788 0.19255966
 0.22247494 0.24454416 0.24743357 0.313803   0.23808368 0.2154201
 0.24437831 0.25456782 0.30076023 0.21915769 0.2719079  0.29697489
 0.31683696 0.22794133 0.28896248 0.30330432 0.27635156 0.24148429
 0.24251442 0.25607493 0.20202972 0.32124319 0.2215943  0.29240692
 0.28009068 0.30084008 0.26850657 0.27681735 0.26033993 0.2413285
 0.28790085 0.23804461 0.25845996 0.23102578 0.26019324 0.28395461
 0.30269779 0.24404115 0.23486542 0.27624691 0.28178482 0.24532276
 0.23231035 0.27261646 0.29551183 0.26963148 0.20853668 0.23429056
 0.24960979 0.21134577 0.29932995 0.30486257 0.22370262 0.24770383
 0.25701355 0.28896212 0.27916248 0.30468998 0.24880025 0.22542483
 0.29350565 0.21957052 0.25131557 0.23597901 0.24862549 0.26793319
 0.31188923 0.25474758 0.23329114 0.26401486 0.22546342 0.21074733
 0.35070439 0.26677794 0.26093296 0.27438588 0.28653912 0.29159768
 0.26577263 0.20766672 0.23365869 0.23531404 0.26842349 0.2808131
 0.27460842 0.2486836  0.24754228 0.3130928  0.36171891 0.30965363
 0.27040487 0.2945606  0.19789969 0.27300636 0.2554789  0.32270835
 0.24253305 0.23421298 0.25449782 0.31041221 0.23130339 0.218267
 0.24507071 0.23869889 0.24521905 0.21816096 0.2009     0.34042764
 0.28351921 0.21960034 0.20484219 0.29089912 0.23914778 0.21219827
 0.24383956 0.20768527 0.25050838 0.23865628 0.23760557 0.20186941
 0.31599184 0.30512318 0.32616478 0.24848623 0.27903931 0.22580652
 0.271352   0.23022691 0.26877535 0.21965453 0.20722071 0.24121675
 0.19127014 0.30626427 0.26084644 0.29705328 0.20444448 0.22137542
 0.20901044 0.24327859 0.29743204 0.21454337 0.25327547 0.2555416
 0.29482741 0.2197599  0.18659408 0.28684188 0.31609008 0.24926583
 0.26258595 0.28170084]",0.6201317723295336,0.0,158.00688440058747
P21281,P62917,0.2152897105314797,"[0.20520831 0.17467915 0.19992498 0.22516913 0.23366664 0.21333348
 0.25374143 0.14347344 0.2187136  0.20176374 0.23238872 0.19823232
 0.16787646 0.22852284 0.20759695 0.24349288 0.19690368 0.19808329
 0.24152184 0.19354367 0.20662646 0.19646101 0.15816807 0.26742024
 0.19471627 0.27390594 0.17688457 0.21958988 0.14504674 0.25355463
 0.14385917 0.19672662 0.14540568 0.16311734 0.178297   0.26199086
 0.23119153 0.21676866 0.18571611 0.21874268 0.21610323 0.23596814
 0.19816552 0.24740168 0.22971179 0.20657357 0.21594628 0.19711271
 0.21159081 0.24462439 0.18672804 0.21650288 0.17598075 0.2480244
 0.23219139 0.18280395 0.18248195 0.24858489 0.16158894 0.22913134
 0.23057651 0.22766061 0.20217898 0.1831028  0.24188006 0.19010319
 0.21015689 0.19626734 0.20482018 0.12340747 0.26513345 0.15155998
 0.19253306 0.29068563 0.19461986 0.21821358 0.22738182 0.2487791
 0.21053493 0.19335345 0.18100725 0.19113015 0.19632471 0.2336044
 0.16878872 0.27571527 0.16955773 0.28208877 0.16889846 0.22578845
 0.24033998 0.21247937 0.24035447 0.24455314 0.21715907 0.20480578
 0.19907588 0.17343612 0.22518957 0.17748115 0.28024003 0.25895232
 0.25830881 0.25315972 0.21743963 0.23042288 0.23132858 0.24455191
 0.20750838 0.20056169 0.27334662 0.22634992 0.18077113 0.21574778
 0.19485912 0.26947186 0.21404265 0.21519804 0.21892896 0.24541834
 0.25210288 0.23063771 0.13129397 0.23285088 0.22980127 0.29841118
 0.21789785 0.2067969  0.22436706 0.21639616 0.22724655 0.26769209
 0.21028843 0.16351053 0.30856724 0.25625685 0.21925384 0.17701293
 0.24987084 0.2030468  0.21685336 0.19516157 0.20593248 0.25144554
 0.20578022 0.24020085 0.23263804 0.20489806 0.23585304 0.22975565
 0.28449008 0.21880038 0.24884175 0.2721501  0.19760819 0.28557811
 0.16338192 0.24214876 0.21337522 0.19063121 0.24159152 0.22371489
 0.18831918 0.21083025 0.20056701 0.22987971 0.22859556 0.19499292
 0.22298839 0.16420693 0.17133568 0.27312512 0.2208026  0.17659183
 0.21805078 0.2247593  0.23134208 0.20381641 0.24641953 0.22470531
 0.20469278 0.27148872 0.27868743 0.22813232 0.22183855 0.20131335
 0.21788866 0.19316373 0.19655649 0.13459681 0.16859968 0.26567476
 0.18510595 0.17917927 0.22344921 0.23750262 0.18721339 0.25088702
 0.23526826 0.18793513 0.18773252 0.24908331 0.21226972 0.16985958
 0.21971481 0.22035862 0.18274106 0.23832541 0.23727637 0.17099118
 0.26474241 0.19725794 0.21300717 0.22198268 0.22051861 0.22848589
 0.23640769 0.22619319 0.23877152 0.23401683 0.19908842 0.19832315
 0.22868229 0.21161694 0.24182236 0.25058496 0.19920776 0.31701552
 0.29035122 0.20636641 0.18114607 0.23116047 0.30348699 0.23441284
 0.24204446 0.20860152 0.28520702 0.18176223 0.17808282 0.25088914
 0.26414854 0.18689317 0.29311324 0.18784041 0.24989479 0.20558112
 0.19380677 0.28358078 0.20331543 0.21823004 0.22886432 0.16007174
 0.21208775 0.17847122 0.22166003 0.20501581 0.25543547 0.18499273
 0.17975366 0.1686391  0.22021042 0.19287187 0.20500744 0.21723623
 0.22514377 0.19517563 0.22209291 0.24307274 0.21916751 0.22322134
 0.24982838 0.17577303 0.26781953 0.20934005 0.26040362 0.19194616
 0.1869539  0.25099176 0.16659201 0.21662502 0.1592337  0.16720806
 0.21009579 0.15251622 0.25280629 0.25427074 0.24595588 0.22428566
 0.18295889 0.23009605 0.18965772 0.16045555 0.18934519 0.24879939
 0.24631005 0.24070706 0.18889609 0.17257615 0.210158   0.26220317
 0.22975795 0.35398791 0.22946831 0.23066801 0.2063703  0.28519206
 0.21819759 0.14630342 0.22006144 0.19354674 0.22716257 0.16814879
 0.28120734 0.22154477 0.1461415  0.19695191 0.18799199 0.19280592
 0.2102334  0.21658675 0.16728353 0.15664632 0.2309151  0.23917894
 0.24337253 0.16663376 0.22134478 0.19199597 0.18369333 0.17506675
 0.18020426 0.24674312 0.22211213 0.15396109 0.19334783 0.26431195
 0.22516744 0.21652062 0.1719153  0.2106753  0.21709423 0.24403899
 0.16533782 0.20646937 0.20776782 0.21550875 0.1975689  0.19929338
 0.29912489 0.17037253 0.2085124  0.22777839 0.28146923 0.17412195
 0.23009501 0.21658708 0.16488309 0.18388552 0.24797998 0.21297691
 0.19436983 0.21841097 0.14244291 0.23679814 0.24129182 0.2013298
 0.23244027 0.21050589 0.21498503 0.2532592  0.20868808 0.23256335
 0.22088306 0.22942736 0.27747165 0.21222284 0.21627015 0.22188098
 0.20787445 0.18231042 0.22074814 0.20808257 0.24351807 0.22320192
 0.18624128 0.24695418 0.18290877 0.20266649 0.20963749 0.19411141
 0.18710098 0.19616609 0.21488322 0.23796358 0.27348917 0.20579577
 0.25341901 0.2190975  0.23546835 0.17778158 0.25709157 0.20436562
 0.19555885 0.19082347 0.23470209 0.22116762 0.2310692  0.21303014
 0.2316153  0.23100532 0.29442465 0.23385167 0.25182286 0.161043
 0.17583762 0.24092697 0.22013622 0.18645669 0.17615657 0.25088955
 0.24114834 0.20608202 0.19397932 0.24803883 0.21847992 0.23948302
 0.19317964 0.2540753  0.19243391 0.25490912 0.17368339 0.1622615
 0.21208035 0.21537049 0.2295045  0.1855236  0.17966577 0.14682754
 0.1307842  0.21310464 0.18537311 0.2302708  0.20101463 0.19659631
 0.23440471 0.21111418 0.21349287 0.25248896 0.25104354 0.2330893
 0.22470546 0.23420632 0.23831912 0.15219632 0.21724152 0.19767157
 0.20953596 0.20765125 0.14839343 0.22469158 0.20711561 0.20181608
 0.19710242 0.25643541 0.21622714 0.18102691 0.20596442 0.22025598
 0.248379   0.2034401  0.19487237 0.23493708 0.19014182 0.21453061
 0.22324889 0.218921   0.23912557 0.15727582 0.22776484 0.19206177
 0.24878011 0.18082767 0.24945378 0.19645301 0.21019998 0.20754783
 0.18663348 0.2783852  0.19990209 0.24202395 0.2062736  0.20561994
 0.19315515 0.20864881 0.19854424 0.1537968  0.20917377 0.24877592
 0.19968572 0.27508499]",0.1608737154878249,0.0,143.7719901283321
