Entry,Q_1,P_1,Role_1,Q_2,P_2,Role_2
Q99613,-0.6405016143886695,-0.012447601731860547,0,0.034162879972769566,0.11808007006710453,3
P14174,1.1309341913395108,-0.11567397086566383,2,0.09012849272640255,0.008440421026366773,3
P13667,0.44092250821470946,0.05398241487528865,3,-0.4421442063809242,-0.11211617794767581,0
Q02790,0.2601901805205431,0.08847270673369301,3,-0.003154641110142631,0.005711365068210461,1
Q07866,-0.854034435841696,-0.1310698585788277,0,0.28994382864765855,0.015603349267906186,3
