,Protein,mg_1,mg_2,mg_3,mg_4,mg_7,mg_8,mg_9,mg_10,mg_11,mg_14,mg_21
0,O15143,8.127,7.847,7.753,7.534,7.392,7.179,7.632,7.357,7.825,7.785,7.713
1,O43617,7.167,7.242,7.134,7.561,7.196,7.326,7.127,7.084,6.879,7.04,7.407
2,O60869,7.674,7.495,7.564,7.361,7.131,7.084,7.433,7.351,7.643,7.256,6.673
3,P02461,7.687,7.377,6.785,6.551,6.805,7.668,8.07,8.42,8.438,8.405,8.561
4,P02652,7.247,7.792,7.501,7.511,7.397,6.974,7.395,6.996,7.115,7.253,8.482
5,P04179,7.544,6.909,7.07,7.233,7.713,7.623,7.853,7.741,7.887,8.379,9.043
6,P06753,8.63,8.334,8.368,8.424,8.374,8.038,8.733,8.6,8.743,8.729,8.94
7,P09104,8.542,8.69,7.374,8.664,8.689,8.154,8.379,8.497,8.766,8.475,8.569
8,P13010,8.669,8.605,8.487,8.593,8.439,7.952,8.145,8.223,7.887,7.649,7.266
9,P13861,7.564,7.447,7.478,7.297,7.566,7.534,7.302,7.157,7.166,7.325,6.625
10,P27635,8.152,7.768,8.136,8.169,7.746,7.418,7.801,8.014,8.189,7.807,7.161
11,P27816,8.578,8.472,8.487,8.572,8.447,8.149,8.665,8.458,8.629,8.314,8.212
12,P37837,8.501,8.392,8.267,8.427,8.249,7.861,8.45,8.437,8.445,8.418,8.485
13,P43487,8.03,7.931,8.144,8.11,7.437,7.498,7.654,7.718,7.663,7.234,7.236
14,P46778,8.255,8.244,8.352,8.121,7.785,7.53,7.752,7.954,8.022,7.901,7.596
15,P49023,7.806,7.571,7.446,7.049,7.195,6.975,7.409,7.413,7.741,7.337,7.338
16,P53621,8.603,8.528,8.537,8.436,8.226,7.928,8.085,8.262,8.068,8.315,7.316
17,P60903,7.742,6.959,7.678,8.209,8.766,8.23,8.484,7.836,8.17,7.544,7.747
18,P61981,8.342,8.166,8.1,7.849,8.159,7.852,7.973,8.249,8.378,8.294,8.216
19,P62328,8.612,8.095,8.121,8.155,8.455,7.954,8.497,8.463,9.136,8.634,8.451
20,P62861,8.074,8.203,7.47,8.165,7.842,7.694,8.025,7.671,7.796,7.577,7.686
21,P62979,8.461,8.406,8.476,8.223,8.398,7.92,8.315,8.153,8.262,8.082,8.238
22,P63208,7.586,7.65,7.773,7.662,7.351,7.431,7.808,7.637,7.742,7.586,7.319
23,Q00341,8.633,8.498,8.512,8.373,8.447,7.675,8.367,8.432,8.446,8.303,7.301
24,Q01995,9.261,9.168,9.313,9.38,9.465,9.367,9.516,9.685,9.578,9.739,9.544
25,Q02218,7.234,6.757,7.438,7.659,7.187,7.078,6.808,7.229,7.062,7.133,8.131
26,Q02818,7.61,7.247,7.606,7.378,7.677,7.156,7.436,7.474,7.654,7.637,8.57
27,Q05682,9.331,9.104,9.086,8.964,8.895,8.745,9.238,9.364,9.474,9.413,9.141
28,Q07065,7.93,7.873,8.175,7.981,7.91,8.03,7.993,8.194,8.4,8.221,8.431
29,Q07954,7.616,7.845,7.553,7.291,6.976,7.362,7.109,6.81,6.748,7.829,8.482
30,Q13263,8.296,8.333,8.37,8.394,7.87,7.224,7.628,7.999,7.636,7.873,6.854
31,Q14011,7.61,7.573,7.257,7.399,7.142,7.014,7.199,7.806,7.609,7.53,6.93
32,Q14767,7.508,7.898,7.222,7.848,6.072,7.19,6.221,6.719,7.116,6.864,7.377
33,Q6P2Q9,7.93,7.747,7.45,7.633,7.027,6.83,7.07,7.031,7.457,7.549,7.673
34,Q7Z417,7.273,7.954,7.406,7.734,7.326,6.883,6.909,6.781,7.32,6.946,6.724
35,Q96HC4,8.629,8.355,8.429,8.361,8.116,8.068,8.346,8.505,8.769,8.437,8.09
36,Q99471,7.715,7.745,7.946,7.933,7.473,6.913,7.489,7.547,7.466,7.413,7.665
37,Q9UPN3,7.778,7.64,7.433,7.074,6.942,7.343,7.136,7.173,7.645,7.43,6.711
38,Q9UQ35,7.564,7.281,7.8,7.782,7.303,7.665,7.473,7.234,7.565,7.072,6.618
39,Q9Y3D6,7.391,7.496,7.307,7.43,7.247,6.955,7.108,7.142,7.057,7.086,7.606
