Protein,ctr_1,ctr_2,ctr_3,ctr_4,ctr_7,ctr_8,ctr_9,ctr_10,ctr_11,ctr_14,ctr_21,mg_1,mg_2,mg_3,mg_4,mg_7,mg_8,mg_9,mg_10,mg_11,mg_14,mg_21
P56192,8.112130733,8.013189658,7.863046802,7.4726278455,7.408446707,7.432456025,7.1223902415,7.438290602,7.0778265739999995,7.030860333,7.135350985500001,7.548178213,7.61110457,7.460879532,7.74787626,7.57081897,7.111217041,7.1331710185,7.186014634,7.3291086525,6.918510391,7.4657882915
P60903,8.621336782,8.63892062,8.476640727,7.851287191,7.874560294,8.937273202,8.155652927,7.741775871,7.974350272,7.650377438,7.671880138,7.742151898,7.585997154,7.678235529,8.208674431,8.766394098,8.230353328,8.483527289,7.835678006,8.170495449,7.543639978,7.746568096
P62328,8.504046306,8.359138553,8.679213024,8.554989112,8.26534122,7.864501229,7.89363368,7.899971643,8.711869823,8.193337184,8.705578869,8.611595642,8.095009794,8.120828639,8.155213078,8.454659777,7.953670736,8.497453499,8.463408149,9.136036412,8.633727265,8.451269249
P62854,6.980114333,8.062711367,7.941226982,7.805225086,7.2280212095,7.457102709,7.5300919985,7.652795624,7.414358323,7.289215422,7.548650004,8.137090051,8.163902081,8.061881313,7.870918986,7.309446285,7.3721856455,7.3926971295,7.661101295,7.551541349,7.479340891,7.294380763
P62888,8.57416058,8.13925071,7.9278240855,7.553967546,7.394461268,7.58552566,7.0160843715,7.494293532,7.617371299,7.3231989545000005,7.811562045,7.642601597500001,7.837143353,7.82333671,8.080731025,7.519448437,7.319942728,7.0912616985,7.634409859,7.562116123,7.462383881,7.498229351
P63208,7.627593095,7.645685194,8.011819541,7.889997833,7.514712001,7.283369278,7.036353347,7.505639404,7.1043214,7.005531829500001,7.328251501,7.586149998,7.649884063,7.773443503,7.661801532,7.351158309,7.431367505,7.808064286,7.636984883,7.741567523,7.585721277,7.387949517999999
P68104,9.724844413,9.673215167,9.480957708,9.276987098,9.427374969,9.58169294,9.24431131,9.478846344,8.96810591,8.571890114,9.23117914,9.537040054,9.484804414,9.552335806,9.512373927,9.486540608,9.154860219,9.303113123,9.215452205,9.035125424,9.346964064,9.098321059
Q01518,8.954108994,8.859751535,8.779850823,8.722986774,8.486524926,8.80947319,8.816338848,8.487576836,8.669183915,8.638016197,8.783191707,8.561735492,8.598372417,8.73055219,8.773857456,8.765244449,8.583227366,8.573281348,8.79031054,8.737810555,8.712149426,8.757397572
Q01995,9.553106962,9.479991114,9.555317205,9.316296851,9.368297921,9.313297722,9.298129771,9.521133366,9.575394366,8.886376765,9.571141816,9.261047697,9.167700001,9.312719527,9.380042859,9.464902537,9.367042902,9.516472672,9.685045294,9.577781537,9.738946699,9.543612089
Q02790,8.377538077,8.212340943,7.896476761,7.82786349,7.311406807,7.106599439,7.066307689,7.3020621815,7.127585207499999,7.390745455,7.135751966,7.905295801,7.959616462,8.157079172,8.296200337,7.503075992,7.1601871930000005,7.5060949305,7.151473949,7.383036992,7.1812303265,7.113981369
Q07065,8.236580849,8.910147757,8.19858161,7.868700424,7.304674389,7.453126134,7.620377999,7.882900227,8.011997107,8.139460914,8.355698902,7.93033573,7.872717692,8.17499375,7.980624535,7.909651352,8.030125856,7.992871671,8.194165208,8.399737034,8.22059171,8.431296965
Q07866,7.936861078,7.828790799,7.904602802,7.076216481,6.974837584,7.4769849235,7.227209361,7.43741405,7.038621871,7.349319979500001,6.972186308,7.325064042,7.221116815,7.350613806,7.365319766,7.184021517,7.091920721999999,7.064540612,7.226142319,7.27440448,7.255668493,7.2551233825
Q14011,7.340911374,7.376333114,7.607415794,7.506316725,7.613861457,7.139582204,7.197968308,6.990231204,7.413716644,7.213821568,7.610121297,7.610490263,7.572945394,7.256990965,7.398887198,7.14227437,7.014253393,7.199137862,7.806231006,7.609000448,7.530079403,6.929663604
Q14195,8.899039845,8.813274742,8.758413867,8.594497292,8.616811703,8.417766438,8.631078494,8.838244728,8.939440909,8.601405768,8.896146637,8.680736447,8.462698424,8.638218026,8.765503369,8.709989678,8.525018069,8.791965979,9.144510385,9.156970329,9.152169216,8.842090863
Q15365,8.529573086,8.53721594,8.458377052,7.929119425,7.735546215,7.739635988,7.576979115,7.681754435,8.073230762,7.2547112925,8.070377528,8.207319098,8.13620271,8.306195224,8.32640047,7.998927779,7.550873629,8.019351155,8.167009376,8.18290313,8.059674375,7.9116252
Q15459,7.419965976,7.837466704,7.494762295,7.532400832,7.19997968,7.1121225589999995,7.3782486265,6.691939425,7.252060704,6.836762315,7.549358756,7.764095064,7.74654018,7.43760464,7.145810421,6.62697501,6.600360559,7.234105511,7.447183914,7.090929734,7.281130564,7.407147618
Q16181,8.059419934,8.023152939,7.926777809,7.917884529,7.844492323,7.603545454,7.44622146,7.235304916,6.737214454,7.453689964,7.781089816,8.09385703,8.026481766,8.016577763,7.917723296,7.378606071,7.411453092,7.447365399,7.454516033,7.882043197,7.484979497,7.618623078
Q16629,8.294492142,8.27841507,8.368771931,8.351927562,7.931714702,7.483548422,7.392910773500001,7.697001206,7.6432735335,7.2845173415,7.674010585,8.356042408,8.285417882,8.19660181,7.714387516,7.755176967,7.17008373,7.771503208,7.847870671,7.5060634205,7.5343092065,7.774526714
Q6NYC8,7.182668231,7.490513462,7.347391122,7.302942588,7.166556076,7.167129127999999,6.709628079,6.916136589,7.37014337,7.3716129165,7.541864579,7.765772332,7.406313114,7.203269166,7.166015402,6.948224779,6.951635087,7.323936984,7.353468917,7.627089835,7.283292993,7.311977889
Q7Z417,6.55438874,6.508820113,6.76430397,7.040642573,6.830614685,6.8860902435,6.749818481,6.824947759,6.981982232,6.9831752805,7.1631653195,7.273100712,7.478285966,7.153810056,7.2958739105,7.050682461,6.870317204,6.908942834,6.780784674,7.319632826,6.946226062,6.723717835
Q92804,7.268894629,7.637083642,7.49004401,7.25019528,6.600967485,7.3764467645,7.109623611,6.955838026,7.368276076,7.1467336775,7.264870763,7.401489043,6.749472365,6.993753346,7.44593918,7.101541461,7.119063519,6.754078921,7.375845651,7.688510904,7.229551892,7.076400098
Q96AC1,7.954988516,8.130208716,7.913607839,7.386094489,7.71591108,8.132692648,7.780546873,8.010486049,7.593102272,7.542200414,7.377964557,7.947677618,7.794321933,7.894051991,8.092647374,7.896404928,7.430965387,7.599002068,7.902637444,7.756817076,7.772263532,7.342135579
Q99439,8.26702959,8.386526632,8.263131265,7.985110163,8.568910906,8.562232482,8.353184824,8.445420892,8.373074679,7.725833891,8.282575915,7.831058884,7.505885438,7.984672159,8.350078923,8.495664979,8.25516206,8.725261226,8.464107712,8.539315044,8.337865488,8.239486554
Q99460,8.354091208,8.460587596,8.356775314,7.872775167,7.261326839,7.2609012645,7.4745205345,7.766642755,7.826745006,7.866871598,8.140117043,8.060409022,8.074129616,8.064144815,8.314999677,7.802286059,7.3103320395,7.52549155,7.876151266,7.928519593,7.786530532,8.535839164
Q99613,8.35736219,8.397518101,8.407672678,8.124116275,7.815264521,7.474531515,7.2863015685,7.694117427,7.262551953,7.10654266,7.93914928,8.330822262,8.295853103,8.284800504,8.206153839,6.839988047,7.3282681400000005,7.473331837,7.859095465,7.911507559,7.616728061,7.481558801
Q99879,9.728834114,9.284500164,9.482601122,9.132489615,8.788263478,9.026830943,9.07209083,9.014453558,8.979298554,8.494721753,9.111556793,9.391909693,9.267209764,9.407084419,9.561934164,9.210574894,8.918771349,8.857544782,8.905891337,8.791783599,8.964897685,9.251390013
Q9UMX0,8.343331391,8.389743085,8.358147071,7.480220356,7.644905469,7.854384032,7.3667885515,7.4274669685,7.152056053500001,7.3297324505,7.478111438,7.67651489,7.6308146285000005,8.044318965,8.45805612,7.499947002,7.1263985535,7.446161881,6.848105961,6.792490344,7.194932155,7.282538969
Q9UN86,7.312517875999999,7.357116873,7.4603230965,7.411692444,7.083131617,7.191492628500001,7.04830984,6.581385296,7.0979107715000005,7.458621675,7.4000669734999995,7.861600463,7.546212962,7.434073315,6.793876677,6.695053856,7.111009925499999,6.974845477,7.659246791,7.8990832,7.228518698,7.609675284
