,Protein,mg_1,mg_2,mg_3,mg_4,mg_7,mg_8,mg_9,mg_10,mg_11
0,O00629,7.761,7.364,7.129,6.864,6.934,6.989,7.254,7.225,7.308
1,O15143,8.122,7.842,7.748,7.529,7.387,7.206,7.628,7.511,7.82
2,O60716,7.788,7.771,7.748,7.708,7.333,7.101,7.279,7.442,7.692
3,O94925,8.105,8.136,8.235,8.319,7.756,7.408,7.858,7.93,8.122
4,P05556,7.652,7.773,8.004,7.763,7.535,7.473,7.288,7.845,7.909
5,P05787,9.191,9.267,9.342,9.44,9.446,9.212,9.499,9.607,9.645
6,P05976,7.295,7.565,7.648,7.649,7.661,7.431,7.402,7.664,7.762
7,P13667,8.879,8.847,8.881,8.984,8.966,8.672,8.86,9.019,8.934
8,P14174,8.106,7.978,8.194,8.431,8.538,8.448,8.63,8.568,8.687
9,P15374,7.526,7.106,7.323,7.79,7.647,7.316,7.749,7.759,7.736
10,P16989,8.156,7.857,7.718,7.244,7.235,7.0,7.71,7.704,7.882
11,P17096,8.078,7.704,7.754,7.591,7.418,7.65,7.745,7.782,8.052
12,P31949,7.989,8.418,8.602,8.835,8.553,8.663,8.499,8.812,8.717
13,P49023,7.801,7.566,7.441,7.045,7.191,6.971,7.405,7.409,7.736
14,P49756,7.743,7.116,6.647,6.366,6.397,6.644,6.781,7.094,7.241
15,P56192,7.544,7.607,7.456,7.743,7.566,7.227,7.483,7.495,7.524
16,P62328,8.606,8.09,8.116,8.15,8.45,7.949,8.492,8.458,9.131
17,P62424,8.588,8.54,8.33,8.144,7.787,7.527,7.988,7.986,8.065
18,P62854,8.132,8.159,8.057,7.866,7.305,7.466,7.648,7.656,7.547
19,P63208,7.582,7.645,7.769,7.657,7.347,7.427,7.803,7.632,7.737
20,P67809,9.01,8.723,8.804,8.565,8.287,8.22,8.541,8.723,8.856
21,P67936,8.789,8.573,8.592,8.471,8.518,8.245,8.493,8.919,8.933
22,P80723,8.099,7.895,7.738,7.497,7.401,7.465,7.746,8.124,8.4
23,Q01995,9.255,9.162,9.307,9.374,9.459,9.361,9.511,9.679,9.572
24,Q02790,7.901,7.955,8.152,8.291,7.499,7.152,7.304,7.147,7.379
25,Q07065,7.926,7.868,8.17,7.976,7.905,8.025,7.988,8.189,8.395
26,Q07866,7.321,7.217,7.346,7.361,7.262,6.972,7.06,7.222,7.27
27,Q07954,7.611,7.549,7.418,7.263,6.971,6.946,7.105,6.806,6.744
28,Q14011,7.606,7.568,7.253,7.394,7.138,7.01,7.195,7.802,7.604
29,Q15366,7.691,8.084,8.174,8.26,7.829,7.574,7.721,7.871,7.919
30,Q16181,8.089,8.022,8.012,7.913,7.374,7.19,7.443,7.45,7.877
31,Q3SX28,9.495,9.189,9.346,9.191,9.299,9.092,9.544,9.61,9.718
32,Q6NZI2,8.361,8.286,8.463,8.492,8.065,7.84,8.119,8.48,8.495
33,Q71UM5,8.177,7.898,7.867,6.898,7.479,7.117,7.516,7.5,7.465
34,Q86UP2,7.849,7.769,7.813,7.545,6.956,7.163,7.326,7.389,7.944
35,Q8IVL6,7.265,7.46,7.43,7.37,7.122,7.076,7.249,7.294,7.458
36,Q92841,8.565,8.244,8.084,8.283,7.832,6.861,7.525,8.077,7.961
37,Q96A49,7.99,7.585,7.583,7.402,7.64,7.076,7.48,7.463,7.897
38,Q96C90,7.61,7.586,7.598,8.101,7.532,7.368,7.65,7.726,7.842
39,Q99613,8.326,8.291,8.28,8.201,6.836,7.283,7.469,7.854,7.907
40,Q99879,9.386,9.262,9.401,9.556,9.205,8.913,8.852,8.901,8.786
41,Q9HBL0,7.746,7.543,7.41,7.23,7.014,6.893,7.581,7.588,7.757
42,Q9UBR2,7.699,7.313,7.102,7.144,7.295,7.276,7.52,7.602,7.694
43,Q9UHB9,7.685,7.553,7.438,7.283,7.079,7.217,7.088,7.359,7.317
44,Q9UKY7,8.237,8.086,8.355,8.409,7.395,7.501,8.086,8.133,8.434
45,Q9UMX0,7.672,8.084,8.039,8.453,7.495,7.253,7.442,6.844,6.788
46,Q9UN86,7.857,7.542,7.43,6.79,6.691,7.082,6.971,7.655,7.894
47,Q9Y5S9,7.704,7.434,7.327,6.892,6.895,6.875,7.417,7.586,7.615
