,Protein,ctr_1,ctr_2,ctr_3,ctr_4,ctr_7,ctr_8,ctr_9,ctr_10,ctr_11
0,O00629,7.585,7.39,7.332,7.318,7.181,6.896,6.685,6.991,7.261
1,O15143,7.78,7.866,7.829,7.859,7.697,7.698,7.229,7.39,7.373
2,O60716,7.825,7.813,7.737,7.587,7.518,7.502,7.26,7.484,6.957
3,O94925,8.27,8.212,8.317,8.131,7.641,7.582,7.427,7.48,7.479
4,P05556,8.06,8.492,7.868,7.632,7.519,7.474,7.199,7.165,7.464
5,P05787,9.614,9.501,9.543,9.376,9.359,9.317,9.195,9.571,9.626
6,P05976,7.857,7.663,7.851,7.588,7.547,7.15,7.143,7.389,7.5
7,P13667,9.072,9.056,9.008,8.82,8.546,8.338,8.616,8.999,8.911
8,P14174,8.51,8.483,8.352,7.949,8.513,8.851,8.604,8.513,8.528
9,P15374,7.83,7.894,8.091,7.59,7.704,7.44,7.199,7.612,7.63
10,P16989,8.09,7.864,8.103,7.766,7.622,6.746,6.858,7.018,7.747
11,P17096,8.22,7.762,8.24,8.124,7.714,7.672,7.095,6.836,7.667
12,P31949,8.547,8.852,8.636,8.242,8.197,8.858,8.821,8.977,8.727
13,P49023,7.647,7.637,7.882,7.426,7.302,7.477,6.969,7.004,7.339
14,P49756,7.285,7.117,7.445,6.629,6.669,6.581,6.695,6.441,7.056
15,P56192,8.107,8.008,7.858,7.566,7.404,7.428,7.367,7.434,7.465
16,P62328,8.499,8.354,8.674,8.55,8.26,7.86,7.889,7.895,8.707
17,P62424,8.479,8.465,8.29,8.045,7.858,7.856,7.488,7.689,7.256
18,P62854,6.976,8.058,7.936,7.801,7.525,7.805,7.467,7.648,7.41
19,P63208,7.623,7.641,8.007,7.885,7.51,7.497,7.032,7.501,7.1
20,P67809,8.922,8.866,9.079,8.663,8.505,7.893,7.931,8.159,8.678
21,P67936,8.751,8.747,8.853,8.651,8.242,7.778,8.121,8.453,8.913
22,P80723,8.168,7.981,8.009,7.779,7.762,6.808,7.202,7.123,8.197
23,Q01995,9.547,9.474,9.55,9.311,9.363,9.308,9.293,9.515,9.57
24,Q02790,8.373,8.207,7.892,7.823,7.307,7.102,6.91,7.363,7.391
25,Q07065,8.232,8.905,8.194,7.864,7.3,7.449,7.616,7.878,8.007
26,Q07866,7.932,7.824,7.9,7.072,6.971,7.342,7.324,7.251,7.034
27,Q07954,7.705,7.497,7.53,7.118,6.906,7.134,6.82,7.587,7.427
28,Q14011,7.336,7.372,7.603,7.502,7.609,7.135,7.194,6.986,7.409
29,Q15366,8.297,8.32,8.341,8.194,7.757,7.89,7.493,7.879,7.647
30,Q16181,8.055,8.018,7.922,7.913,7.84,7.599,7.442,7.231,6.733
31,Q3SX28,9.38,9.286,9.559,9.341,9.262,8.918,9.089,9.289,9.563
32,Q6NZI2,8.628,8.7,8.637,8.245,8.136,7.582,7.672,7.999,8.307
33,Q71UM5,8.473,8.086,8.371,7.867,7.574,7.272,7.138,7.412,7.551
34,Q86UP2,7.932,7.982,7.557,7.47,7.349,7.676,7.274,7.576,7.242
35,Q8IVL6,7.316,7.355,7.237,7.211,7.299,7.52,7.802,7.899,7.423
36,Q92841,8.581,8.603,8.23,7.999,7.802,7.548,7.006,7.532,6.886
37,Q96A49,7.718,7.544,8.063,7.676,7.445,7.087,7.178,6.79,7.428
38,Q96C90,7.895,7.806,7.877,7.7,7.556,7.064,7.218,7.074,7.511
39,Q99613,8.352,8.392,8.403,8.119,7.811,7.47,7.369,7.689,7.258
40,Q99879,9.723,9.279,9.477,9.127,8.783,9.021,9.067,9.009,8.974
41,Q9HBL0,7.607,7.477,7.627,7.464,7.269,7.836,7.137,7.307,7.312
42,Q9UBR2,7.562,7.61,7.551,7.775,7.539,7.55,7.265,7.764,7.892
43,Q9UHB9,7.39,7.2,7.163,7.236,7.335,7.263,7.802,7.336,7.3
44,Q9UKY7,8.478,8.407,8.525,8.268,8.054,7.921,7.672,7.516,8.09
45,Q9UMX0,8.338,8.385,8.353,7.476,7.64,7.85,7.501,7.398,7.241
46,Q9UN86,7.506,7.353,7.486,7.407,7.079,6.705,6.713,6.577,7.317
47,Q9Y5S9,7.757,7.612,7.858,7.184,7.1,7.359,6.775,6.791,7.262
