Entry,AS_1,PS_1,Role_1,AS_2,PS_2,Role_2
Q07065,-2.5,0.4169313052264245,1,0.5,0.20367580298030674,3
P63208,-3.0,-0.6713030758966787,0,1.0,0.043112599233697146,3
P14314,0.5,0.8271579200722492,3,-2.0,-1.9725705100167157,0
P56192,-0.5,-0.02912112034482872,0,0.5,0.43709857769340665,3
P62854,-1.0,1.8465766677067101,1,0.5,1.1264730839278672,3
Q99879,0.5,1.2018834842014394,3,-2.0,1.8908806648645529,1
