Entry,AS_1,PS_1,Role_1,AS_2,PS_2,Role_2
Q99879,0.5,1.4599149974900874,3,-1.0,0.4501376487020643,1
P05787,-0.5,-1.6323085576942893,0,0.5,0.636061150812381,3
