"","ctr_1","ctr_2","ctr_3","ctr_4","ctr_7","ctr_8","ctr_9","mg_1","mg_2","mg_3","mg_4","mg_7","mg_8","mg_9"
"A0AVT1",7.458938842746,7.44388785550476,7.26707601765078,7.25959328704215,6.9339815836149,7.39401317378617,6.92038329005729,7.40221843494774,7.67325150432051,6.82803228664331,7.40833371685484,7.21352665377215,6.99752296819261,7.32443045001061
"C9JLW8",7.13333319347276,7.40874714735015,7.4703803684229,7.22715453852755,6.9667828230651,7.08788622193044,7.11597198824309,7.06015938877058,7.49713326511437,7.59644670220013,7.19895849538565,6.94826676929923,7.14752171563803,6.94165583391825
"O00151",7.35420331877368,7.35795542311579,7.36616806709324,7.16763715756414,7.3634802283061,7.10595204833081,7.4096893715243,7.64851734798518,7.12575135160058,7.40188005373736,7.44374134154471,7.35107509709242,7.23102771929486,7.74715359585233
"O00154",8.25760000262096,8.14217226619132,8.13122347227984,7.95981679570207,7.87664676850603,7.16463984102434,7.43506545783122,8.17650493815612,8.11695509643194,7.97007928604273,8.25925736252666,8.01236825892686,7.30574463442494,7.78696285911005
"O00159",8.69865320376664,8.52873467822017,8.3672649338887,8.28098440448813,7.70872230369856,7.74761391618342,7.2360623284813,8.45017311505874,8.54137954036184,8.50093604070107,8.3595209680202,8.10993163622117,6.96463642046159,7.56761851835611
"O00203",7.43535445342199,7.31822234602446,7.1805186803979,7.25563826580881,7.22947916524317,7.00142432260809,7.19438062725073,7.53686468899811,7.50181419674151,7.24135283128327,7.39797663657501,6.85076614304511,7.18222932718915,7.09912088493172
"O00231",8.34034242820967,8.13910256871992,8.35683363194403,8.02595560306871,7.57760289803729,7.27444027637681,7.03646440251666,8.31493185723177,8.27334737508238,8.0408772045209,7.90009698967737,7.49853584101544,6.85864837373799,7.60154213657009
"O00232",7.89859429594846,8.1170286394875,7.95539940603744,7.68421815465548,7.3486421387997,6.95938060824517,7.16942579890173,7.58283197546853,7.66361894195605,7.77592011949587,7.9915777540304,7.98294617017989,6.75836641080464,7.20144207199668
"O00273",7.42088449473096,7.53339849802036,7.53501190915798,7.62814736474275,7.00418576831842,6.76735641160273,7.26013512699987,7.325541334342,7.37065281786878,7.60415642367765,7.53720828522665,7.32196565687207,7.2689718637132,6.95782387881996
"O00299",8.83674608461091,9.02605742246645,9.04132795908229,8.87164906888207,8.38106530548856,7.97738966108909,7.93546474902119,8.83355519587908,8.86889716649575,8.88295708647419,8.9704958972096,8.38412890157642,8.07840068809261,7.98919786286393
