"","ctr_1","ctr_2","ctr_3","ctr_4","ctr_7","ctr_8","ctr_9","ctr_10","ctr_11","mg_1","mg_2","mg_3","mg_4","mg_7","mg_8","mg_9","mg_10","mg_11"
"O00571",8.37220368938507,8.4729975047833,8.28791720525025,8.20006212245487,8.04549584770878,8.26061118630714,7.89688656948682,8.23027130489469,7.71997674323669,8.32924400887321,8.50939819952466,8.41520441010685,8.35942738227277,8.24716972868061,7.91106285806475,7.92135608014646,8.09118769135655,7.74653833592184
"O00629",7.58493190854648,7.38988390870384,7.33247280992023,7.3179300441318,6.90107743715982,7.11917845548576,6.66587413447438,6.99134321776964,6.8770147726457,7.76087369333388,7.36382564563511,7.1289290020775,6.86399268635358,6.93351292682771,7.12005405201355,7.25407987080802,7.2248255121863,6.65724162078196
"O00764",7.78425720185677,7.81631176791101,7.82361900565224,7.9018987612965,7.69471841444649,7.68390370073116,7.73409777727986,8.06062115800635,7.65567657076731,7.53875024060744,7.26599114168872,7.91114365433288,7.94312757588334,8.01373552359103,7.67521301414186,7.69209162605514,7.82605191451051,7.61850915274156
"O14558",7.70256200805788,7.10130162325386,8.00710333111536,7.97954563111313,8.43600257933626,8.10326101505889,6.92657666594075,8.05483385819901,7.93919401426474,7.1675916165133,7.16142873340064,8.04270133712737,8.16736960109091,7.87790922436793,7.55676732146136,7.75254844852606,8.00584093551834,8.35902078882167
"O14579",8.36848013277763,8.34581784733679,8.34385066958169,7.92523389820858,7.94700155094737,7.72779174211766,6.98348389993353,7.90750349251859,7.91186721270601,8.18735573317127,8.10642804418539,8.31622913227192,8.24847442910915,8.07321695576513,6.87415948972147,7.35829484626721,8.01157855909014,8.0731081739044
"O14737",8.02529151572747,7.96274540585874,8.00532639897291,7.95468069908416,7.46682908207378,7.4291728370865,7.17243326333355,7.17745104499856,7.62412075795735,7.95088291923641,7.90612832535882,7.79138199918827,7.85238549311047,7.47559075081119,7.0713130344067,7.44891756358982,7.58323193444878,7.77237454332349
"O14745",7.1116844996925,7.04732935378419,7.32466118396466,7.31296225219685,7.37597435618042,7.18536386544741,6.94651175791824,7.15019146110111,7.171643660022,7.36113356651655,7.32030728268914,7.22294959797859,6.82663858834685,7.1660428200434,7.11293106467144,7.31729858389373,6.84701003976599,7.40420495922038
"O14818",8.03493239401302,8.26593851429034,8.13710822372295,8.15374213419217,8.21021880795226,7.92067122619009,7.15619105150421,8.17025383799922,7.80061574184427,8.13398787274341,8.166780006448,7.91807968812649,8.23003541424415,8.07930843109855,7.14627454897504,8.03254665661063,8.11866677022279,8.04063816065268
"O14907",7.40398424904934,7.34610201921777,7.49631135348679,7.53454616258205,7.16663569069757,6.90440362029961,6.73103048092459,7.08189895620831,7.37314262714776,7.34153079095234,7.48703725947348,7.48698988756409,7.11969996061742,7.49948449780682,7.23662055484213,7.31325134525314,7.48234385982199,7.49374709955186
"O14974",7.52880523661146,7.50224322890365,7.54235661357039,7.46147061186732,7.23650700112984,7.44158878017225,7.13689179982359,7.38524502364728,7.19750952289939,7.5232878696165,7.43212060087421,7.33823349652748,7.3481762128686,6.86877684753297,6.83530496904629,7.4975067961053,7.39087129896716,7.42295408579602
"O14979",7.75237422322454,7.80978837435843,7.79665391740431,7.57824464115887,7.46116126219669,7.03937085452624,7.29271281051447,7.27777012511686,7.11318786521065,7.54043154495131,7.53480361279383,7.79724742861299,7.76344503100127,6.68400661903895,7.4520908237836,7.41261610651485,7.35723368080366,7.29636088823364
"O14980",8.37232232993771,8.28462817664877,8.1437894938669,7.68433770265807,7.59299024992174,7.40018652882056,7.23640768958073,6.85744162657039,7.11181725676184,8.18537118354511,7.95420485619442,7.63328683692661,8.21270181430458,7.25086720968152,7.70550305131775,7.13381852240819,7.41004179365767,7.22830989854344
"O15067",7.41621732042843,7.44991856921566,6.9959396878577,7.42583533273353,7.46341154876317,7.47984789399391,7.39024107406294,7.01380097897016,7.2001014958563,7.37902802976988,7.41295003587379,7.29877806691124,7.30307251828511,7.3009913698125,7.49978329210529,7.10602063619555,7.10034516558481,7.0624306913003
"O15143",7.78014339346952,7.41426542864491,7.82899927029067,7.85894072430865,7.69705703392244,7.6977835336675,7.22874283597991,7.39022371840127,7.29035709515112,8.12228739221118,7.84226758584083,7.74805935526628,7.5293235176549,7.38734907866661,7.48153551079982,7.6276006653538,7.27375849367038,7.82039588004809
"O15144",8.29089539321577,8.10153886006532,8.05076623675025,7.58973336097609,8.00956819899197,7.8069925188179,7.82555514528801,8.05500722306653,8.07691946730882,8.44775332744188,7.9997999401295,7.94139713352082,8.04316758577471,8.0586919609801,7.38322587689372,8.16936953504979,8.08584281599681,8.02866564702619
"O15145",8.1960613650228,8.06725743125268,8.13652947444768,7.86802763702991,7.65478562966249,8.31882945202703,7.72754870493224,8.00768488777877,7.68464675184567,8.05120721757361,7.95574718971346,7.91524822130794,7.92939575043817,7.77841638806627,7.71511560224719,7.09933386248218,7.49569922865472,7.62942277665876
"O15212",7.79529097855203,7.82555965380853,7.84635125215256,7.88942874434912,7.86640156852692,7.81548127497558,7.2163398587507,7.56879662122637,7.47121880031718,7.66160635157524,7.75982060813604,7.65492767129895,7.81062359665949,7.76600513889551,7.064818165911,7.59006250015943,7.41554456267035,7.60232113239396
"O15231",7.15904394247542,7.44579629223282,7.45803282115126,7.229636934843,7.20584796500877,7.14544138228458,7.11390620364504,7.3312015461713,6.89676037141368,7.29192374992471,7.19933151130727,7.14241973834868,6.9497777898467,6.82486636110803,7.28382004547315,7.1209702600369,7.75614574999096,6.90423824437472
"O15371",7.84226129876845,8.10086863244589,7.51081693435768,7.37645963037267,7.11964945310289,7.42125168759564,6.82770577228406,7.52253272692684,7.27623723967612,7.7019455541408,7.46122139492078,7.64698074103775,7.62615393211314,7.71586691498602,6.82124578702862,7.23594132737639,7.42109443787114,7.06573668884545
"O15372",7.87100281029285,7.94550935288398,7.72935552673287,7.40937518456488,7.86446868103577,7.53217506820965,6.99990503136459,7.50444805968388,7.08609807904805,7.51026322721182,7.49477826590052,7.58169787177751,7.55680468620946,7.71336510625099,7.10131795515227,7.55470209618735,7.07161057163932,7.06403113100244
"O15460",8.15994252254341,8.10427309812677,8.07106507790526,8.06493656845265,8.22447369795736,7.55588650541426,7.96103190229001,8.69169797671685,8.43010908117656,8.08983996193741,7.95661899333365,8.06230021952027,8.0427765856053,7.69583401928097,7.72038775310997,8.31964262495436,8.52231597450623,8.427731018709
"O15511",6.78628167855515,8.04070446803054,7.48466469486523,7.48423976739633,6.94075565812259,7.20568513962029,6.95907388589272,7.76428145277204,7.88729272075305,7.95678812759867,7.45066777276273,7.72105697375992,7.48385961732533,7.5882721094741,7.29799420279205,7.53149792960686,7.94468096834993,8.14267458239398
"O43143",7.98532758482807,8.12514323279673,7.88071681752804,7.57676615051818,6.93344272646878,7.04807407591048,6.66422171671517,7.03099497479647,7.11910505193828,7.8260088568508,7.949051789754,7.69113592993124,7.83923080038096,7.18656500954386,7.594090473123,6.8023880260076,6.93816140402639,6.82128611554358
"O43175",8.12495316316081,8.1801217008845,8.07107608229472,7.96793759048841,8.06252363806155,7.94453624959495,7.90032503896871,8.1871505139478,7.98046637009318,8.22684241015195,8.1781709918354,8.10404778068093,8.08992819603445,8.17843076841539,7.90654581588916,8.33780055353011,8.27007410430104,8.22416405983548
"O43237",7.48845140141604,7.38731686270365,7.42828364493286,7.34743553980637,6.9137764891623,7.06412124513064,7.38540383370801,6.81667503712001,7.33077075649021,7.77664221551866,7.43668424795462,7.47521054844917,7.27270253806299,6.97247903649139,7.14499377041528,7.22582706671921,7.42704827559529,6.88305043848316
"O43242",8.32732711301523,8.21388813275938,8.09354013867906,8.02803490194933,7.34432718973732,7.39397931657153,6.94270169713019,7.9050973218321,7.67138365264876,8.27288751574989,8.27515699322918,8.12675588830252,7.89223245289612,7.62252909818422,6.96646978691689,6.9971265461206,7.37230046859145,7.70938748871291
