Entry,SumWeight,FitScore,AS,PS,Role
O15143,31.95368071794354,,0.0384139732451283,-0.6556641988830565,2
O94925,25.63784551809859,,-0.5550955595581764,-1.246208430173326,0
P02652,26.767511993949785,,-0.44893892293116977,0.08839733260512972,1
P04179,23.092882425704687,,-0.7942499719477585,-0.5206606677377374,0
P12956,10.961553258649104,,-1.9342511401858113,-3.1516142537511884,0
P18859,35.50491718054996,,0.3721295670033915,-0.9167627267879288,2
P21281,11.08011725612524,,-1.9231094842491459,-1.7388179462375004,0
P26022,23.41471007585748,,-0.7640072926754975,-0.42873882744802483,0
P26447,42.67745679142956,,1.0461450374467698,0.7033168420524207,3
P30085,4.735713513013331,,-2.519303650553917,-2.1824681361784624,0
P35222,30.31855062497575,,-0.11524191973538533,-1.661035339533266,0
P36957,15.900476408270205,,-1.4701323216398485,-2.4548959796285708,0
P38606,14.755371987345926,,-1.5777396876285068,7.51822789624157e-05,1
P40926,20.94019693475583,,-0.9965414060302809,0.17284856637347623,1
P42765,17.63534650901918,,-1.3071036943261998,-0.000727807982283224,0
P56192,14.98094713232014,,-1.556542016272394,-1.9509452992264467,0
P61981,25.95597973519563,,-0.5251999583299103,0.34926311980294855,1
P62854,19.54223934388108,,-1.127909804727459,0.6372421296474897,1
P62917,36.03967448550527,,0.42238159989921087,-1.1094351316669337,2
Q02218,36.07488034416846,,0.4256899529619447,0.23334457945073428,3
Q02818,35.36124034858164,,0.35862801626339236,-0.9591996143032642,2
Q07065,23.32091123258514,,-0.7728217259034929,0.4414128307255716,1
Q07866,34.67687794155239,,0.2943173432309414,-0.08679096328100488,2
Q07954,11.663140748248454,,-1.8683217975102813,-0.5754911384806825,0
Q13162,15.646106474882366,,-1.4940358871299566,-0.7675127266070829,0
Q14011,7.632271896798674,,-2.2471092441608973,-0.9958379503267922,0
Q15459,22.186384855820503,,-0.8794350554981496,-0.5772158408453079,0
Q15843,25.962557037411464,,-0.5245818783069671,-1.555325113529022,0
Q96L92,16.92566298573047,,-1.3737938347458907,-0.9521746686161903,0
Q9H0U4,1.960090974553416,,-2.780133514525052,1.7538769182948508,1
Q9UHD8,15.062341458048596,,-1.5488932561785393,-1.6738337644699768,0
Q9UJZ1,6.229129907913436,,-2.3789648293573604,-0.00022554683688813526,0
Q9UNH7,37.84552159873381,,0.5920800550635845,-0.8582018562555236,2
Q9Y3D6,37.36628617105456,,0.5470455052717078,-0.13964028888254898,2
