Entry,SumWeight,FitScore,AS,PS,Role
O15143,16.122647474988653,,-1.2700277231043022,-1.9535063923393818,0
O94925,1.913248021273919,,-2.463570496985714,-2.359467692083908,0
P02652,15.30398386877532,,-1.3387927708192624,0.4424073149798371,1
P04179,19.197680173610173,,-1.0117351000526444,-0.6684635094576641,0
P12956,14.94074587118178,,-1.3693035667638147,-2.357927585293755,0
P18859,16.512019727433778,,-1.2373217357914947,-1.7104721309950004,0
P21281,41.078251214169455,,0.8261608320679152,0.8051658452452433,3
P26022,31.938550312746514,,0.05845604610111943,-1.1624383418478907,2
P26447,25.479507420129607,,-0.48408229239689593,-1.443823350663752,0
P30085,16.757290133739133,,-1.2167198291418662,-1.3242197655860592,0
P35222,1.9129714299849183,,-2.4635937297433954,-3.0914465264642392,0
P36957,10.25804476592866,,-1.762635043201423,-1.3573140972357693,0
P38606,36.26587612756899,,0.42193716811022863,-0.10088694656546737,2
P40926,18.58034519704651,,-1.063589205691795,-0.5494417161482179,0
P42765,19.927313344311063,,-0.9504483158144432,0.17991597295681672,1
P56192,19.028121877858965,,-1.0259774386753788,-2.2332271515736943,0
P61981,21.34286580769073,,-0.8315465691769279,-1.13374086157893,0
P62854,37.102178286691206,,0.4921837961998343,1.0785016118106485,3
P62917,12.729795688536818,,-1.5550161032086824,-0.9896067393697905,0
Q02218,12.821304830359615,,-1.5473296365622586,-0.07761332855629499,0
Q02818,16.785005278934747,,-1.2143918481893248,-1.302559735169945,0
Q07065,42.66470769307672,,0.9594179533589986,0.3018778002974578,3
Q07866,9.84961791117282,,-1.7969415543767076,-0.8817448209814676,0
Q07954,43.45025572152478,,1.0254014015648876,-0.000707248832706231,2
Q13162,17.577377783131652,,-1.1478351664880941,0.4650115726807922,1
Q14011,6.816029285061198,,-2.0517530117798426,0.00023574961090178093,1
Q15459,12.833197281558943,,-1.5463307098138812,-0.6190890582370874,0
Q15843,42.799402640472174,,0.9707318854970772,-0.1711809615608848,2
Q96L92,29.154819967383627,,-0.1753681383033583,0.40094980290676663,1
Q9H0U4,9.876713268835232,,-1.7946656335364888,-1.7120025320222252,0
Q9UHD8,35.93407912195814,,0.3940673119820879,-0.45267105191445767,2
Q9UJZ1,40.30290489257227,,0.7610342936514081,0.41653532410164473,3
Q9UNH7,26.557919739008387,,-0.3934992079635866,-0.964723684028137,0
Q9Y3D6,22.89173378634336,,-0.7014467581582526,-0.38940060220826345,0
