source,target,Weight,Sign
O15143,P21281,3.829948998297841,
O15143,P26022,2.726413379401513,
O15143,P38606,2.4170650233345365,
O15143,P40926,2.3379883693156405,
O15143,P61981,2.615002042485911,
O15143,P62854,2.5287329818700384,
O15143,P62917,3.3635095778395443,
O15143,Q15459,3.521807267902837,
O15143,Q96L92,2.8405163297597253,
O15143,Q9H0U4,3.4402721192149026,
O15143,Q9UHD8,2.3324246285210486,
O94925,P30085,2.298845698610687,
O94925,P35222,4.453142482753385,
O94925,P42765,2.52483431821272,
O94925,P62854,2.5170241151826627,
O94925,Q02218,2.336082103047267,
O94925,Q02818,2.141525167448036,
O94925,Q07866,3.598153563679908,
O94925,Q9H0U4,2.350061461345872,
O94925,Q9UJZ1,3.4181766078180504,
P02652,P18859,2.2752597380330406,
P02652,P36957,1.986934328578141,
P02652,P38606,2.9939266364879686,
P02652,P61981,2.52450857810717,
P02652,P62917,2.2164471901537044,
P02652,Q02818,1.875509882466676,
P02652,Q07954,2.735209712975258,
P02652,Q14011,4.440445657434322,
P02652,Q15843,2.6140498588091403,
P02652,Q9Y3D6,3.1052204109043706,
P04179,P26447,2.578727426117017,
P04179,P56192,2.656692071959693,
P04179,P62854,2.24053850597269,
P04179,Q02218,2.5995203262643045,
P04179,Q02818,2.6715218671017795,
P04179,Q07065,3.0397941692740766,
P04179,Q07866,2.0016163503905786,
P04179,Q9H0U4,3.0384126846551824,
P04179,Q9UNH7,2.2660590239693668,
P12956,P26447,2.1521719310537417,
P12956,P42765,2.2601741005102167,
P12956,P56192,2.24682991032033,
P12956,Q07866,2.352379245181389,
P12956,Q9UHD8,1.9499980715834264,
P18859,P02652,2.6269270979075414,
P18859,P26022,3.5657548736200853,
P18859,P30085,2.4946496251464136,
P18859,P36957,3.2113474943922604,
P18859,P40926,1.9591962132663032,
P18859,Q07954,3.090452494863514,
P18859,Q15459,2.023870160055037,
P18859,Q15843,3.599538094338566,
P18859,Q96L92,4.488153308742151,
P18859,Q9UJZ1,3.8840632928194094,
P18859,Q9Y3D6,4.560964525398674,
P21281,O15143,2.588592444908818,
P21281,P38606,2.546372661855469,
P21281,P40926,1.9722766055705176,
P21281,P56192,2.049306513892618,
P21281,Q07954,1.9235690298978192,
P26022,O15143,2.5376651773956795,
P26022,P18859,3.113579053583397,
P26022,P30085,2.1324576516274134,
P26022,P36957,2.4947474847445714,
P26022,P38606,2.941869542239138,
P26022,P62854,2.353489787968196,
P26022,Q07866,2.242405497695493,
P26022,Q15459,2.562555413443695,
P26022,Q9Y3D6,3.035940467159896,
P26447,P04179,3.534345502731977,
P26447,P12956,2.8049099290177275,
P26447,P38606,3.16695707341002,
P26447,P40926,2.32115326037731,
P26447,P42765,4.233876489975922,
P26447,P62854,2.2880408319186687,
P26447,Q02218,4.5386457984572655,
P26447,Q02818,2.16650268378284,
P26447,Q07065,4.9172188789927,
P26447,Q13162,5.56175685613641,
P26447,Q9UHD8,3.089356574338836,
P26447,Q9UNH7,4.054692912289878,
P30085,P40926,2.485461648910027,
P30085,Q15459,2.250251864103304,
P35222,O94925,4.462995151935969,
P35222,P42765,2.0490873471139834,
P35222,P62854,2.071061730714592,
P35222,Q07065,3.498341798092408,
P35222,Q07866,4.044281323097001,
P35222,Q07954,2.805052897236473,
P35222,Q13162,2.7807281069999203,
P35222,Q14011,2.145594052368204,
P35222,Q9H0U4,3.552126830191705,
P35222,Q9UJZ1,2.909281387225493,
P36957,P02652,1.8999345516367887,
P36957,P18859,2.6596555263758224,
P36957,P26022,2.3662262605689985,
P36957,Q15843,2.335995892120542,
P36957,Q96L92,1.923010443862264,
P36957,Q9UJZ1,2.289131311463663,
P36957,Q9Y3D6,2.4265224222421256,
P38606,P02652,2.475292995431395,
P38606,P21281,2.8757683384153148,
P38606,P26022,2.4125894122643614,
P38606,P26447,2.1723961858587053,
P38606,Q07065,2.449123960522304,
P38606,Q07954,2.370201094853845,
P40926,O15143,1.8751538863681003,
P40926,P21281,2.3404086937057262,
P40926,P30085,2.6860719584184047,
P40926,P61981,3.686199293146117,
P40926,P62917,2.1539634329309694,
P40926,Q02218,1.9657256542290464,
P40926,Q13162,3.2958470856262023,
P40926,Q15459,2.9368269303312595,
P42765,O94925,2.142741029830796,
P42765,P12956,2.162507153521717,
P42765,P26447,3.108220973515136,
P42765,Q07065,2.0359486896890973,
P42765,Q07866,2.3734003872538527,
P42765,Q13162,3.2982577172732626,
P42765,Q9UHD8,2.5142705579353177,
P56192,P04179,2.105810628831516,
P56192,P21281,1.9512662434322103,
P56192,Q07065,2.5041173355995587,
P56192,Q07866,2.350507686433203,
P56192,Q96L92,1.927747271963756,
