Regulator,Target,Weight,Sign
O15143,O94925,0.032005098281749966,
O15143,P02652,0.18757380171255814,
O15143,P04179,0.01022388309010668,
O15143,P12956,0.0009596774170468233,
O15143,P18859,0.0035410659120700748,
O15143,P21281,0.03289561395074226,
O15143,P26022,0.005869869378950597,
O15143,P26447,0.029194521711927796,
O15143,P30085,0.01429486105312678,
O15143,P35222,0.004275244405185913,
O15143,P36957,0.005854043610583779,
O15143,P38606,0.0072651634155409435,
O15143,P40926,0.10634343173609606,
O15143,P42765,0.017695829597235806,
O15143,P56192,0.004193144635412578,
O15143,P61981,0.08695616369497047,
O15143,P62854,0.01252817115666761,
O15143,P62917,0.0680861072776707,
O15143,Q02218,0.020079691663844955,
O15143,Q02818,0.006111405258254912,
O15143,Q07065,0.02671794493598634,
O15143,Q07866,0.03469268246277617,
O15143,Q07954,0.004318071639508407,
O15143,Q13162,0.014563409682835702,
O15143,Q14011,0.08556463068477953,
O15143,Q15459,0.032071432132155284,
O15143,Q15843,0.013017136973970434,
O15143,Q96L92,0.025565946301278272,
O15143,Q9H0U4,0.017822990563278917,
O15143,Q9UHD8,0.0029541825798109433,
O15143,Q9UJZ1,0.0038328724208847886,
O15143,Q9UNH7,0.0024826794680069208,
O15143,Q9Y3D6,0.03288883444811376,
O94925,O15143,0.0184146740987715,
O94925,P02652,0.009238689728117245,
O94925,P04179,0.010434445811623082,
O94925,P12956,0.018439568527610976,
O94925,P18859,0.03701650018921996,
O94925,P21281,0.009762715530746681,
O94925,P26022,0.10862087492267905,
O94925,P26447,0.015261172432844654,
O94925,P30085,0.017973358095254226,
O94925,P35222,0.05982556098511447,
O94925,P36957,0.02114924003050083,
O94925,P38606,0.015690352787697332,
O94925,P40926,0.03518833134633081,
O94925,P42765,0.009429924589761158,
O94925,P56192,0.011455459916138687,
O94925,P61981,0.0017174273403151269,
O94925,P62854,0.09358223853494607,
O94925,P62917,0.0016218088474516889,
O94925,Q02218,0.030010936722205717,
O94925,Q02818,0.025162108918262493,
O94925,Q07065,0.012029484457578515,
O94925,Q07866,0.0960899734021445,
O94925,Q07954,0.0026747695042674447,
O94925,Q13162,0.018776769997632798,
O94925,Q14011,0.02253001881421669,
O94925,Q15459,0.029995508635121015,
O94925,Q15843,0.008779671575636699,
O94925,Q96L92,0.02105881354235489,
O94925,Q9H0U4,0.021957492597608427,
O94925,Q9UHD8,0.08311044027822961,
O94925,Q9UJZ1,0.050416918697525015,
O94925,Q9UNH7,0.027996527439446986,
O94925,Q9Y3D6,0.006017859876692373,
P02652,O15143,0.019482248467977827,
P02652,O94925,0.013404413705035456,
P02652,P04179,0.0042358456301902015,
P02652,P12956,0.015323794448525148,
P02652,P18859,0.0543159245131465,
P02652,P21281,0.015799668266068965,
P02652,P26022,0.03830366380166578,
P02652,P26447,0.017995756925074415,
P02652,P30085,0.05193411826173439,
P02652,P35222,0.0689225822704423,
P02652,P36957,0.01083822529491607,
P02652,P38606,0.055523413193286596,
P02652,P40926,0.023607712005015404,
P02652,P42765,0.042694813797959696,
P02652,P56192,0.026326027069064162,
P02652,P61981,0.013541503230217187,
P02652,P62854,0.007730417217456234,
P02652,P62917,0.0075460294073026605,
P02652,Q02218,0.06986144492365864,
P02652,Q02818,0.01883512965736201,
P02652,Q07065,0.034790210402067916,
P02652,Q07866,0.09339067783267346,
P02652,Q07954,0.004325404164104518,
P02652,Q13162,0.025898784179744574,
P02652,Q14011,0.020870792667514116,
P02652,Q15459,0.0017412247810372433,
P02652,Q15843,0.008436979132791327,
P02652,Q96L92,0.0498014329154087,
P02652,Q9H0U4,0.03534486460748415,
P02652,Q9UHD8,0.05518262711881885,
P02652,Q9UJZ1,0.04474401311875957,
P02652,Q9UNH7,0.005780342769154933,
P02652,Q9Y3D6,0.03451801626900014,
P04179,O15143,0.019905976092592842,
P04179,O94925,0.01781474748231676,
P04179,P02652,0.008928843133542738,
P04179,P12956,0.07306046338407858,
P04179,P18859,0.028747117258848445,
P04179,P21281,0.00824751408658333,
P04179,P26022,0.05700598329910868,
P04179,P26447,0.020375570975631415,
P04179,P30085,0.039269378303494765,
P04179,P35222,0.012125094910396069,
P04179,P36957,0.048319711343013765,
P04179,P38606,0.019877557517877655,
P04179,P40926,0.010593833330050246,
P04179,P42765,0.114954419613276,
P04179,P56192,0.042315841037577295,
P04179,P61981,0.007207984102289902,
P04179,P62854,0.03972743163935267,
P04179,P62917,0.008708412342213869,
P04179,Q02218,0.023069219542411156,
P04179,Q02818,0.012557041788537681,
P04179,Q07065,0.03515040813048389,
P04179,Q07866,0.030147677067934663,
P04179,Q07954,0.015382065578727185,
P04179,Q13162,0.017042931309636633,
P04179,Q14011,0.0035266989395772107,
P04179,Q15459,0.03367563770828574,
P04179,Q15843,0.013440932190388255,
P04179,Q96L92,0.03305346210876579,
P04179,Q9H0U4,0.06595969218161993,
P04179,Q9UHD8,0.016041838338711298,
P04179,Q9UJZ1,0.004591870430106982,
P04179,Q9UNH7,0.04009261236584008,
P04179,Q9Y3D6,0.0015306244302170646,
P12956,O15143,0.02251102118139449,
P12956,O94925,0.018671766849659547,
P12956,P02652,0.023227026768934636,
P12956,P04179,0.10796097100066979,
P12956,P18859,0.060332051720985075,
P12956,P21281,0.002359578540629184,
P12956,P26022,0.04779564699503586,
P12956,P26447,0.05384009806756773,
P12956,P30085,0.02856662011430999,
P12956,P35222,0.002861824287231345,
P12956,P36957,0.04071869845578613,
P12956,P38606,0.01916742064670035,
P12956,P40926,0.004414052840273335,
P12956,P42765,0.049784072179242474,
P12956,P56192,0.03775262515911062,
P12956,P61981,0.015577712646603337,
P12956,P62854,0.061045888130205145,
P12956,P62917,0.001912635303608519,
P12956,Q02218,0.0477648794787802,
P12956,Q02818,0.03251269585987506,
P12956,Q07065,0.022801789323742824,
P12956,Q07866,0.012703074542465444,
P12956,Q07954,0.014282505505706387,
P12956,Q13162,0.002536065490508188,
P12956,Q14011,0.011713160884820203,
P12956,Q15459,0.012138669070478857,
P12956,Q15843,0.010622500859749888,
P12956,Q96L92,0.020587865197916045,
P12956,Q9H0U4,0.031377391663158116,
P12956,Q9UHD8,0.0034044476830087933,
P12956,Q9UJZ1,0.008797927247144378,
P12956,Q9UNH7,0.10159056011652712,
P12956,Q9Y3D6,0.024747386170993098,
P18859,O15143,0.009649058745103682,
P18859,O94925,0.08158878459222499,
P18859,P02652,0.03451993053443232,
P18859,P04179,0.06736875394790018,
P18859,P12956,0.02708074441022438,
P18859,P21281,0.0024479873136029353,
P18859,P26022,0.011732291632242023,
P18859,P26447,0.031685758808128725,
P18859,P30085,0.014857720542540927,
P18859,P35222,0.018374739188027893,
P18859,P36957,0.0843222263766098,
P18859,P38606,0.0018392082165479685,
P18859,P40926,0.004742554467411447,
P18859,P42765,0.04860102718449257,
P18859,P56192,0.021433052310295308,
P18859,P61981,0.0035862971172194416,
P18859,P62854,0.029429306466612373,
P18859,P62917,0.00350860179639602,
P18859,Q02218,0.012660221291639753,
P18859,Q02818,0.05246524173332188,
P18859,Q07065,0.02332124727596031,
P18859,Q07866,0.02516762620947553,
P18859,Q07954,0.04420108998827673,
P18859,Q13162,0.0075917469672226725,
P18859,Q14011,0.02841849304144329,
P18859,Q15459,0.014288154466376941,
P18859,Q15843,0.1096631438004057,
P18859,Q96L92,0.02588505717373193,
P18859,Q9H0U4,0.07667185620260589,
P18859,Q9UHD8,0.004589186035578519,
P18859,Q9UJZ1,0.0023412998475706337,
P18859,Q9UNH7,0.026485203563282718,
P18859,Q9Y3D6,0.03175987675203624,
P21281,O15143,0.009618250606156805,
P21281,O94925,0.03029146265787347,
P21281,P02652,0.1613596780328374,
P21281,P04179,0.021070360010841886,
P21281,P12956,0.01579525456638303,
P21281,P18859,0.010288680752008053,
P21281,P26022,0.012883104122677215,
P21281,P26447,0.0033863959784967397,
P21281,P30085,0.01069036437587532,
P21281,P35222,0.011107894252191431,
P21281,P36957,0.018950652666031118,
P21281,P38606,0.01123189669729068,
P21281,P40926,0.02246348060758551,
P21281,P42765,0.02224036107899969,
P21281,P56192,0.028634600980331822,
P21281,P61981,0.16662667475382983,
P21281,P62854,0.003818899921197168,
P21281,P62917,0.06256292500956483,
P21281,Q02218,0.012546063433217463,
P21281,Q02818,0.004218934512659289,
P21281,Q07065,0.010717736074482861,
P21281,Q07866,0.02702395483412752,
P21281,Q07954,0.009786541503710272,
P21281,Q13162,0.004007534381542516,
P21281,Q14011,0.054183979274047014,
P21281,Q15459,0.011474945772085791,
P21281,Q15843,0.0296754467724396,
P21281,Q96L92,0.01684054504760048,
P21281,Q9H0U4,0.0039621934454330725,
P21281,Q9UHD8,0.029166888799454477,
P21281,Q9UJZ1,0.01153686990308286,
P21281,Q9UNH7,0.023007455880984462,
P21281,Q9Y3D6,0.1152809259259739,
P26022,O15143,0.040082364454177,
P26022,O94925,0.021570680525735585,
P26022,P02652,0.002327441994587935,
P26022,P04179,0.021509248001245033,
P26022,P12956,0.13213381161631593,
P26022,P18859,0.04146447205165433,
P26022,P21281,0.001050427423404268,
P26022,P26447,0.07480498429884246,
P26022,P30085,0.025612750264441837,
P26022,P35222,0.0216338031381696,
P26022,P36957,0.0767741326970197,
P26022,P38606,0.0006723510563965918,
P26022,P40926,0.017768105977308744,
P26022,P42765,0.06374842734836338,
P26022,P56192,0.009963054845349326,
P26022,P61981,0.00085988187289797,
P26022,P62854,0.11404604448482214,
P26022,P62917,0.03857250720075115,
P26022,Q02218,0.012180173560166303,
P26022,Q02818,0.01590870429816387,
P26022,Q07065,0.010042947917932858,
P26022,Q07866,0.0032399371203431283,
P26022,Q07954,0.0004513130480926695,
P26022,Q13162,0.03818231429375898,
P26022,Q14011,0.0006799164213856269,
P26022,Q15459,0.06236656032243636,
P26022,Q15843,0.0008335233614653093,
P26022,Q96L92,0.002681269866854735,
P26022,Q9H0U4,0.02114836936775322,
P26022,Q9UHD8,0.08275804454500195,
P26022,Q9UJZ1,0.010972698707833487,
P26022,Q9UNH7,0.010405336030786213,
P26022,Q9Y3D6,0.0028871781466572864,
P26447,O15143,0.04264576357761771,
P26447,O94925,0.009262544463237366,
P26447,P02652,0.020253586999409653,
P26447,P04179,0.03785072293468626,
P26447,P12956,0.038133084555740354,
P26447,P18859,0.009500187548208862,
P26447,P21281,0.032139530686460055,
P26447,P26022,0.02017024484031257,
P26447,P30085,0.055964881975987195,
P26447,P35222,0.019903267652422847,
P26447,P36957,0.06795541879897586,
P26447,P38606,0.014241235388845967,
P26447,P40926,0.028214056053321387,
P26447,P42765,0.008183353558619797,
P26447,P56192,0.003156851143432824,
P26447,P61981,0.007661854019261315,
P26447,P62854,0.03687383955976609,
P26447,P62917,0.033165589147271496,
P26447,Q02218,0.024929041719308175,
P26447,Q02818,0.0030314525081025123,
P26447,Q07065,0.10632028961370604,
P26447,Q07866,0.0011633788363688597,
P26447,Q07954,0.02080133154361271,
P26447,Q13162,0.01806551099059998,
P26447,Q14011,0.02413237788405807,
P26447,Q15459,0.04458554884131884,
