,Entry,ctr_1,ctr_2,ctr_3,ctr_4,ctr_7,ctr_8,ctr_9,ctr_10,ctr_11,ctr_14,ctr_21,mg_1,mg_2,mg_3,mg_4,mg_7,mg_8,mg_9,mg_10,mg_11,mg_14,mg_21
0,Q09666,9.607990858547176,9.630438045736888,9.63138288234131,9.506883691128907,9.291879223914698,9.211814430456819,8.737860274630073,8.969960768437314,9.313128713845193,8.292034435994736,9.244845909032437,9.563243701140397,9.502959418949363,9.593496515899368,9.607347776768414,9.297257006590092,8.938524728540319,9.367635419790512,9.30362797638389,9.341414738501829,8.948026428227154,8.820411657073096
1,Q15149,9.479992562107073,9.466793502343535,9.385069776331935,9.3392526340327,9.338217366601095,9.21133416373255,8.972198208349246,9.393241677449103,9.429558499461422,9.332094928446079,9.385677756518712,9.502945778404678,9.44258950470758,9.410034503205365,9.404217744514924,9.270236165837012,9.03977092693158,9.333850145102545,9.466259478935452,9.404662700873722,9.454341701355048,9.27422714604577
2,P35579,9.888516461074945,9.846912078750439,9.732827837302287,9.744332106989367,9.824002104221735,9.645648200912351,9.783281693114352,9.857163571284065,10.047508505594012,10.210157937653243,10.100370545117563,9.916948499359892,9.859234396090498,9.773062016986861,9.710235869853555,9.800400862775948,9.793978863898634,9.862173136390316,10.086786795626624,10.130140705819276,10.125188384168597,10.30224432095016
3,Q14204,8.848349252805468,8.826981336911993,8.646364510503878,8.632416796638804,8.430397591386967,8.251443535033362,7.56299430794742,8.636939007287472,8.549150455547585,7.797731371687489,8.590552059922148,8.831914544599794,8.851875708907373,8.682938901669779,8.69729910333844,8.562530768862262,,8.462832075378275,8.578260899653317,8.656577291396115,8.619093330626743,8.462442922590675
4,P21333,9.750199727829182,9.669772325387642,9.640997910366583,9.683623312308349,9.807169579930125,9.7483896169359,9.747481724446729,9.730846849970561,9.838937199519952,9.768060631129828,9.922403639170158,9.780749231103552,9.809559714635268,9.703678200880356,9.667387570304617,9.720093120156529,9.711992713282365,9.815956097010758,9.880544932349096,9.928963955613188,9.994119100914938,9.68058024509398
5,O75369,9.217483944213907,9.167317334748176,9.123851640967086,9.123851640967086,9.28330122870355,9.409933123331294,9.217483944213907,9.3096301674259,9.298853076409706,9.342422680822207,9.318063334962762,9.220108088040055,9.2405492482826,9.15836249209525,9.12057393120585,9.187520720836464,9.173186268412275,9.232996110392154,9.305351369446624,9.296665190261532,9.342422680822207,9.230448921378274
6,Q9Y490,9.30937462491667,9.303433666006205,9.230448921378274,9.27177192803563,9.304985720206671,9.33645973384853,9.328501922685259,9.239899817176967,9.310268366632448,9.208548841770611,9.342284474225748,9.326929537043505,9.31777092295024,9.295523118547493,9.233199241584774,9.309118931955558,9.273718712686195,9.282939165754774,9.390829168700146,9.469851458673805,9.264109156305809,9.13312357540262
7,P02751,7.957070671419109,8.158302169228023,8.47894147175799,8.587003397918764,8.455210427775805,8.785550485980252,8.68617134326864,9.711984283898866,9.757563033018078,10.02812371512884,9.895278862521364,8.124145425061654,7.902666343312217,8.331791586614997,8.580890777913336,8.82966392702455,8.256140226634534,8.835804677678755,9.312959735882105,9.432632622254582,9.830992624810913,10.291967923324126
8,Q13813,8.856082101490554,8.919219345920554,8.978203349906158,8.941531308357247,8.945675342803852,8.317687340486183,8.070850253427574,8.695709271209079,8.85681948478892,8.61021286497437,8.801465453658704,8.929357609223818,8.912615241917932,8.93408921368824,8.920024137138212,8.710531990314783,8.218272853571447,8.836153149829169,8.81209075930469,8.846726688804013,8.643195972076743,8.816744922078563
9,Q01082,8.908747660798833,8.892550928862525,8.8913757518336,8.734527810487702,8.723160021304269,8.372175286115064,7.663069279064948,8.792965699470697,8.769857148354559,8.38298906196446,8.741899737679178,8.879692122941993,8.885796427354729,8.831120786316248,8.872639848283026,8.7695471699538,7.955115046806369,8.617713089863427,8.826340483713551,8.801328233644005,8.670857888189309,8.755478476365674
