	level_0	Symbols	ID	ctr_1	ctr_2	ctr_3	ctr_4	ctr_7	ctr_8	ctr_9	ctr_10	ctr_11	ctr_14	ctr_21	Mg_1	Mg_2	Mg_3	Mg_4	Mg_7	Mg_8	Mg_9	Mg_10	Mg_11	Mg_14	Mg_21	Sites	Effect
0	0	AHNAK	AHNAK	9.607990858547176	9.630438045736888	9.63138288234131	9.506883691128907	9.291879223914698	9.211814430456819	8.737860274630073	8.969960768437314	9.313128713845193	8.292034435994736	9.244845909032437	9.563243701140397	9.502959418949363	9.593496515899368	9.607347776768414	9.297257006590092	8.938524728540319	9.367635419790512	9.30362797638389	9.341414738501829	8.948026428227154	8.820411657073096		
1	1	FN1	FN1	7.957070671419109	8.158302169228023	8.47894147175799	8.587003397918764	8.455210427775805	8.785550485980252	8.68617134326864	9.711984283898866	9.757563033018078	10.02812371512884	9.895278862521364	8.124145425061654	7.902666343312217	8.331791586614997	8.580890777913336	8.82966392702455	8.256140226634534	8.835804677678755	9.312959735882105	9.432632622254582	9.830992624810913	10.291967923324126		
2	2	SPTAN1	SPTAN1	8.856082101490554	8.919219345920554	8.978203349906158	8.941531308357247	8.945675342803852	8.317687340486183	8.070850253427574	8.695709271209079	8.85681948478892	8.61021286497437	8.801465453658704	8.929357609223818	8.912615241917932	8.93408921368824	8.920024137138212	8.710531990314783	8.218272853571447	8.836153149829169	8.81209075930469	8.846726688804013	8.643195972076743	8.816744922078563		
3	3	SPTBN1	SPTBN1	8.908747660798833	8.892550928862525	8.8913757518336	8.734527810487702	8.723160021304269	8.372175286115064	7.663069279064948	8.792965699470697	8.769857148354559	8.38298906196446	8.741899737679178	8.879692122941993	8.885796427354729	8.831120786316248	8.872639848283026	8.7695471699538	7.955115046806369	8.617713089863427	8.826340483713551	8.801328233644005	8.670857888189309	8.755478476365674		
4	4	MAP1B	MAP1B	8.878349422217775	8.915072539886541	8.918732612398285	8.95161432972651	8.731798207375975	8.456168581667628	8.170496405744847	8.380536840488748	8.627365856592732	7.836804991956014	8.711773496120912	8.875038100401646	8.8965758168188	8.965319316323017	8.903697574054833	8.628256066711007	8.352163215705444	8.748374113339935	8.746330553658598	8.721274627271088	8.50194885967128	8.555795528080129		
5	5	FASN	FASN	8.573660511558021	8.429881419010764	8.461123196639614	8.538372624990156	8.545554507234066	8.803825699793988	8.328114460158389	8.581426233724123	8.401193684630025	7.774451269157471	8.219322508419337	8.54197841169702	8.598921759818635	8.48404345874591	8.665102346822575	8.76531829621988	8.381042842771908	8.546480969539267	8.500057998579122	8.515144994764821	8.39266178629079	8.075327934163258		
6	6	MYH10	MYH10	8.279507247601757	8.220735530213101	8.111363344325131	8.119552797667117	8.335959106148248	8.135736743509474	7.516773278301586	8.36150118846166	8.521674080333172	8.90188858828864	8.682217302298147	8.339650157613685	8.22970743346007	8.101781431327968	8.090645957573315	8.14050804303818	7.462742301833842	8.377269815439007	8.685392371625692	8.752209837016578	8.71563570812853	9.012795058145413		
7	7	UGGT1	UGGT1	8.098851307028005	8.187971701647397	8.098436045340364	8.150817819901667	7.93822442463749	8.01363761245353	7.0600175425316	8.63572495453114	8.208710019906402	8.638768712897848	8.48251628660637	7.942974832427472	8.002382074932761	8.138839312414321	8.121756758487816	8.237468333249568	7.467312062980552	7.733686674334263	8.127914294371593	8.131618664349126	8.333003684755699	8.764422735649093		
8	8	COL1A1	COL1A1	8.091526272631091	8.069779060881514	8.433737840519429	8.588002641121356	8.203929937244627	8.718252500097751	7.847430749978361	8.81985967127508	8.599184146987167	8.706333658648298	8.754424789277259	8.073718350346123	7.511696239973098	8.35328133954529	8.67909159706871	7.913151312999839	8.726327767799114	8.768874790118874	9.134113329842323	8.929832585743263	8.75947142364275	8.70898995436434		
9	9	COPA	COPA	8.37489491856698	8.399552586605935	8.270748690228748	8.184350674046957	8.099404372345543	8.458275156139177	7.919778677123267	8.254354692053166	7.82540015020634	7.270399307397509	8.146283113159587	8.450818553829668	8.408307818523753	8.414488672236953	8.348168516025162	8.28515207852509	8.195733648273212	8.146562113157557	8.254137030885468	8.079651477073845	8.322674031751424	7.263801707916311		
