Regulator,Target,distance_score,Difference
ARPC1B,LTBP2,0.621510650017407,0.3488936288271669
ARPC1B,NUFIP2,0.6353476611684364,0.4354797471011611
GLS,AK1,0.6968405715072341,0.3698511473362421
GLS,SKP1,0.4556851982626434,0.3749620180879272
GLS,TRIM28,0.2924443737771188,0.3470465445217453
AK1,COL3A1,0.6194511497450144,0.3339254490860682
AK1,RPS26,0.5881536742279365,0.7247686432318621
AK1,NUCB1,0.7006671226234641,0.3672623692755815
AK1,CKAP4,0.5406790326035992,0.3740423004747081
AK1,LRP1,0.5102779892696565,0.326947709695918
AK1,SYNPO2,0.5596238109038177,0.6344144176113813
COL3A1,AK1,0.6123665695778708,0.4047438862415135
COL3A1,CTSD,0.4882205986036976,0.4521082193828477
COL3A1,TAGLN,0.4068087413231888,0.3888096753482398
COL3A1,OGDH,0.4242131340728602,0.3333437765359017
COL3A1,NEDD8,0.6496348589755884,0.3359299250105529
APOA2,SOD2,0.5404234827027304,0.4275804199880484
APOA2,MYL1,0.5517586758130336,0.4814205283937884
APOA2,CTSD,0.5916913695081989,0.4410624181695051
APOA2,DLST,0.5852493525172683,0.5118450311361443
APOA2,MARS1,0.6314240171305291,0.6315774808050171
APOA2,TMSB10,0.5487477258525564,0.6466401087074766
APOA2,CKAP4,0.6382688083093392,0.358033697154394
APOA2,CIRBP,0.6369378421290731,0.5325136196579422
APOA2,LTBP2,0.3599488365195923,0.4629286377655152
APOA2,NEDD8,0.6089486295098735,0.4152769117728839
APOA2,NUFIP2,0.5538604148604311,0.498600645815702
APOA2,RAB1B,0.4670863830176591,0.4972847991430473
SOD2,APOA2,0.5493976813559298,0.409057486571253
SOD2,ATP5PF,0.5338630448346496,0.351015299309805
SOD2,SFPQ,0.6162740100203234,0.3365472923155378
SOD2,TMSB10,0.6513466824112999,0.3588904451162193
SOD2,SYNPO2,0.6211165951175489,0.4195893953863151
MYL1,APOA2,0.5502336685033375,0.4788380692904511
MYL1,MDH2,0.7236790622385981,0.3372548100026477
MYL1,ACAA2,0.673764093481104,0.518301388443368
MYL1,TMSB10,0.4890586998116047,0.3311428538230236
MYL1,OGDH,0.5713917016950035,0.3351852566070615
MYL1,CKAP4,0.5783930692193722,0.6858449067304055
MYL1,RAB1B,0.5835951244789821,0.9427173347365688
TPM3,CTSD,0.6035586905977062,0.3566283522160972
TPM3,TALDO1,0.440711680781739,0.3717088931021665
TPM3,ACAA2,0.6608131653552582,0.3730270710326489
TPM3,CIRBP,0.6544702476453375,0.325282756466318
CTSD,COL3A1,0.4988477490610901,0.4854430689478481
CTSD,APOA2,0.6008403099808721,0.4347329949894877
CTSD,UCHL3,0.6112169069943725,0.6367672165648658
CTSD,TALDO1,0.6658616698911259,0.3242638842492404
CTSD,TMSB10,0.6334200172073408,0.4176780443551955
CTSD,OGDH,0.5052638713081952,0.3576243687236805
CTSD,NUCB1,0.602348073747407,0.5254238658240405
CTSD,CKAP4,0.5254037700395127,0.5793834777403206
CTSD,LRP1,0.365351764351385,0.3267355592881635
CTSD,CIRBP,0.4977014520182869,0.3770207663787827
CTSD,NUFIP2,0.6993487587810527,0.4052417119173384
XRCC6,RPS26,0.5870705792449458,0.3270162971161475
XRCC6,NONO,0.2744796239610216,0.431234368835414
XRCC6,AP2M1,0.5043176895187843,0.4609784080629612
XRCC5,AK1,0.658919163027177,0.3953071121758243
XRCC5,SOD2,0.6127165933340717,0.3698220948975219
XRCC5,CKAP4,0.6147508367019607,0.5277932648313766
XRCC5,NUFIP2,0.6541161311367634,0.368335633679281
XRCC5,AP2M1,0.5817889773858806,0.4402274428795814
UCHL3,CTSD,0.6137925815389275,0.7818474224831521
UCHL3,S100A4,0.675305049648337,0.6017678492108215
UCHL3,MAP4,0.5149977572928917,0.3944972301380768
UCHL3,TALDO1,0.4983655166868325,0.4364633715163489
UCHL3,TMSB4X,0.5358046867516248,0.3455858963315859
UCHL3,TAGLN,0.6046536766376263,0.4173964828887411
ATP5PF,ATP6V1B2,0.6436879867982155,0.3462774829121698
ATP5PF,DLST,0.4588519214216918,0.4745704968798622
ATP5PF,PXN,0.6614731309063614,0.3285991740381265
ATP5PF,LRP1,0.540860984827364,0.4396534221227846
ATP5PF,NEDD8,0.5770587273971107,0.4089773321556566
ATP6V1B2,ATP5PF,0.6278650879781192,0.3804552909728054
ATP6V1B2,MDH2,0.6470735903658549,0.4912225078383203
ATP6V1B2,RPS26,0.7012295206462443,0.4339151374850949
SFPQ,SOD2,0.6141443456415734,0.3591744221853743
S100A4,CTSD,0.6709295653933105,0.3281124154244353
S100A4,UCHL3,0.6707882027696658,0.5277912454193874
S100A4,DLST,0.5844542155296726,0.3544356075741447
S100A4,MDH2,0.6339234079288105,0.323862320979737
S100A4,OGDH,0.5838959928829853,0.3701764644976171
MAP4,UCHL3,0.5074025717458146,0.3537676026023036
MAP4,TMSB4X,0.4555044499876008,0.3270436045035871
MAP4,SKP1,0.5106172733283845,0.6779976364858521
MAP4,LRP1,0.5005527540730818,0.3341081995183502
MAP4,CAPRIN1,0.3873984456230049,0.3963218888156886
DLST,APOA2,0.5926664202082199,0.5567778063023263
DLST,ATP5PF,0.4524315874805262,0.6087920428683727
DLST,TMSB4X,0.6206901852885915,0.3404127091803739
DLST,TAGLN,0.5602074946740931,0.3918633641118206
DLST,LRP1,0.4780984613387954,0.5534029061856542
DLST,NEDD8,0.4855395254635499,0.4958156340547796
TALDO1,CTSD,0.6655357069018447,0.3340873873290168
MDH2,MYL1,0.7151471925170985,0.3300202140480117
MDH2,ATP6V1B2,0.6458764775053883,0.4802220104891093
MDH2,S100A4,0.6329089951080493,0.3426436153793347
MDH2,COPA,0.6745665908574954,0.4661647914351089
MDH2,YWHAG,0.676809420856198,0.4028718223903059
MDH2,RPS26,0.7649294531962716,0.3810192739465788
MDH2,NONO,0.5976987163443406,0.3716228197966684
MDH2,NUFIP2,0.7146296286587688,0.3932219596704713
ACAA2,MYL1,0.6906651533030016,0.5058871109606098
ACAA2,TPM3,0.6652811849573526,0.358871139551517
ACAA2,CTSD,0.6379057304889912,0.410637669221796
ACAA2,UCHL3,0.5187448841983374,0.3211898755557936
