Regulator,Target,distance_score,Difference
ITGB1,MYL1,0.5939367046372348,0.391617939828887
ITGB1,ENO2,0.6591705563266188,0.487445862598488
ITGB1,S100A11,0.6285053043093799,0.4353461889259322
ITGB1,CKAP4,0.4263404299560287,0.3913600244566871
ITGB1,DCTN1,0.5792399748817136,0.4581711393948897
ITGB1,SMARCE1,0.4504413404922679,0.5136805579499824
KRT8,MYL9,0.6257058165436611,0.4381851998658262
KRT8,LRP1,0.4758678121363956,0.3699340215631417
KRT8,NUFIP2,0.6888103500941879,0.3700601923561226
KRT8,PFDN4,0.6591885494250089,0.4903855095477076
MYL1,MYL9,0.6544107449426206,0.4179861308448149
MYL1,RPL29,0.6753299607026528,0.6050850539646202
MYL1,YBX1,0.6302399156219209,0.3649205954980732
MYL1,CKAP4,0.6754737504421224,0.6656583622941141
ENO2,ACO1,0.671883454360379,0.3866323815724971
ENO2,EIF3C,0.5909289135892601,0.3969371652479825
PEPD,MYL1,0.7009692217630635,0.3797126179294591
PEPD,PDIA4,0.65825733671164,0.6144847293859645
PEPD,TPM4,0.5981406892824862,0.465983281781948
PEPD,UBAP2L,0.6232461220528158,0.4914946462877743
PEPD,SF3A1,0.483505091669679,0.4309649918891457
PEPD,SEPTIN7,0.6472081482576815,0.4349028002200216
PEPD,SMARCE1,0.6433621185110897,0.4203939044414176
PEPD,PFDN4,0.6766030166388245,0.4608522556386852
PDIA4,PEPD,0.6565540404923841,0.6604308883310608
PDIA4,ACO1,0.7331186730276231,0.3828243781588529
PDIA4,CKAP4,0.6236905607307347,0.5680535056145232
PDIA4,LRP1,0.5795224555115988,0.3963338181060113
PDIA4,NUFIP2,0.6446230749324952,0.3970772146179582
YBX3,PXN,0.3880287717626143,0.4569165154211291
YBX3,HDGFL2,0.6210342939707171,0.5123663253584626
HMGA1,S100A11,0.6024482035842402,0.3766652921570846
RPL17,RPL29,0.5721820840335425,0.4203696228858367
ACO1,ENO2,0.6865150291444897,0.8072527900286918
ACO1,RPL30,0.6537251866870348,0.4005150998043394
ACO1,UBAP2L,0.5827323587185702,0.4352511305117447
ACO1,SEPTIN7,0.5750180042616015,0.3940876735531775
ACO1,NUFIP2,0.628363493145742,0.5682666037602189
ACO1,HDGFL2,0.7623784158620919,0.3806694190855735
MYL9,KRT8,0.634005090665168,0.5257039581664036
MYL9,MYL1,0.6588940359193977,0.5734492252224848
MYL9,TAGLN,0.6544617989920294,0.6965049138208612
MYL9,LRP1,0.6248344675998965,0.5078170585336127
MYL9,HDGFL2,0.5965037210353571,0.6181546661180363
MYL9,G3BP2,0.6594706191757747,0.6972944374058824
S100A11,HMGA1,0.5976344176209285,0.3710639410974476
S100A11,PXN,0.6416506203074572,0.4083086509359545
S100A11,S100A10,0.6513141407089011,0.4644946656758498
RPL29,MYL1,0.6910072937572016,0.5689579271613079
RPL29,NUFIP2,0.6573527566300861,0.3858672513189592
PXN,ITGB1,0.6128268150377183,0.384462555902721
PXN,ENO2,0.7338248337272153,0.3639796399865163
PXN,YBX3,0.3837135869208796,0.4579981323334378
PXN,S100A11,0.6341519520770227,0.6026551311003772
PXN,RPL29,0.6661225549715024,0.4479857523249774
PXN,S100A10,0.5701782151224701,0.4519985736915172
PXN,UBAP2L,0.62737360534847,0.455329235204942
PXN,TPM2,0.6032928128734915,0.3958593254284048
PXN,SMARCE1,0.5552629237648701,0.4792820657760823
EIF3E,RPL29,0.6016078254678286,0.3673928887450326
EIF3E,FKBP4,0.3010457072469032,0.3757264950633911
EIF3E,UBAP2L,0.3700166010765233,0.3674163089706657
EIF3E,SF3A1,0.5093290035602143,0.3698036385920478
EIF3E,DDX17,0.3256547158724074,0.5265880857688805
EIF3E,H2BC14,0.3909642693198298,0.4394810575380072
EIF3E,AKAP2,0.3282729443042683,0.4333919413004374
S100A10,S100A11,0.6544657023704903,0.3867939651066233
S100A10,DCTN1,0.5970778300807196,0.3982806149583231
S100A10,HDGFL2,0.5221430638642465,0.4214206680525038
S100A10,H2BC14,0.6910293476295748,0.4636512533929756
TMSB4X,ENO2,0.6100027911827075,0.4091642933053096
TMSB4X,MYL9,0.4016935887735405,0.4772643449535255
TMSB4X,S100A11,0.5654178174534301,0.3833718430907157
TMSB4X,RPL29,0.6438665677291708,0.43040065333596
TMSB4X,BASP1,0.3986740954777685,0.5469174547944089
TMSB4X,G3BP2,0.468231228021409,0.7774002115472577
RPL30,MYL9,0.5906788627929047,0.4020392700778101
RPL30,CKAP4,0.6549291654284842,0.4529832069497763
RPL30,LRP1,0.5352652091003287,0.4898672282177281
RPL30,KTN1,0.5953092932956827,0.6351846938596484
RPL30,PFDN4,0.6378280405228771,0.8276731819388687
YBX1,KTN1,0.6574292583667543,0.406941668221751
TPM4,ENO2,0.7239680488540844,0.3906519359696159
TPM4,PEPD,0.5940649174631106,0.486213924171406
TPM4,RPL29,0.6367171502658926,0.4051511835478155
BASP1,MYL9,0.4710068259490944,0.3747747395108431
BASP1,S100A11,0.6679679068295884,0.4089352271919892
TAGLN,MYL9,0.6527039140386199,0.6668045840910025
TAGLN,DCTN1,0.6782702144141386,0.4517100690220811
FKBP4,ENO2,0.633196008995496,0.5174839902822644
CKAP4,MYL1,0.6731784118671105,0.8105368336149819
CKAP4,ENO2,0.6244114090212024,0.5440994273882183
CKAP4,PDIA4,0.6288679056448754,0.4684051897364022
CKAP4,ACO1,0.6893254048896016,0.4245370108972505
CKAP4,RPL30,0.6531279390062943,0.4037027977835192
CKAP4,SMARCE1,0.7044233102250744,0.4117772666576604
LRP1,KRT8,0.4654327594870761,0.5279808518369863
LRP1,ENO2,0.6507221656088967,0.4116399136446712
LRP1,PDIA4,0.5679243390219512,0.492775042733379
LRP1,MYL9,0.6182969485139265,0.3647533525263223
LRP1,RPL30,0.5334172378877386,0.6335435715420759
LRP1,TAGLN,0.4883198404598748,0.4297070229712206
LRP1,NUFIP2,0.6507545053686827,0.3690870505164765
LRP1,KTN1,0.532478596371458,0.4773388962411885
UBAP2L,PEPD,0.6116001419306316,0.4644425596750982
UBAP2L,PXN,0.6242130945896012,0.3932863093406844
UBAP2L,AKAP2,0.3848659766174077,0.4267863356110679
UBAP2L,RBM8A,0.6296320107783002,0.3718705693499105
DCTN1,ITGB1,0.5779588175214567,0.3824423307321201
DCTN1,ENO2,0.6245353185682931,0.3686900983491833
DCTN1,RPL29,0.6083676099778942,0.4808146536684671
DCTN1,S100A10,0.5867862964592228,0.404433493019697
DCTN1,TAGLN,0.674265925303204,0.3843832906900582
DCTN1,NUFIP2,0.6651006787031428,0.4488101844652303
DCTN1,DDX17,0.5706177248298498,0.501615523388052
DCTN1,SMARCE1,0.5691499306032479,0.4660242131732294
DCTN1,PFDN4,0.6236727333964496,0.3897012866725268
SF3A1,PEPD,0.5017792862861812,0.4903765375674767
SF3A1,ACO1,0.5580551884933044,0.4530381307757899
SF3A1,SMARCE1,0.4354973092559722,0.4010655989832329
SEPTIN7,PEPD,0.6472292895945546,0.4153019725629703
TPM2,RPL29,0.7200550673494908,0.5417083448568205
NUFIP2,ENO2,0.5215223407803508,0.5380657007213
NUFIP2,ACO1,0.62216565721372,0.444404748195072
NUFIP2,RPL29,0.6486589862619678,0.402715085906133
NUFIP2,H2BC14,0.6537581099307334,0.3680110605989021
HDGFL2,YBX3,0.6254866525044307,0.5219575914991056
HDGFL2,ACO1,0.7504005961985272,0.5530083496738968
HDGFL2,MYL9,0.5791457798250246,0.5759195734101724
HDGFL2,RPL29,0.6670282065465627,0.3967788403324893
HDGFL2,S100A10,0.5212036267920594,0.5087264353921476
HDGFL2,NUFIP2,0.6291941808081272,0.4447455278362037
HDGFL2,SMARCE1,0.682931330514611,0.4937775833627
KTN1,HMGA1,0.6611545282284392,0.425104283400647
KTN1,RPL30,0.5847790274714217,0.5078195460369237
KTN1,YBX1,0.6563552404405495,0.3795699717599164
KTN1,SMARCE1,0.563313240229587,0.4035661290347169
DDX17,DCTN1,0.56708522154082,0.5470908011217214
