category,BackgroundGeneCount,ProteinCount,ProteinNames,FDR,Description,Strength
GO Biological Function,538,7,"P49023,P02461,Q9UPN3,Q05682,Q00341,P43487,Q96HC4",0.042,Cell adhesion molecule binding,0.5300566713581054
GO Biological Function,973,9,"P49023,P27816,Q9UPN3,Q05682,P06753,P62328,O15143,Q01995,Q96HC4",0.0461,Cytoskeletal protein binding,0.4915414448495512
TISSUES,1882,31,"Q02218,Q9Y3D6,O60869,P63208,Q07954,Q13263,Q9UQ35,P02461,P61981,P37837,P46778,P27816,Q9UPN3,Q05682,P02652,P53621,P06753,P60903,Q07065,P62328,Q00341,P13010,Q02818,P43487,P27635,Q01995,P09104,P04179,Q6P2Q9,Q14011,Q96HC4",8.09e-21,Liver,0.5606674012832255
TISSUES,2645,33,"Q02218,Q9Y3D6,O60869,P63208,Q07954,Q13263,P49023,P62979,Q9UQ35,P02461,P61981,P37837,P46778,P27816,Q9UPN3,Q05682,P02652,P53621,P06753,P60903,Q07065,P62328,Q00341,P13010,Q02818,P43487,P27635,Q01995,P09104,P04179,Q6P2Q9,Q14011,Q96HC4",1.65e-19,Digestive gland,0.5251615672763567
TISSUES,5020,35,"Q02218,Q9Y3D6,O60869,P63208,Q07954,Q13263,P49023,P62979,Q9UQ35,P02461,P61981,P37837,P46778,P27816,Q9UPN3,Q05682,P02652,P53621,P06753,P60903,Q07065,P62328,Q00341,P13010,Q02818,P43487,P27635,Q01995,P62861,P09104,P04179,Q6P2Q9,Q14011,O43617,Q96HC4",2.27e-13,Viscus,0.4636450842599248
TISSUES,6036,36,"Q02218,Q9Y3D6,O60869,P63208,Q07954,Q13263,P13861,P49023,P62979,Q9UQ35,P02461,P61981,P37837,P46778,P27816,Q9UPN3,Q05682,P02652,P53621,P06753,P60903,Q07065,P62328,Q00341,P13010,Q02818,P43487,P27635,Q01995,P62861,P09104,P04179,Q99471,Q6P2Q9,Q14011,Q96HC4",4.59e-12,Endocrine gland,0.4495152410609239
TISSUES,2593,26,"Q7Z417,P63208,Q07954,Q13263,P49023,P62979,Q9UQ35,P02461,P37837,Q9UPN3,Q05682,P53621,P06753,Q07065,Q00341,P13010,Q02818,P27635,Q01995,P62861,P09104,P04179,Q99471,Q6P2Q9,Q14011,Q96HC4",2.19e-11,Internal female genital organ,0.5002259461128622
TISSUES,2239,22,"Q7Z417,Q07954,Q13263,P49023,P62979,Q9UQ35,P02461,P27816,Q9UPN3,Q05682,P53621,P06753,Q07065,Q00341,Q02818,P27635,P62861,P09104,Q99471,Q6P2Q9,Q14011,Q96HC4",8.09e-09,Organism form,0.4980264860042612
TISSUES,5799,32,"Q02218,Q7Z417,P63208,Q07954,Q13263,P13861,P49023,P62979,Q9UQ35,P02461,P37837,P46778,P27816,Q9UPN3,Q05682,P53621,P06753,Q07065,P62328,Q00341,P13010,Q02818,P27635,Q01995,P62861,P09104,P04179,Q99471,Q6P2Q9,Q14011,O43617,Q96HC4",1.62e-08,Female reproductive system,0.44279566717814806
TISSUES,1005,15,"Q02218,P02461,P61981,P27816,Q9UPN3,Q05682,P06753,P62328,Q00341,P13010,P43487,P27635,Q01995,P04179,Q96HC4",1.12e-07,Cardiovascular system,0.5474632213599305
TISSUES,1865,19,"P63208,P62979,Q9UQ35,P02461,P61981,P46778,Q9UPN3,Q05682,P53621,P62328,Q00341,P13010,P27635,Q01995,P62861,P09104,P04179,Q6P2Q9,O43617",1.35e-07,Alimentary canal,0.5019430117466965
TISSUES,2132,20,"Q7Z417,Q07954,Q13263,P49023,P62979,Q9UQ35,P02461,P27816,Q9UPN3,P53621,Q07065,Q00341,Q02818,P27635,P62861,P09104,Q99471,Q6P2Q9,Q14011,Q96HC4",1.47e-07,Embryonic structure,0.49308184967673596
TISSUES,1436,17,"Q02218,P63208,Q9UQ35,P02461,P37837,Q9UPN3,Q05682,P06753,Q07065,P62328,Q00341,P13010,Q02818,P27635,Q01995,P04179,Q14011",1.47e-07,Respiratory system,0.518912318105796
TISSUES,1675,18,"P63208,Q07954,Q13263,P13861,Q9UQ35,P61981,P27816,Q9UPN3,P06753,P62328,Q02818,P43487,P27635,Q01995,P09104,Q99471,Q6P2Q9,Q96HC4",1.58e-07,Blood,0.5078458349315226
TISSUES,2505,21,"Q02218,P63208,Q13263,P13861,P49023,P62979,Q9UQ35,P46778,Q9UPN3,Q05682,P53621,P06753,P62328,Q00341,P13010,Q02818,P27635,Q01995,P62861,P04179,Q6P2Q9",2.69e-07,Male reproductive gland,0.48149569389661406
TISSUES,2543,21,"P63208,Q07954,Q13263,P13861,Q9UQ35,P61981,P46778,P27816,Q9UPN3,P02652,P06753,P62328,Q02818,P43487,P27635,Q01995,P09104,Q99471,Q6P2Q9,Q14011,Q96HC4",3.32e-07,Hematopoietic system,0.4799851445191132
TISSUES,1162,15,"P63208,Q9UQ35,P02461,P37837,Q9UPN3,Q05682,P06753,Q07065,P62328,Q00341,Q02818,P27635,Q01995,P04179,Q14011",4.71e-07,Lung,0.5292157649449446
TISSUES,2229,19,"Q02218,P63208,P13861,P49023,P62979,Q9UQ35,P46778,Q9UPN3,P53621,P06753,P62328,Q00341,P13010,Q02818,P27635,Q01995,P62861,P04179,Q6P2Q9",1.43e-06,Internal male genital organ,0.4831731887949044
TISSUES,446,10,"P62979,P46778,Q9UPN3,P06753,P62328,Q00341,Q02818,P27635,Q01995,P62861",1.73e-06,Prostate gland,0.6059109559209506
TISSUES,5462,28,"Q02218,Q7Z417,P63208,Q07954,Q13263,P13861,P49023,P62979,Q9UQ35,P61981,P37837,P46778,P27816,Q9UPN3,Q05682,P53621,P06753,P60903,P62328,Q00341,P13010,Q02818,P27635,P09104,P04179,Q99471,Q6P2Q9,Q14011",3.57e-06,Brain,0.43661007448902067
TISSUES,695,11,"Q02218,P02461,P27816,Q9UPN3,P06753,P62328,P13010,P43487,Q01995,P04179,Q96HC4",8.63e-06,Heart,0.5551495085793151
TISSUES,568,10,"Q9Y3D6,O60869,P62979,P02461,P46778,Q9UPN3,Q07065,P62328,Q00341,P27635",1.28e-05,Pancreas,0.5697316610337063
TISSUES,6329,29,"Q02218,Q7Z417,P63208,Q07954,Q13263,P13861,P49023,P62979,Q9UQ35,P02461,P61981,P37837,P46778,P27816,Q9UPN3,Q05682,P53621,P06753,P60903,P62328,Q00341,P13010,Q02818,P27635,P09104,P04179,Q99471,Q6P2Q9,Q14011",1.68e-05,Head,0.42751381214590556
TISSUES,985,12,"Q02218,Q9UQ35,P61981,P46778,P27816,Q05682,P02652,P06753,Q00341,P27635,Q01995,Q96HC4",2.83e-05,Muscle,0.5222489356150588
TISSUES,2783,19,"Q02218,P63208,Q13263,P13861,P49023,P62979,Q9UQ35,P37837,P46778,Q9UPN3,P53621,P06753,P62328,Q00341,P13010,P27635,Q01995,P04179,Q6P2Q9",3.48e-05,Female reproductive gland,0.4616771855919636
