"","ctr_1","ctr_2","ctr_3","ctr_4","ctr_7","ctr_8","ctr_9","ctr_10","ctr_11","ctr_14","ctr_21","mg_1","mg_2","mg_3","mg_4","mg_7","mg_8","mg_9","mg_10","mg_11","mg_14","mg_21"
"O00151",7.36718022314742,7.37093894828816,7.37916608393668,7.18028485547887,7.37647350230721,7.46840072458463,7.42276418415124,7.23455690815979,7.7000514094903,7.39603912759202,7.1749146288398,7.47490990951597,7.42007004918861,7.41494108638491,7.45687624078329,7.36404648154349,7.24378727341238,7.760823883037,7.68854351581694,7.70085530012121,7.6658241496184,7.47385957300313
"O00154",8.27217100112968,8.15653958598286,8.14557147231023,7.97386233903463,7.89054555365924,7.66566940966745,7.44818504798621,7.14386247954532,7.19475566562989,7.28490224067391,7.88555010767254,8.19093283987363,8.1312779191126,7.98414293811528,8.27383128553991,8.02650653226475,7.3186360307313,7.80070339197328,7.41834186504568,7.52404449386569,7.60589019813595,7.66432105786566
"O00159",8.71400246539468,8.54378410907636,8.38202944232153,8.29559666608595,7.72232477671198,7.76128501562913,7.41460571585893,8.00350899531696,7.63091674109346,7.35181889300317,7.48323005674365,8.46508391962893,8.55645128378674,8.51593641930167,8.37427181179077,8.12424206561223,7.44092409530818,7.58097200582347,7.95559901990075,7.91314993937283,7.48472795740917,7.47751649219159
"O00203",7.44847455352592,7.33113575995302,7.19318910848241,7.26844124661646,7.24223598685018,7.01377872864994,7.20087749564028,7.11337301099989,7.1926860190026,7.21465874364503,7.24520148175969,7.55016390960808,7.51505156879134,7.2541306046402,7.29201482797615,7.07956265315374,7.82258431943222,7.1760159271495,7.19867421424892,7.17354340449054,7.13999186039049,7.36249437128285
"O00231",8.35505943037071,8.15346447185805,8.37157973375932,8.04011785203768,7.59097400350278,7.28727643438702,7.00006726348303,7.28867118592919,7.61714006277277,7.48770949230328,7.78690415787378,8.32960402101462,8.28794616071333,8.05506578349283,7.91403715406154,7.51176742822265,6.87075084360741,7.61495548416512,7.5232562002175,7.65633139501562,7.59500239128135,7.49174552808997
"O00232",7.91253180874523,8.13135159193901,7.96943715463809,7.69777738872307,7.53178381458474,7.64632631597211,7.18207665297446,7.67674386828612,7.39853990456165,7.55477593173038,7.46842769478301,7.59621230793453,7.67714182755708,7.78964116682549,8.00567934135592,7.99703252659142,6.77029192752402,7.58291969700933,7.57557704789597,7.30527709367385,7.5579128263684,7.33196995787136
"O00273",7.43397906178091,7.54669160234187,7.54830786043397,7.64160765875561,7.01654504708616,6.77929779168291,7.04492450195177,7.23750063095252,7.05991538642578,7.00310924730218,7.05476694073686,7.33846766303609,7.38365874830659,7.61757438432896,7.55050811213144,7.38628903360226,6.89969448694946,7.17589095749352,6.84461392196193,7.32726381305558,6.97562054661619,7.01297651592699
"O00299",8.85233901887509,9.04198440720785,9.05728188954232,8.88730359142028,8.39585416545137,7.99146621272858,7.94946732180108,8.4009815408846,8.55041957796814,8.33407414083968,8.52353245638968,8.84914249964106,8.88454683314779,8.89863156264388,8.98632484052233,8.39892316742642,8.09265547935661,8.00329525073796,8.38140697125268,8.60542146134206,8.31878600741573,8.29222004355486
"O00303",8.30988061473318,8.37577888964137,8.35328305628584,8.18837512007019,7.82473662442012,8.05847801827536,7.58138356729406,7.7683955571565,7.7736138585623,7.38138483785405,7.83595482482975,8.06523641017205,8.20443014499626,8.28081298158741,8.23142243596331,7.87689051908428,7.61596181726775,7.76017737555625,7.80453661255916,7.73321022806993,7.65190082599491,7.86978244243371
"O00410",8.78193327311179,8.82429081682844,8.77977197232171,8.57246692153979,8.22214786151873,8.24957861499679,7.92629338621527,8.16091022558288,8.09493789941644,7.02410606157671,8.15475068363694,8.62452781873546,8.61410951575442,8.70039083045746,8.73910675677805,8.40193397207202,7.81598386768739,7.97593649501186,8.10322566155339,8.15038714124129,7.7043071914621,7.78975753623692
"O00429",7.55600327282605,7.8630375262604,7.47916676156925,7.45137551942357,7.4233189381447,7.15460460557467,7.27350596149015,7.27278081541664,7.1611181135333,7.12195222389152,6.99364188618407,7.60785267843574,7.6659389754269,7.63800303373978,7.54689296986248,7.54770075711705,7.30352955798925,7.14037431050199,7.31714447443944,7.09376975872434,7.29030754803611,7.09442388375153
"O00469",8.83810213440433,8.74755546967106,8.65120022044926,8.6438092541131,8.63536520735195,8.3081401836347,8.29112079413297,8.95395290841605,8.81977500221434,9.04454904525787,8.94820182245779,8.66189778863721,8.64014171511318,8.48569958697562,8.55051081421102,8.39159202628312,8.12183543785162,8.41702100070471,8.72972600360498,8.72951093360814,8.99185198145427,9.17107239579335
"O00487",7.53801710117089,7.56340805009609,7.58652029317011,7.51480728048903,7.38846785536528,7.4197229435486,7.08617758499985,7.31923457947315,7.51306643892965,7.42911327262811,7.66129995801587,7.71280078666348,7.57365185693373,7.5262400200112,7.37338378732724,7.28434198398378,6.89733469609475,7.27145462152526,7.31307809868794,7.59409002239503,7.50433721256118,7.98235468435718
"O00571",8.37724135641125,8.47809582079738,8.2929041559707,8.20499620959603,8.05033693025347,8.26558170663049,7.9016382318396,8.23522356930528,7.72462195657898,7.63213544821502,7.53245770454751,8.33425582648459,8.51451841832401,8.42026795124228,8.36445736162394,8.25213216109899,7.91582305048012,7.92612246613134,8.09605626729518,7.75119953172999,7.60214192687632,7.7543203764978
"O00629",7.58949586360409,7.39433050076913,7.3368848569589,7.32233334059363,7.17750046111234,6.95717148276221,6.68642222248246,6.99555000256652,7.26398706296284,7.26461142691132,7.32671012097412,7.76554351491847,7.36825655809471,7.13321857408245,6.86812284263105,6.93768491436444,6.95163508693769,7.2584447477659,7.22917278640501,7.30666168938242,7.1258083829017,7.40934588802505
"O00764",7.78894109361144,7.82101494732714,7.82832658193113,7.90665343955217,7.69934842951425,7.68852720844091,7.73875148743735,8.0654713416527,7.66028309383513,7.62021761230125,7.46641242026752,7.54328640753728,7.74595527587549,7.91590389536444,7.94790706206862,8.01855749552357,7.67983129254916,7.69672006054916,7.83076095470322,7.62309331167645,7.70274539849144,7.42660077112652
"O14558",8.14478012075396,8.20734312415404,8.01192131236891,7.98434703052971,8.4410786350085,8.10813685567799,7.65601690391866,8.0596805595496,7.94397113357334,7.78134231514593,7.98936508177808,8.14856984690124,8.09833911537467,8.04754073817763,8.17228401670435,7.88264946779812,7.56131432950992,7.75721326069941,8.01065815717157,8.36405052352012,8.0811634493086,7.96654880905043
"O14579",8.37351555928995,8.35083963764862,8.34887127621633,7.93000261752848,7.9517833681553,7.73244165784939,7.50414861246707,7.91226154321606,7.91662788911233,7.69243555109942,7.87421650568537,8.19228217470791,8.11130579044831,8.32123311865783,8.25343764658324,8.0780747184716,7.40208198008508,7.36272243077079,8.01639923314827,8.07796587115537,7.81835456198855,7.91854312749636
"O14737",8.03012044105516,7.96753669635491,8.01014331102261,7.95946713693832,7.47132197307983,7.43364306982589,7.17674901243483,7.18176981336623,7.62870829347021,7.37417485534459,7.60836481568596,7.95566707191559,7.91088554859981,7.79607017802886,7.85711037856991,7.4800889138306,7.19378497044766,7.45339967699545,7.58779486660922,7.77705128512346,7.5831440827634,7.40732156774478
"O14818",8.03976712038623,8.27091224013825,8.14200443066057,8.15864834997637,8.21515900650703,7.92543720008916,7.16049702744922,8.17516998909662,7.80530947675141,8.05623713605133,8.09086795320651,8.13888220212408,8.17169406729446,7.92284410266243,8.23498753671618,8.08416985912726,7.15057455802774,8.03737994745371,8.12355188069099,8.04547632026205,8.03831587416146,8.31251780757094
"O14907",7.40843932547816,7.35052226713411,7.50082198437019,7.53907979986187,7.17094795132179,7.28957595104566,6.98549953338865,7.08616022960514,7.37757914575984,7.14416629441702,7.31822525092274,7.34594828829944,7.49154231001038,7.49149490959667,7.38477567330985,7.11233225224735,6.89969448694946,7.31765182647923,7.48684608627749,7.49825618748934,7.26232269790473,7.22955697073203
"O14974",7.53333541949928,7.50675742907588,7.54689495050312,7.46596027861013,7.24086130425681,7.4460664837508,7.8099183752265,7.24680373314094,7.20184036072171,7.34301860377594,7.46055703017386,7.52781473263075,7.43659260732253,7.34264900984839,7.35259770885502,6.87290988250427,7.82258431943222,7.50201814630253,7.39531848515838,7.42742057662953,7.29746885060275,7.60575445187293
"O14979",7.75703893056419,7.81448762856133,7.80134526842865,7.58280457239818,7.46565074279965,7.49280739013571,7.29710093342929,7.38606254277507,7.22883436218302,7.0626584855149,7.15422591767564,7.54496872354449,7.53933740498489,7.80193913676097,7.76811639979415,7.41088817009784,7.26982772633918,7.41707637684784,7.30286303374985,7.30075120624565,7.30908493263772,7.36952839179006
