Entry,AS_1,PS_1,Role_1,AS_2,PS_2,Role_2
P22061,1.7882933079045582,0.5,3,-1.6384019991692096,0.0,0
P40939,1.0714975046858886,0.5,3,0.21092739918832493,-1.0,2
P60903,-0.2518808719133787,0.0,0,0.6768880617938695,0.5,3
Q96AC1,-0.09596513853397148,0.5,1,0.09328534157642299,1.0,3
