Entry,AS_1,PS_1,Role_1,AS_2,PS_2,Role_2
P50579,0.7005112024577231,0.5,3,-0.18997254429836374,0.5,1
P40939,1.1018195445510734,0.5,3,-0.44159223651927704,0.0,0
