Regulator,Target,divergence_score
ITGB1,MYL1,0.5939367046372348
ITGB1,ENO2,0.6591705563266188
ITGB1,S100A11,0.6285053043093799
ITGB1,CKAP4,0.4263404299560287
ITGB1,DCTN1,0.5792399748817136
ITGB1,SMARCE1,0.4504413404922679
KRT8,MYL9,0.6257058165436611
KRT8,LRP1,0.4758678121363956
KRT8,NUFIP2,0.6888103500941879
KRT8,PFDN4,0.6591885494250089
MYL1,MYL9,0.6544107449426206
MYL1,RPL29,0.6753299607026528
MYL1,YBX1,0.6302399156219209
MYL1,CKAP4,0.6754737504421224
ENO2,ACO1,0.671883454360379
ENO2,EIF3C,0.5909289135892601
PEPD,MYL1,0.7009692217630635
PEPD,PDIA4,0.65825733671164
PEPD,TPM4,0.5981406892824862
PEPD,UBAP2L,0.6232461220528158
PEPD,SF3A1,0.483505091669679
PEPD,SEPTIN7,0.6472081482576815
PEPD,SMARCE1,0.6433621185110897
PEPD,PFDN4,0.6766030166388245
PDIA4,PEPD,0.6565540404923841
PDIA4,ACO1,0.7331186730276231
PDIA4,CKAP4,0.6236905607307347
PDIA4,LRP1,0.5795224555115988
PDIA4,NUFIP2,0.6446230749324952
YBX3,PXN,0.3880287717626143
YBX3,HDGFL2,0.6210342939707171
HMGA1,S100A11,0.6024482035842402
RPL17,RPL29,0.5721820840335425
ACO1,ENO2,0.6865150291444897
ACO1,RPL30,0.6537251866870348
ACO1,UBAP2L,0.5827323587185702
ACO1,SEPTIN7,0.5750180042616015
ACO1,NUFIP2,0.628363493145742
ACO1,HDGFL2,0.7623784158620919
MYL9,KRT8,0.634005090665168
MYL9,MYL1,0.6588940359193977
MYL9,TAGLN,0.6544617989920294
MYL9,LRP1,0.6248344675998965
MYL9,HDGFL2,0.5965037210353571
MYL9,G3BP2,0.6594706191757747
S100A11,HMGA1,0.5976344176209285
S100A11,PXN,0.6416506203074572
S100A11,S100A10,0.6513141407089011
RPL29,MYL1,0.6910072937572016
RPL29,NUFIP2,0.6573527566300861
PXN,ITGB1,0.6128268150377183
PXN,ENO2,0.7338248337272153
PXN,YBX3,0.3837135869208796
PXN,S100A11,0.6341519520770227
PXN,RPL29,0.6661225549715024
PXN,S100A10,0.5701782151224701
PXN,UBAP2L,0.62737360534847
PXN,TPM2,0.6032928128734915
PXN,SMARCE1,0.5552629237648701
EIF3E,RPL29,0.6016078254678286
EIF3E,FKBP4,0.30104570724690327
EIF3E,UBAP2L,0.37001660107652334
EIF3E,SF3A1,0.5093290035602143
EIF3E,DDX17,0.32565471587240746
