Regulator,Target,Difference
ARPC1B,LTBP2,0.3488936288271669
ARPC1B,NUFIP2,0.4354797471011611
GLS,AK1,0.3698511473362421
GLS,SKP1,0.3749620180879272
GLS,TRIM28,0.3470465445217453
AK1,COL3A1,0.3339254490860682
AK1,RPS26,0.7247686432318621
AK1,NUCB1,0.3672623692755815
AK1,CKAP4,0.3740423004747081
AK1,LRP1,0.326947709695918
AK1,SYNPO2,0.6344144176113813
COL3A1,AK1,0.40474388624151353
COL3A1,CTSD,0.4521082193828477
COL3A1,TAGLN,0.38880967534823985
COL3A1,OGDH,0.33334377653590175
COL3A1,NEDD8,0.33592992501055297
APOA2,SOD2,0.4275804199880484
APOA2,MYL1,0.48142052839378846
APOA2,CTSD,0.44106241816950514
APOA2,DLST,0.5118450311361443
APOA2,MARS1,0.6315774808050171
APOA2,TMSB10,0.6466401087074766
APOA2,CKAP4,0.358033697154394
APOA2,CIRBP,0.5325136196579422
APOA2,LTBP2,0.4629286377655152
APOA2,NEDD8,0.4152769117728839
APOA2,NUFIP2,0.49860064581570207
APOA2,RAB1B,0.49728479914304735
SOD2,APOA2,0.40905748657125307
SOD2,ATP5PF,0.351015299309805
SOD2,SFPQ,0.3365472923155378
SOD2,TMSB10,0.3588904451162193
SOD2,SYNPO2,0.4195893953863151
MYL1,APOA2,0.4788380692904511
MYL1,MDH2,0.3372548100026477
MYL1,ACAA2,0.518301388443368
MYL1,TMSB10,0.3311428538230236
MYL1,OGDH,0.33518525660706155
MYL1,CKAP4,0.6858449067304055
MYL1,RAB1B,0.9427173347365688
TPM3,CTSD,0.35662835221609723
TPM3,TALDO1,0.37170889310216654
TPM3,ACAA2,0.3730270710326489
TPM3,CIRBP,0.32528275646631805
CTSD,COL3A1,0.4854430689478481
CTSD,APOA2,0.4347329949894877
CTSD,UCHL3,0.6367672165648658
CTSD,TALDO1,0.32426388424924046
CTSD,TMSB10,0.4176780443551955
CTSD,OGDH,0.35762436872368053
CTSD,NUCB1,0.5254238658240405
CTSD,CKAP4,0.5793834777403206
CTSD,LRP1,0.3267355592881635
CTSD,CIRBP,0.3770207663787827
CTSD,NUFIP2,0.4052417119173384
XRCC6,RPS26,0.3270162971161475
XRCC6,NONO,0.43123436883541405
XRCC6,AP2M1,0.46097840806296125
XRCC5,AK1,0.39530711217582437
XRCC5,SOD2,0.3698220948975219
XRCC5,CKAP4,0.5277932648313766
XRCC5,NUFIP2,0.36833563367928107
XRCC5,AP2M1,0.4402274428795814
