Regulator,Target,Difference
UCHL3,CTSD,0.7818474224831521
UCHL3,S100A4,0.6017678492108215
UCHL3,MAP4,0.3944972301380768
UCHL3,TALDO1,0.43646337151634895
UCHL3,TMSB4X,0.3455858963315859
UCHL3,TAGLN,0.4173964828887411
ATP5PF,ATP6V1B2,0.34627748291216986
ATP5PF,DLST,0.47457049687986225
ATP5PF,PXN,0.3285991740381265
ATP5PF,LRP1,0.43965342212278463
ATP5PF,NEDD8,0.4089773321556566
ATP6V1B2,ATP5PF,0.3804552909728054
ATP6V1B2,MDH2,0.4912225078383203
ATP6V1B2,RPS26,0.43391513748509497
SFPQ,SOD2,0.3591744221853743
S100A4,CTSD,0.3281124154244353
S100A4,UCHL3,0.5277912454193874
S100A4,DLST,0.3544356075741447
S100A4,MDH2,0.323862320979737
S100A4,OGDH,0.3701764644976171
MAP4,UCHL3,0.35376760260230367
MAP4,TMSB4X,0.32704360450358716
MAP4,SKP1,0.6779976364858521
MAP4,LRP1,0.33410819951835025
MAP4,CAPRIN1,0.3963218888156886
DLST,APOA2,0.5567778063023263
DLST,ATP5PF,0.6087920428683727
DLST,TMSB4X,0.3404127091803739
DLST,TAGLN,0.3918633641118206
DLST,LRP1,0.5534029061856542
DLST,NEDD8,0.4958156340547796
TALDO1,CTSD,0.3340873873290168
MDH2,MYL1,0.3300202140480117
MDH2,ATP6V1B2,0.4802220104891093
MDH2,S100A4,0.34264361537933474
MDH2,COPA,0.4661647914351089
MDH2,YWHAG,0.4028718223903059
MDH2,RPS26,0.3810192739465788
MDH2,NONO,0.3716228197966684
MDH2,NUFIP2,0.3932219596704713
ACAA2,MYL1,0.5058871109606098
ACAA2,TPM3,0.358871139551517
ACAA2,CTSD,0.410637669221796
ACAA2,UCHL3,0.32118987555579365
ACAA2,S100A4,0.34697214863416836
ACAA2,COPA,0.3409549896858049
ACAA2,RAB1B,0.5317998180864207
PXN,ACAA2,0.4137500967148477
PXN,YWHAG,0.3265601776678707
PXN,NUFIP2,0.37015680381697874
COPA,CMPK1,0.3525336580686763
COPA,MDH2,0.5008214131282862
COPA,ACAA2,0.340028684909261
COPA,TRIM28,0.40897850697715155
COPA,LTBP2,0.3378029622582849
COPA,AP2M1,0.4871121460564686
MARS1,APOA2,0.4215040484795924
YWHAG,COL3A1,0.4022445514002481
YWHAG,MDH2,0.4380585760732252
YWHAG,PXN,0.4130175345889632
YWHAG,RPL8,0.4385570848877713
YWHAG,TMSB10,0.6095613456085685
YWHAG,OGDH,0.376376511805811
YWHAG,NUCB1,0.3174337331715282
TMSB4X,NUCB1,0.47502250920384487
TMSB4X,CIRBP,0.43390811624157155
TMSB4X,LTBP2,0.3529369912246001
RPS26,AK1,0.4232248307762227
RPS26,NEDD8,0.5335492872538052
RPL8,YWHAG,0.4062856450973566
RPL8,CIRBP,0.3796673879077246
SKP1,MAP4,0.5042840728906395
SKP1,DLST,0.34012687778491596
SKP1,ACAA2,0.43158880691065193
SKP1,OGDH,0.45095162573408243
TMSB10,APOA2,0.6530817424675234
TMSB10,SOD2,0.37795825070293565
TMSB10,CTSD,0.43213860796951165
TMSB10,YWHAG,0.46915815041447184
TMSB10,TMSB4X,0.334835326537096
TAGLN,COL3A1,0.3878193793726019
TAGLN,OGDH,0.3988822109089831
TAGLN,SYNPO2,0.3231791026872273
OGDH,ARPC1B,0.3292529845751774
OGDH,S100A4,0.38689836625674345
OGDH,YWHAG,0.3301648594565153
OGDH,SKP1,0.5787851466656575
OGDH,TAGLN,0.3689362284957624
OGDH,SYNPO2,0.3413192545978268
NUCB1,SOD2,0.43285863299876814
NUCB1,CTSD,0.3672630773262596
NUCB1,TMSB4X,0.5192287868144039
NUCB1,OGDH,0.430876934811998
CKAP4,MYL1,0.4865934265286206
CKAP4,CTSD,0.40712666004218745
CKAP4,XRCC5,0.3593397350012344
CKAP4,RPS26,0.3617232043233008
CKAP4,LRP1,0.39982937956590947
LRP1,AK1,0.4185772176982404
LRP1,CTSD,0.43914836159882437
LRP1,ATP5PF,0.33687818110164414
LRP1,CMPK1,0.3213473452893067
LRP1,DLST,0.3400004170469988
LRP1,RPL8,0.3350828545088
LRP1,OGDH,0.3627683620106954
LRP1,NUCB1,0.5086812333899079
LRP1,CKAP4,0.6427937447279775
LRP1,AP2M1,0.4501930266272518
TRIM28,GLS,0.559448855105543
TRIM28,AK1,0.3434827598095775
TRIM28,SOD2,0.38643811974111153
TRIM28,XRCC6,0.37338602279019195
TRIM28,XRCC5,0.3433316327152357
TRIM28,SFPQ,0.3204522522712427
TRIM28,CMPK1,0.39706707011430453
TRIM28,COPA,0.562487799302575
TRIM28,RPS26,0.3562023568172994
TRIM28,CIRBP,0.4391516354314279
TRIM28,NONO,0.4059428265558822
TRIM28,AP2M1,0.42994971617624833
TRIM28,RAB1B,0.3268996687704177
CIRBP,APOA2,0.3824142546755799
CIRBP,TPM3,0.3325602566144802
CIRBP,CTSD,0.32029269027475593
CIRBP,TMSB4X,0.429255241253073
CIRBP,NEDD8,0.503426099922718
CIRBP,AP2M1,0.48345706696322316
CAPRIN1,MAP4,0.41072105392431046
CAPRIN1,SKP1,0.48720330192436795
LTBP2,ARPC1B,0.32120655508005963
LTBP2,APOA2,0.4606950365675477
LTBP2,COPA,0.34391455794141257
LTBP2,TMSB4X,0.3789170790497195
LTBP2,NUFIP2,0.6656988897120143
NONO,AK1,0.3774665647974279
NONO,XRCC6,0.39765911471813403
NONO,UCHL3,0.3292809114666538
NONO,MDH2,0.4307539278734819
NONO,NUFIP2,0.32979859948714957
NONO,LMO7,0.3339105351203882
NONO,AP2M1,0.6213889682073319
NONO,SEPTIN9,0.3233732414852502
NEDD8,APOA2,0.4467199580372233
NEDD8,ATP5PF,0.5757571923196282
NEDD8,DLST,0.5165138283654047
NEDD8,RPS26,0.4545777974973103
NEDD8,TMSB10,0.3786830045832174
NEDD8,LRP1,0.5888746346517182
NEDD8,PDLIM5,0.3190359787145987
NUFIP2,APOA2,0.5736487056357504
NUFIP2,CTSD,0.3247002733279512
NUFIP2,XRCC5,0.4093796906753459
NUFIP2,MDH2,0.47504739193663037
NUFIP2,COPA,0.4343054872959432
NUFIP2,TMSB10,0.31937323896925207
NUFIP2,CIRBP,0.4014549875067753
NUFIP2,LTBP2,0.8121842690816037
NUFIP2,NONO,0.36720019507671864
AP2M1,XRCC6,0.41717451899126623
AP2M1,XRCC5,0.4045803092432108
AP2M1,SFPQ,0.31996893240631363
AP2M1,S100A4,0.3686784554114032
AP2M1,COPA,0.4452480064906384
AP2M1,TRIM28,0.3264925060664044
AP2M1,CIRBP,0.39400146519668305
AP2M1,NONO,0.5700286996555677
AP2M1,NEDD8,0.38132429699248876
AP2M1,RAB1B,0.3804033132828684
AP2M1,SEPTIN9,0.335372833089746
PDLIM5,SKP1,0.4671552933320158
PDLIM5,TMSB10,0.34153619905830856
PDLIM5,NUFIP2,0.4484200026514765
PDLIM5,SYNPO2,0.5190094239397705
RAB1B,APOA2,0.37744732845149964
RAB1B,MYL1,0.7858359647293734
RAB1B,ACAA2,0.4583046675809612
SEPTIN9,AP2M1,0.3257289401655149
SYNPO2,AK1,0.5683349065837368
SYNPO2,SOD2,0.37055925674668183
SYNPO2,RPS26,0.3215688460269466
SYNPO2,NUFIP2,0.47727285235839756
SYNPO2,PDLIM5,0.4418400518582003
