Regulator,Target,Difference
ITGB1,MYL1,0.391617939828887
ITGB1,ENO2,0.487445862598488
ITGB1,S100A11,0.43534618892593224
ITGB1,CKAP4,0.39136002445668716
ITGB1,DCTN1,0.4581711393948897
ITGB1,SMARCE1,0.5136805579499824
KRT8,MYL9,0.43818519986582627
KRT8,LRP1,0.36993402156314176
KRT8,NUFIP2,0.3700601923561226
KRT8,PFDN4,0.4903855095477076
MYL1,MYL9,0.4179861308448149
MYL1,RPL29,0.6050850539646202
MYL1,YBX1,0.3649205954980732
MYL1,CKAP4,0.6656583622941141
ENO2,ACO1,0.38663238157249713
ENO2,EIF3C,0.3969371652479825
PEPD,MYL1,0.3797126179294591
PEPD,PDIA4,0.6144847293859645
PEPD,TPM4,0.46598328178194803
PEPD,UBAP2L,0.49149464628777434
PEPD,SF3A1,0.4309649918891457
PEPD,SEPTIN7,0.4349028002200216
PEPD,SMARCE1,0.42039390444141767
PEPD,PFDN4,0.46085225563868526
PDIA4,PEPD,0.6604308883310608
PDIA4,ACO1,0.38282437815885295
PDIA4,CKAP4,0.5680535056145232
PDIA4,LRP1,0.39633381810601137
PDIA4,NUFIP2,0.3970772146179582
YBX3,PXN,0.4569165154211291
YBX3,HDGFL2,0.5123663253584626
HMGA1,S100A11,0.3766652921570846
RPL17,RPL29,0.4203696228858367
ACO1,ENO2,0.8072527900286918
ACO1,RPL30,0.40051509980433947
ACO1,UBAP2L,0.43525113051174474
ACO1,SEPTIN7,0.3940876735531775
ACO1,NUFIP2,0.5682666037602189
ACO1,HDGFL2,0.3806694190855735
MYL9,KRT8,0.5257039581664036
MYL9,MYL1,0.5734492252224848
MYL9,TAGLN,0.6965049138208612
MYL9,LRP1,0.5078170585336127
MYL9,HDGFL2,0.6181546661180363
MYL9,G3BP2,0.6972944374058824
S100A11,HMGA1,0.37106394109744767
S100A11,PXN,0.4083086509359545
S100A11,S100A10,0.4644946656758498
RPL29,MYL1,0.5689579271613079
RPL29,NUFIP2,0.3858672513189592
PXN,ITGB1,0.38446255590272105
PXN,ENO2,0.3639796399865163
PXN,YBX3,0.4579981323334378
PXN,S100A11,0.6026551311003772
PXN,RPL29,0.44798575232497745
PXN,S100A10,0.4519985736915172
PXN,UBAP2L,0.455329235204942
PXN,TPM2,0.3958593254284048
PXN,SMARCE1,0.4792820657760823
EIF3E,RPL29,0.3673928887450326
EIF3E,FKBP4,0.3757264950633911
EIF3E,UBAP2L,0.3674163089706657
EIF3E,SF3A1,0.3698036385920478
EIF3E,DDX17,0.5265880857688805
EIF3E,H2BC14,0.4394810575380072
EIF3E,AKAP2,0.43339194130043746
S100A10,S100A11,0.3867939651066233
S100A10,DCTN1,0.3982806149583231
S100A10,HDGFL2,0.42142066805250383
S100A10,H2BC14,0.4636512533929756
TMSB4X,ENO2,0.4091642933053096
TMSB4X,MYL9,0.4772643449535255
TMSB4X,S100A11,0.3833718430907157
TMSB4X,RPL29,0.43040065333596
TMSB4X,BASP1,0.5469174547944089
TMSB4X,G3BP2,0.7774002115472577
RPL30,MYL9,0.40203927007781015
RPL30,CKAP4,0.4529832069497763
RPL30,LRP1,0.4898672282177281
RPL30,KTN1,0.6351846938596484
RPL30,PFDN4,0.8276731819388687
YBX1,KTN1,0.40694166822175104
TPM4,ENO2,0.3906519359696159
TPM4,PEPD,0.486213924171406
TPM4,RPL29,0.4051511835478155
BASP1,MYL9,0.37477473951084317
BASP1,S100A11,0.40893522719198927
TAGLN,MYL9,0.6668045840910025
TAGLN,DCTN1,0.4517100690220811
FKBP4,ENO2,0.5174839902822644
CKAP4,MYL1,0.8105368336149819
CKAP4,ENO2,0.5440994273882183
CKAP4,PDIA4,0.4684051897364022
CKAP4,ACO1,0.4245370108972505
CKAP4,RPL30,0.4037027977835192
CKAP4,SMARCE1,0.4117772666576604
LRP1,KRT8,0.5279808518369863
LRP1,ENO2,0.41163991364467123
LRP1,PDIA4,0.492775042733379
LRP1,MYL9,0.3647533525263223
LRP1,RPL30,0.6335435715420759
LRP1,TAGLN,0.4297070229712206
LRP1,NUFIP2,0.3690870505164765
LRP1,KTN1,0.4773388962411885
UBAP2L,PEPD,0.46444255967509823
UBAP2L,PXN,0.3932863093406844
UBAP2L,AKAP2,0.42678633561106794
UBAP2L,RBM8A,0.3718705693499105
DCTN1,ITGB1,0.3824423307321201
DCTN1,ENO2,0.36869009834918337
DCTN1,RPL29,0.4808146536684671
DCTN1,S100A10,0.404433493019697
DCTN1,TAGLN,0.3843832906900582
DCTN1,NUFIP2,0.4488101844652303
DCTN1,DDX17,0.501615523388052
DCTN1,SMARCE1,0.4660242131732294
DCTN1,PFDN4,0.3897012866725268
SF3A1,PEPD,0.49037653756747673
SF3A1,ACO1,0.4530381307757899
SF3A1,SMARCE1,0.4010655989832329
SEPTIN7,PEPD,0.4153019725629703
TPM2,RPL29,0.5417083448568205
NUFIP2,ENO2,0.5380657007213
NUFIP2,ACO1,0.44440474819507203
NUFIP2,RPL29,0.402715085906133
NUFIP2,H2BC14,0.3680110605989021
HDGFL2,YBX3,0.5219575914991056
HDGFL2,ACO1,0.5530083496738968
HDGFL2,MYL9,0.5759195734101724
HDGFL2,RPL29,0.3967788403324893
HDGFL2,S100A10,0.5087264353921476
HDGFL2,NUFIP2,0.44474552783620375
HDGFL2,SMARCE1,0.4937775833627
KTN1,HMGA1,0.425104283400647
KTN1,RPL30,0.5078195460369237
KTN1,YBX1,0.3795699717599164
KTN1,SMARCE1,0.4035661290347169
DDX17,DCTN1,0.5470908011217214
SMARCE1,PEPD,0.5363776664106116
SMARCE1,PXN,0.5760124387807644
