Entry,ctr_1,ctr_2,ctr_3,ctr_4,ctr_7,ctr_8,ctr_9,ctr_10,ctr_11,ctr_14,ctr_21,mg_1,mg_2,mg_3,mg_4,mg_7,mg_8,mg_9,mg_10,mg_11,mg_14,mg_21
O94925,8.27509316628798,8.2165948486482,8.32219655988968,8.13558212640323,7.64530761622119,7.58655407243575,7.5398998959249,7.48499485264073,7.4830041315146,7.43952012349269,7.61915639129027,8.10986621791708,8.14103164599407,8.24045017768633,8.3243217866773,7.76108081653433,7.60382043706109,7.86278509981119,7.93479397142902,8.12738644840677,8.00062738154987,7.32888287051684
P00568,6.83920557005144,7.18480868496389,7.50988729823827,7.61026700956873,7.45652469329766,7.58216809343228,7.54760970417486,7.5588990969321,7.38107241710539,7.52985639724639,7.26489388835505,7.47487511103608,7.38846989096585,7.39746678047358,7.68978331331206,7.67615259044673,7.49131072635445,7.39079413408865,7.34837329036096,7.41628145326104,7.35015974074932,7.12609324221741
P04179,7.73617497541482,7.52260661181351,7.46990622399272,7.40884399421391,7.64427153997741,7.62394559961162,7.61672191658563,8.17839903054628,7.86417879813266,7.71598212704119,8.2895389722,7.45465644435274,6.90918632853848,7.37413245667791,7.23294163833461,7.71349128526783,7.62329372696425,7.85304909644534,7.74093208998359,7.88650618414813,8.37944079063375,9.04290714760962
P06753,8.73924480060524,8.51012022470521,8.83768030460913,8.52078774657939,8.39514885568109,7.99254286668195,7.99034373274688,8.25853743382453,8.55945325745779,8.21870957185295,8.55359523414536,8.6301856582375,8.33368344655167,8.36792258665515,8.42422247897784,8.37358875395957,8.03762234984995,8.73331897101,8.5997833295381,8.74272426910832,8.7285651158729,8.94045290808917
P07339,7.96077720655347,7.97591167983087,7.81315854003794,7.67640375009406,7.45072121668426,7.85987278504553,7.98419535934168,8.15426971211878,7.84836623939163,8.16217762138424,7.91994438381032,7.55954651649184,7.54526930983851,7.53126921577229,7.94342711717441,7.57110470811095,7.50889208221043,7.77758399822206,8.02101392712613,7.65433227366412,8.34525685567166,8.52322856683198
P12956,8.81301531352553,8.69996831762965,8.64801268357957,8.4616034602924,7.95604688748423,7.13150897917578,7.35191427576853,7.26140600697875,7.3948134783165,7.22375468014637,8.09361504024994,8.76383969429532,8.61011703856344,8.61836016559191,8.43680979508108,8.08889259712319,7.4838325302866,7.78932923095538,8.03215610374352,7.84465498013165,7.41690074991141,7.34441742176354
P13010,8.75957604683954,8.69860947368863,8.55504579221872,8.50650445561307,8.3113453226746,8.18216430587818,7.78550453271954,8.24561790054806,7.66372978803538,7.07590273933013,8.19603928066715,8.66857289510288,8.60486201035577,8.48684177609415,8.59297752964084,8.43872839300059,7.95190274005875,8.14522278529808,8.22277914776602,7.88715253159156,7.64873235427581,7.26614513692078
P15374,7.83513592165099,7.89888115448225,8.09623292176762,7.61082823620288,7.70815305204066,7.61057825662016,7.20313962719856,7.61705952493956,7.6348647795628,7.69971910555897,7.59525113520723,7.5300887770887,7.1102342224834,7.32767529335669,7.7950401350135,7.65122675352952,7.32083561679353,7.75332652693049,7.76383622386314,7.74075511397054,7.69327199589644,7.78112865174216
P18859,7.6082841785693,7.82071158561861,7.87176773902083,7.76744717113608,7.29835187740367,7.44459153870675,7.35903404130426,7.15030672066347,7.35790735368957,7.37426987542458,7.13596991605112,7.58541572020209,7.41892756389799,7.57970886055258,7.6078568031394,7.37661099549865,7.38365921260358,7.32965296936788,7.39154216332063,7.21499586095314,7.35277957340052,7.77625099806288
P21281,7.67701599505565,7.5650294407201,7.49769100796929,7.54137306955087,7.45433256198467,7.57419431152404,7.641376855634,7.29648584220102,7.56813087160062,7.60445699836307,7.51070568455856,7.68170130621577,7.63865625206772,7.63606139219058,7.2978505524486,7.32645638257612,7.61897922186921,7.49322137730885,7.38750350880477,7.64284672611777,7.71090562370452,8.26094801711322
P23246,8.68682739241068,8.70602531768935,8.64229048133934,8.4483967469023,8.264345556011,7.83796253481514,7.78179178574367,8.32523793341797,8.05202585069749,7.70412599427915,8.15877530619443,8.63520489624734,8.66483432538808,8.59651378179937,8.57536627277586,8.31649877503522,8.0585564896759,7.98378761740701,8.25195859859913,8.16253465798326,7.77147022994658,7.36926832312486
P26022,7.92328072202143,7.88023812868237,7.86002069827798,7.85739612210909,7.53566584426562,7.54762315037072,7.46610005093524,7.49122555957935,7.47886480891114,7.55479398283002,7.05300207155175,7.89775408339716,7.74405939938996,7.87686609946256,7.82851054836181,7.13535149128983,7.49566873575254,7.50094648792287,7.54564186512305,7.55523216495515,7.49187208117081,7.85608379646635
P27816,8.68175073536801,8.65916888375583,8.74858903852496,8.60560517268388,8.50695542834527,8.39335332173514,7.98001601182351,8.13923361324651,8.39670731780019,7.38464920454968,8.30282161839955,8.57801197112082,8.47185751952905,8.48655650627244,8.57238758259692,8.44667394865608,8.14948353954109,8.66532806578248,8.45831006096317,8.629071060725,8.313892436865,8.21215614753923
P30048,8.17271419853666,8.31360565498872,8.23576983375605,8.23708817379069,7.7950138776362,7.93400790977046,7.9148761719037,7.97212891514693,7.67419571339989,8.22036771976705,7.88847105712356,8.30336758711358,7.89201456580083,7.88789937057712,8.17856250502944,7.88177686587284,7.91431351103969,7.57586080430673,7.92086216311915,7.66270592298869,7.99742310612797,8.65684520293921
P30085,8.00579324433104,8.01246092681084,8.04013373485883,7.97982811226078,7.74201132754296,7.57588723495907,7.5775982445981,7.76749617306197,7.7941275598598,7.6244943709175,7.182250573588,8.05195598331732,7.97440320181879,7.81416576216138,7.98456030964376,7.70839456593925,7.60927323486067,7.67921130239476,7.81497076103505,7.74919538285132,7.83375102695876,7.8080309425293
P35222,7.93706864511287,7.98938090257882,8.03479608355671,8.12870928376947,7.74357341813752,7.68483826894145,7.58012794777799,7.56755218455517,7.65344481833691,7.19233936891968,7.66563649720352,7.78925085063868,7.81874688186403,8.06671751568772,7.94246981545325,7.70862853086031,7.61466219848613,7.69184660246215,7.88511445040009,7.98459685437269,7.79710295320763,7.58763019583232
P38606,7.93812891840118,7.72105974132635,7.80011672332696,7.57956917934086,7.47666669472544,7.72472168456795,7.78894515432974,7.47165563770806,7.61479400499974,7.98141130357818,7.76726532154682,7.73742109528335,7.64835362137262,7.77603693037074,7.75627197315358,7.56351982669034,7.7642289673587,7.64807630719954,7.56528269829781,7.76675606403198,7.77834516789492,8.42362494628189
P42765,7.30767367520927,7.33244269933835,7.42225781670748,7.12684473169366,7.23413343016163,7.38486687250936,7.53453325082873,7.34951691557667,7.12179346364292,7.68216558874507,7.35370672976463,7.00015663160871,7.16607983811631,7.02557552896909,7.13767802180115,7.18045299239285,7.48784016681753,7.31352973829312,7.2895280592057,7.37346266655931,7.26584613354446,8.11010452235798
P46379,7.1250693038208,7.55410672659523,7.81247110896618,7.16679356129571,6.79188829005701,6.7091474252021,6.81733577560318,6.455694167295,6.76115346774596,6.72968583892938,7.34184414181842,7.63553288698011,7.32501716929744,7.17994183818474,7.2474831863594,6.46575323847928,6.88296676159698,6.84112462707336,6.87025049875295,6.8628521068438,6.74017090151109,6.67317522581681
P49756,7.28930569230373,7.12103497094978,7.44922260342438,6.63321623115836,6.67289446201234,6.99334035489169,7.00834058476263,6.44464096630339,7.06043445954587,6.85412874913633,7.26183062589818,7.74736410021652,7.12047470239185,6.65087441384665,6.36953391032555,6.40102631647353,7.01686331309451,6.7852991316479,7.09787157112385,7.24519989538964,7.07134720489423,6.92765478255504
P53621,8.58117919422735,8.59509038357245,8.4482898683917,8.23949710976347,8.03930143291583,8.302742866864,7.65853882028575,8.21781406642097,7.75655616617974,7.15612064498686,8.1369690931191,8.60280610657361,8.52786170772739,8.53701201016673,8.43631789812855,8.22553255131576,7.92834882299792,8.08503950017045,8.26160456949702,8.06765695224471,8.31469811513464,7.3156928426919
P61981,8.26090382280944,8.07663868957515,8.30617325573044,8.30992413167409,8.10635839720436,7.99438225654819,7.770297623339,8.00121103589208,8.13604105811939,7.67742578765884,8.07282633555453,8.34180751934725,8.16601953814148,8.09956459728317,7.84925277782797,8.15944748083873,7.85235007219933,7.97343347592779,8.24852880037587,8.37817869059715,8.29415816339299,8.21597543234616
P62328,8.50404630640217,8.35913855336421,8.67921302399783,8.55498911193326,8.26534122049217,7.86450122895129,7.89363368032282,7.89997164338757,8.71186982314289,8.19333718363736,8.70557886870388,8.61159564152258,8.09500979426022,8.12082863949291,8.15521307841028,8.45465977659661,7.95367073577625,8.4974534985353,8.46340814889924,9.13603641203668,8.63372726530976,8.45126924885009
P62854,6.98011433302579,8.0627113666835,7.94122698239479,7.80522508581735,7.54013714031784,7.52915737610123,7.40142862705261,7.65279562364701,7.414358323363,7.28921542210413,7.54865000435475,8.13709005063018,8.16390208067556,8.0618813134502,7.87091898623015,7.30944628494754,7.44737082558407,7.48050025558287,7.66110129472035,7.55154134895702,7.47934089146331,7.2943807633182
P62906,8.63468314125952,8.56925845338511,8.42339344270028,8.40049835660369,7.99748536421347,7.85327806214512,7.56464102900625,7.76699798182875,7.78308326877629,7.46411501675981,8.08157155440807,8.69592266870962,8.31664952713596,8.02221291993962,8.46719689202554,7.74856296716095,7.62445412796095,7.91094764105911,8.30485124315626,7.93386988146676,8.05376456185119,7.89199907762601
P62913,8.65116710772939,8.3967992679329,8.31605522140025,8.37777388295971,8.18415402507188,7.87063823468652,7.81900508531304,7.91257374626433,7.89120165220369,7.67336902363882,8.21282123780515,8.45369284279979,8.50821402544324,8.33673795281694,8.37711978552171,8.15001371107001,7.65792589110158,8.21747855325656,8.09704733090322,8.12669391816053,8.01449289618583,7.61662781941249
P81644,7.36224079483173,7.13925341566588,7.40056680648599,7.43720214881247,7.03065371383502,7.54913339457135,7.72800235276676,7.61429793198297,7.37919019059152,8.15975088785079,8.15948167383767,7.24746329472803,7.21475882015457,7.50080555054728,7.51057957298414,7.39680565366036,7.66757419272771,7.49972283015018,6.99622278816122,7.11467579834922,7.25292304388476,8.48153415277005
Q01995,9.55310696239081,9.47999111391437,9.55531720542997,9.31629685130235,9.36829792062515,9.31329772234327,9.2981297706212,9.52113336606496,9.57539436599855,8.88637676519703,9.5711418158589,9.26104769685015,9.16770000136478,9.31271952747588,9.38004285925352,9.46490253675266,9.3670429021218,9.51647267172038,9.68504529436331,9.5777815371405,9.73894669932523,9.54361208926498
Q02218,7.12109695841944,6.95311696177823,7.00384881901291,6.80909065360808,6.84776605414525,6.89916892063544,7.36966603307614,7.24875619281393,7.16630041842226,7.04217788991332,7.21101596246204,7.23437605109576,6.75695599230883,6.90468141687393,6.9127546609654,7.18710643681167,7.32151812780366,6.80813042145774,7.12011125213111,7.25664916011476,7.26546211881893,8.13087830486917
Q02818,7.58156460347425,7.51956932693659,7.62724339619693,7.29064100583085,7.41967743298308,7.67023443524877,7.82607431004719,7.82259745925386,7.7380361179048,7.98545092365038,7.4563716803082,7.60981014624814,7.24694831110114,7.6060082098872,7.37772733774311,7.67679975801813,7.7709147253079,7.43631383633567,7.47442330734701,7.65435099976826,7.63701425391326,8.57041014087132
Q07065,8.23658084944521,8.91014775718783,8.19858161030821,7.8687004242141,7.30467438876601,7.45312613406558,7.62037799876577,7.88290022658011,8.01199710704036,8.13946091449516,8.35569890155166,7.93033572958222,7.87271769173276,8.17499374976334,7.98062453466701,7.90965135216356,8.03012585617109,7.99287167124811,8.19416520838122,8.3997370336213,8.22059170987797,8.43129696451258
Q07866,7.93686107811341,7.82879079940842,7.90460280230046,7.07621648105403,6.9748375840463,7.18591199300745,7.06769285469085,7.05580518489917,7.03862187054414,7.02145598309857,6.97218630790459,7.325064042126,7.22111681534874,7.35061380631477,7.36531976637297,7.16381925370936,7.11796774161213,7.0645406121436,7.22614231934697,7.27440448017875,7.02826385624132,6.9966489047268
Q07954,7.70923904407955,7.23449624819286,7.26705333262357,7.12233955944917,6.91012535077546,7.42747665165197,7.57752526422355,7.59119773733649,7.43109875091297,7.71291942973854,7.5816060825664,7.61583547389043,7.15318560363059,7.17284054966346,7.18305425080853,6.9756054847969,7.52975441599999,7.10897656018904,6.80972156204299,6.74834888772087,7.82911144739421,8.48158388051932
Q13162,7.68097872526327,7.3738239824411,7.64253794904583,7.6654206492698,7.52279192641357,7.60631085648328,7.6691349178452,7.31203638346279,7.51688999018664,7.45592509653369,7.61320920947581,7.59872284986901,7.6664864826656,7.42785085158033,7.64298496684663,7.50232279504713,7.64753029154955,7.56595670987683,7.6176946784071,7.61719694575925,7.79346786295145,8.27050483338558
Q13263,8.55283532310278,8.60883145836135,8.54033386403013,8.31450113357081,7.66617511469254,7.65785841447841,6.44209523121485,7.74868397272025,7.63305106699549,7.14523275075018,7.98530432193705,8.29634644413562,8.33330901133358,8.36958787828509,8.39441529469145,7.87039166485163,7.42291677404077,7.62773477454627,7.99940393853654,7.63614734978419,7.87324970834945,6.85377559893204
Q14011,7.34091137353236,7.37633311423191,7.60741579427617,7.50631672547432,7.61386145723636,7.13958220441075,7.19796830798692,6.99023120428541,7.41371664446374,7.34503243695741,7.61012129666552,7.61049026280742,7.57294539351776,7.25699096455012,7.3988871979094,7.14227437018964,7.01425339255416,7.19913786185615,7.80623100579428,7.60900044848347,7.53007940295995,6.92966360392283
Q14444,8.39019992980831,8.42657555312097,8.52993122300595,8.26193361310518,7.79075061623678,7.76307289582683,7.5517774654088,7.82858433496099,7.61969454757554,7.49006435290459,7.99327572393001,8.25700627197216,8.17338996182383,8.38456273110501,8.27873566004378,7.80663837323173,7.74571111194767,8.13243676572645,7.86676522782146,8.01608373059496,7.26282614080605,7.33542277900685
Q15233,8.26759958117901,8.49950946849664,8.33389147764996,7.68610119989477,7.6665253444568,7.84141433833026,7.13753866074646,7.7183967107672,7.31914074228721,7.33713956685405,7.87941864508149,8.03174340114952,7.97382261801308,8.10971677917033,8.01515061775627,8.00835507400047,7.42142098808563,7.64249669571986,7.74196560116888,7.65981245658953,7.4797935553353,7.18846943241675
Q15459,7.41996597612805,7.83746670380377,7.49476229457508,7.53240083181763,7.17764421142383,7.20247582106963,7.0842394684848,6.69193942492304,7.05423733553072,6.83676231507629,7.54935875596416,7.7640950644394,7.74654017971918,7.43760464009894,7.14581042052363,6.62697500952192,6.60036055944467,7.10945019203265,7.44718391442823,7.09092973359763,7.28113056362189,7.40714761785419
Q15843,7.36556866247109,7.78059629215615,7.80506131588238,7.85042597346678,7.99006444111123,7.75106618477631,7.66197003224536,7.82360504009208,7.88128928671579,7.64811979355693,7.95785360005483,7.8389005118731,7.69573372081387,7.74973352815945,7.7082766670373,7.9312861320486,7.77693731772994,7.80918565619426,7.96247109585528,8.1636643697545,7.8641576036431,7.3422925568324
