"","ctr_1","ctr_2","ctr_3","ctr_4","ctr_7","ctr_8","ctr_9","ctr_10","ctr_11","ctr_14","mg_1","mg_2","mg_3","mg_4","mg_7","mg_8","mg_9","mg_10","mg_11","mg_14"
"O14974",7.53558611443886,7.50900018344927,7.54914969655235,7.46819084423378,7.24302461824566,7.44829110581016,7.81159616935247,7.23082013160807,7.20399201662881,7.29798126047826,7.5300637781838,7.43881439892174,7.34484273441385,7.35479440574087,6.87496326558511,7.81644917790121,7.50425948474537,7.39752794550553,7.42963962794944,7.29964907693003
"O14979",7.75935646022336,7.81682232186538,7.803676035259,7.58507004697598,7.46788121594492,7.49354872876596,7.2992810498359,7.3964210652984,7.32257377246479,7.06476855878633,7.54722289410504,7.54158989310606,7.80427008101823,7.77043723901045,7.48879484798852,7.27199969447337,7.41929233768567,7.34328229131865,7.30293241322504,7.31126862944063
"O14980",8.37986292808932,8.29208979236943,8.15112426211691,7.69125866202794,7.59982893648771,7.40685156519418,7.09303892979646,6.86361783546635,7.39752013084844,7.44621759377914,8.19274340267195,7.96136887354498,7.64016181693155,8.22009864897961,7.25739776043245,7.19658444884842,7.14024365233559,7.41671570625331,7.44702030926718,7.2922448051405
"O15067",7.42289679506098,7.45662839714378,7.00224063612511,7.43252346990472,7.47013352924975,7.48658467800449,7.19948514540695,7.42749388657566,7.35788598002949,7.43359796478748,7.38567400957442,7.41962656780072,7.30535176895368,7.30965008815906,7.30756706528366,7.35584072405369,7.29435066169227,7.37111488024329,7.39940913853086,7.49644715961612
"O15143",7.78715064099058,7.89005067040035,7.83605052024259,7.86601894126733,7.70398944905835,7.70471660313113,7.23525346023914,7.39687978169109,7.5282234091863,7.59179543882971,8.12960279442372,7.84933078600582,7.75503770604524,7.53610486227622,7.39400255288949,7.21263723200519,7.63447052406345,7.54948956235719,7.82743938128872,7.78768361321614
"O15144",8.29836265355448,8.1088355749487,8.05801722286992,7.59656911419934,8.01678207977395,7.81402394821551,7.83260329326158,8.06226202886398,8.08419400854191,8.09068334784567,8.45536186311643,8.00700502305207,7.94854961549491,8.05041172810944,8.06595008546582,7.38987563752239,8.17672734216568,8.09312539411428,8.03589672807539,8.1042948211333
"O15145",8.20344321234592,8.07452327029677,8.14385770390393,7.87511403818822,7.6616799727247,8.32632187139616,7.73450858263218,8.01489707234165,7.69156798956313,7.78200218480128,8.05845860086614,7.96291259617887,7.92237715205797,7.93653742327192,7.78542208014629,7.72206428197512,7.50080791638756,7.50245028929491,7.63629427646733,7.69071864742681
"O15212",7.80231186886509,7.83260780584273,7.85341813030383,7.89653442058356,7.8734865051538,7.82252034983839,7.22283931217065,7.5756135176098,7.47794781246647,7.40149544113487,7.66850683777444,7.76680955178017,7.66182214229208,7.817658296416,7.77299965268606,7.07118115012301,7.59689854982448,7.42222343137832,7.60916822289283,7.39164995462107
"O15371",7.84932449327093,8.10816474368348,7.51758161087876,7.5717386358005,7.7053652772446,7.6207985005631,7.33071040179656,7.52930795536892,7.40340761147313,7.36570122057198,7.70888237216101,7.46794140282803,7.65386805456545,7.63302248781108,7.72281627138969,7.35004012012778,7.50414917112422,7.42777830511799,7.4873292119278,7.24886657189714
"O15372",7.87809189106442,7.95266553856088,7.73631703176111,7.41604849677378,7.87155187679228,7.53895898110247,7.29331106045535,7.51120700002775,7.44678318719669,7.36926536589033,7.51702740503219,7.50152849706834,7.58852638777403,7.56361078196202,7.72031220938089,7.18211620070757,7.56150629822562,7.46161509754888,7.50744641601304,7.43017090468639
"O15460",8.16729183914612,8.11157227562323,8.07833434633634,8.07220031719336,8.23188113507226,7.56269177420004,7.96820206847349,8.69952622306412,8.43770172542152,8.57522795486423,8.0971261401159,7.96378518499586,8.06956159381251,8.05002037578265,7.7027653328991,7.72734118124216,8.3271357767141,8.52999166561704,8.43532152113323,8.56176131410293
"O15511",7.95819190514837,8.04794639193885,7.86847346946987,7.49098050698233,7.67805026843929,7.69123357754822,7.40972456873057,7.77127441411108,7.89439647316099,7.68112112494338,7.96395447159299,7.45737827546693,7.72801100463097,7.74754729153795,7.59510654660966,7.30456719884109,7.53828123262945,7.95183640793577,8.15000834649018,7.92020105269681
"O43175",8.13227096632098,8.18748919202337,8.078345360637,7.97511397633443,8.06978521357746,7.9516915588387,7.90744052903684,8.1945243356426,7.98765404008339,7.53538572334117,8.23425198066617,8.18553672605277,8.11134675524346,8.09721445368168,8.18579673660259,7.9136669087491,8.34531005937146,8.27752261178164,8.23157121807237,8.21185109750441
"O43242",8.33482718586977,8.22128603590149,8.10082964945093,8.035265414913,7.35094191595655,7.55042417152624,7.37895322325171,7.91221711009444,7.6782929448513,8.2055047073544,8.2803385571517,8.28261007865379,8.13407531510131,7.89934065431277,7.62939438914689,7.41037830677886,7.00342856334126,7.37894038916495,7.7163310093702,7.6749050074513
"O43294",7.59799622308517,7.8047886508087,7.67565913444481,7.73741682442052,7.05495735452114,7.51007860808404,7.39478987323523,7.53550951414798,7.27530273370498,7.37575008988626,7.33689826323723,7.46274973981009,7.65396932108898,7.89247661670624,7.46682414014001,7.22347477348544,7.29268262008106,7.46938201782506,7.23841878154276,7.32358038975498
"O43390",8.12340310646875,8.26634698613297,8.16069557717234,7.96503057707069,7.50792157083969,7.43813389152353,7.31928771330208,7.42951398664853,7.43472754551427,7.4969559662683,8.25173624132493,8.23638939776296,8.2604877274945,7.92031344773808,6.89486632058211,7.31400195107572,7.33332209624746,6.92097875281024,7.57338725225598,7.30442649914741
"O43396",8.14620438478356,8.05286697227013,8.06218887387361,8.02193012841821,7.66657039474819,7.42121523781086,7.28450932987672,7.59124443777269,7.80420213036107,7.45816404122032,8.07689486844656,7.89149847262951,7.90780615936934,7.95061707340814,7.36406372725266,7.10825298098725,7.78896587013969,7.77629731577258,7.83722736847855,7.75720385626922
"O43399",8.30455757753816,8.25722060018524,8.36744209178535,8.10088737214797,8.10922042650306,7.90024272576685,7.74863451807942,8.01659709676618,8.02969123815418,7.7869666373827,7.8777258232947,8.08447241840342,8.25352837422172,8.28070116781381,8.03779111110397,7.84607291022643,8.17904713387546,8.16204031380281,8.31129261866599,8.06267649648014
"O43504",7.70264824960275,7.68184133293433,7.81336669086037,7.70293186889784,7.47278727410989,7.42032116170185,7.27206538327577,7.48051524840011,7.56481191690597,7.39323284335886,7.63038110186786,7.57993531921945,7.62568120300702,7.88456492063879,7.10864497142105,7.12659470347431,7.52978211965447,7.62462254658235,7.83374228196329,7.66424693142679
"O43617",7.48582776864844,7.4317171577613,7.52302384612751,7.37014115559776,7.20571191045073,7.0957339916358,7.81159616935247,7.33932118019989,7.18616548156864,7.11965326800987,7.16940881367807,7.24391230484585,7.48786815085361,7.56295965506907,7.1979670808186,7.31456433278503,7.12925351038105,7.19901203925244,6.88129180534421,7.04180648617224
"O43681",7.38271351121013,7.72404974427592,7.55613603947638,7.50551601062315,7.14057886831747,7.35576280866105,7.81159616935247,7.5848358195207,7.29193128549516,7.42407801092647,7.31085924873619,7.69296185351543,7.39771589822635,7.65359228818282,7.72254196839133,7.25811844768944,7.71738401710483,7.33126102684007,7.53277041163942,7.0732422898648
"O43707",9.78340557602267,9.79319701204574,9.82185046525739,9.69565681957843,9.40250406973226,9.16092268586439,8.99834158178356,9.32184561395919,9.48028006457821,9.33721149324131,9.69515112017114,9.63852877558146,9.76059744054269,9.74771149296409,9.34383451072065,9.00138536363333,9.4672534719624,9.51516259425478,9.52437509169295,9.54283712181193
"O43776",8.10718328360865,7.96468724586224,7.76187278965009,7.85666855169594,7.8087071971238,7.67032508249163,7.52442511908923,7.65847558194935,7.4221669849374,7.54756499050818,8.03351565099809,8.01096675936088,7.91363069651694,7.99097341986839,7.86561451286321,7.427435709589,6.99691627688378,7.79875963382697,7.75064423814505,7.89529047195155
"O43795",7.2613203923307,7.31862285725182,7.16131723989511,6.97946798288,7.2671513649174,7.07490659375542,7.05391996824619,7.37758088505785,7.25040357377943,7.36238150234769,7.63647150031166,7.45884972661828,7.21487924323998,7.33926716510903,7.46442675954231,7.25539341239898,7.12560335532497,7.25220687767087,7.40754352523497,7.03938185467356
"O43852",9.1837801318075,9.20716159299899,9.29318331793359,9.19608817387881,8.99268491985613,8.42938703029673,8.67767407821259,9.24311578083998,9.12991713447762,9.14046918376698,9.02193389427162,9.10532588973385,9.24009433498596,9.31353250774883,9.11940202753615,8.95379489269916,9.08588424556953,9.29729755333146,9.17149384461433,9.20394677125056
"O43865",6.99904791086988,6.91679434584602,7.25604550542509,6.69313714819756,6.89244396683675,6.41411938292576,6.70105964268111,6.81173562454057,7.22700093793048,7.04830203083975,7.27170900481947,6.86859992149249,6.7684314726769,6.78073656510656,6.77699222813518,6.64954976787799,6.95333098833609,7.04816895020269,7.17023263115311,7.20972805213404
"O60443",7.4506580723752,7.21662527246263,7.35702563472707,7.34519502420174,7.55278992732673,7.17605993785613,6.88121931123746,6.88265590368639,7.37646383091912,7.41021612173741,7.5268450215147,7.27862179725471,7.37141136901514,7.40159990615733,7.03331248904165,6.9122571940777,7.36621887501198,7.32315929872988,7.2578942813783,7.30904111094975
"O60493",7.41500508207143,7.40121330240117,7.39570496390859,7.1855477098226,7.3244418874042,7.36815729212044,7.48261518157727,7.76735367407846,7.28250011384425,7.36963867323027,7.44953770622166,7.26460189656508,7.40340626484356,6.93089475061649,7.25194971149471,7.26972945372911,7.31493731659566,7.45450441277606,7.45462163360382,7.41823293146027
"O60506",8.87940328451628,8.88215856418333,8.78616527575362,8.71132258814843,8.32497810102931,7.95467411468719,7.81864266185589,8.05909299812732,8.15842225736339,7.96428901117554,8.79454350872504,8.82624325713977,8.81448391536462,8.6940252301231,8.30386868427565,7.75662216243756,8.30358284736966,8.43991565327081,8.3427760112972,8.23042207783787
"O60568",7.61546094203822,7.63947239016395,7.53182899411634,7.49880887670746,7.45498461209164,7.4512549925442,7.0924367875102,7.82871399092356,7.57515230046674,7.89444403737598,7.31470329558088,7.72403128526394,7.54002506671551,7.61015577176393,7.49724900093898,7.26281891991824,7.34629473075495,7.4934515117702,7.48393940586761,7.56972734485293
"O60664",8.91993193584699,8.92758434117527,8.98934040898542,8.91501201411003,8.68609587705558,8.69813053491454,7.92264211061099,8.54104101634178,8.79256655843521,8.63911887393053,8.86890856306883,8.84244616017185,8.90127522127168,8.93263490024395,8.67624778933416,8.26834020454131,8.80178229742368,8.78003687045148,8.90389562756281,8.79890189686772
"O60701",8.72571980108084,8.58424202738444,8.70938621965715,8.48824146681425,8.42681546789064,8.24315623897472,7.74243893203017,8.37162273706334,8.27977821249125,7.81805935884847,8.72918837478646,8.62170525952159,8.61952177771202,8.5604120396249,8.41226221397122,7.88211517358469,8.1804380006004,8.30930132792701,8.41761896995679,8.28989538777867
"O60711",7.38435558004766,7.40527482775017,7.3207860452916,7.4224510889827,7.36801230770357,7.21741724793304,7.81159616935247,7.32124545144566,7.14110016411543,7.28067136117339,7.38356363619143,7.38787159071305,7.48186835099741,7.49210064476174,7.73122011954443,7.81644917790121,7.65725864871368,7.28235858573923,7.34335393795494,7.33773861710216
"O60716",7.83179873574528,7.81994103452451,7.74374165617552,7.59379498038522,7.52427250544836,7.49589755614573,7.24182686930611,7.49086130997547,6.9631777176378,7.19778447902303,7.79545691616371,7.77803762470184,7.75465513685405,7.71528213541051,7.34001270420552,7.17905407118478,7.2852916881662,7.44882495813317,7.6990478064425,7.08075792181241
"O60763",8.25311268030706,8.14316230038175,7.97713515581177,7.64313766465463,7.98048331705384,7.92585817090634,6.94743434219045,7.87901972092785,7.94601119613758,7.79963329755725,7.99911541933097,7.43856835613239,8.10586497337661,8.16092551014484,7.8565441399963,6.96524346146358,7.86453613548144,8.10602997952747,8.04433116173214,8.21308620304236
"O60784",7.32910910577583,7.39331845474942,7.29776091002917,7.39193235157906,7.34677736960505,7.45271976058614,6.94977470714967,7.37401250925712,6.88343417253177,7.33185560197993,7.21628901261901,7.27456365887804,7.45885312506894,7.49447652873514,7.38824572696247,7.05778356520206,7.32679905126035,7.35390143002745,7.21227455631516,7.11400671858724
"O60841",7.69105516112117,7.80505214286434,7.6482748187655,7.43018663937048,7.38125067617564,7.39718240126975,7.31189253905332,7.38342045186107,7.2770757777757,7.3145135581814,7.64905108956726,7.76754891350439,7.7326091759605,7.54051599648179,7.459596485956,7.19795056137229,7.32226516878951,7.39168148729608,7.32917408577109,7.40060945398362
"O60869",7.7230099924873,7.63896746866047,7.64616508154118,7.7512418012703,7.25987438379288,7.39190545579955,7.07386947874687,7.29431908133123,7.27320073284321,7.29404490360851,7.67662648622549,7.49706133744602,7.56665857809593,7.3632507080581,7.1454613758443,7.08574909254793,7.43544788826262,7.35333135826714,7.64524130113797,7.25815666394542
"O60925",7.32803833702619,7.41748479397104,7.73465940089486,7.57611752144991,7.6287413332739,7.56036467527814,7.29055178321079,7.42063288160353,7.34317411053649,7.34654196005833,7.55854275746927,7.5728574893762,7.64798008688007,7.60597455500366,7.68957837475065,7.10258530035043,7.73803921317673,7.37979264534516,7.41637298305766,7.23183769566284
"O75083",9.15039012783345,9.13237828152437,9.16961163912738,8.95558619386273,8.76197874958621,8.74837518034491,8.48431486396856,8.73645522164202,8.62628098147971,8.60711646441744,9.0448154959655,9.12050044443333,9.08292452203757,9.15318785846277,8.78370291519863,8.48119825887452,8.69087701723327,8.83222412241166,8.75122651206394,8.80345049301176
"O75340",7.55191834250026,7.43849783515123,7.6281876523191,7.31754314800926,7.14181534320274,7.36237618677125,6.9875865542864,6.89241470370585,7.13670374110903,7.46269031372623,7.39034159501534,7.43135183567272,7.46515301315201,7.49417177728635,7.37867834462536,7.25248694389176,7.1033850172607,7.17597788083888,7.00109374271805,7.15882204409586
"O75347",8.18834823177218,8.21630098299882,8.28183871394083,8.46169767718696,8.03339207129896,7.79259218914629,8.05020901230873,7.56840239384851,7.75094489270306,7.6842961806799,8.19058809010861,8.17138425832088,8.3958075062931,8.10033362884259,7.88965143094919,7.82642766818698,8.00296290064965,7.66687590103014,7.98724905450833,7.83608522037356
"O75348",7.32293265862415,7.24477286516744,7.19331948068647,7.20741046357725,7.23278768173407,7.06777853148146,6.74816994325092,7.14576583847435,7.24585993069228,7.46960289844783,7.45311428527843,6.94571892062099,7.22198525018237,7.4372909811801,7.03651310008056,6.53375976540311,7.46606197549978,7.29328961890307,7.40479063278191,7.49580832394942
"O75367",7.54011257798431,7.91079523570152,7.70262149120965,7.5080081227336,7.35839173498831,7.35092056658036,7.252632388575,7.25708289013378,7.28271820337036,7.25031297459143,7.81850623790056,7.81600935520984,7.70548964287262,7.59050201105766,7.44202117492574,7.10039248272764,7.28953211420714,7.46597961533684,7.38742513872612,7.41268572953848
"O75368",7.73013183743042,7.42762317280539,7.69156911045058,7.62608206164366,7.75803535670469,7.73332396250873,7.3610839234102,7.92761311680407,7.76406248142508,7.70814313281498,7.47664858929342,7.65044852772849,7.74916203448433,7.71877879037393,7.73598480456808,7.40154392131923,7.52043269113249,7.6179844726797,7.73066011730009,7.98777819611105
"O75369",9.44734394558331,9.38353097966974,9.32249005916407,9.18807271864092,9.21716593290218,9.2396612361214,8.91610132402948,9.271187093005,9.21980011372612,9.19832254867752,9.38873546016379,9.37473640240027,9.29449341137345,9.21963291961616,9.12413295035717,8.87656338087271,9.16600643928595,9.31655257030802,9.28563735843387,9.33625801406774
"O75390",7.89993394252139,7.60244935800146,7.89079117460658,7.91648509151141,7.80335163039847,7.58531593603762,7.36576303501928,7.80783749222586,7.56719942937472,7.38825114006595,7.88831307680943,7.59176838631091,7.57175170362535,7.98910687907675,7.86031694257859,7.43443028486325,7.72085400343249,7.75114016758803,7.55341955280197,7.47272236752307
"O75396",7.40709672234466,7.76699068172557,7.23237902010454,7.32084740929669,7.21282981095172,7.53521821189728,7.35787423482017,7.33932925327676,7.06525959177769,7.42776237591968,7.25788923524473,6.93365422507854,7.14597658600899,7.20803674142359,7.39877604507216,7.2737630740375,7.29361461264159,7.09464039118402,7.32557274241344,7.09347521071783
"O75489",7.17522892387907,7.3730910211581,7.30763105470152,7.1548723106711,7.17377089034869,7.1593973538734,6.9272928898824,7.17447948833727,7.19320984295982,7.54383964930154,7.17273889959362,7.28398486215897,7.29648973234553,7.38367248675777,7.23631856000099,6.98548803412615,7.13007622230981,7.21064513829304,7.14583173240538,7.18966136495018
"O75521",8.15944707290361,8.26086343693169,8.12561366644427,7.71588564761083,7.31357263585568,7.45954388162584,7.22966660278772,7.52285921472,7.44583038020385,7.43227533723765,7.97237010270766,8.04056737302981,7.93025745942494,7.90294648997507,7.54626946618455,7.21407574793618,7.07703215035761,7.5836351363868,7.22248402609994,7.12908701363403
"O75531",7.8394301206458,7.97620602219496,8.03682182399368,7.6480705669102,7.62927723025475,7.64984796944407,7.31791359190259,7.51513425220414,7.39729117807535,7.3153367530671,7.60386731536527,7.45243764157659,8.02638029252207,8.01295587305303,7.79119384490655,7.43729463000148,7.34626039994521,7.23390311757484,7.55285863086017,7.4047931865223
"O75533",8.0302271544762,8.15456805313307,7.99213283573952,7.14278625903845,6.58261595951542,7.09468705836691,6.6211168765519,6.66425225956806,7.16058381902598,6.99742075408199,8.04364887800525,8.06818602773151,7.45677919004247,7.49373120693328,6.46599915403932,6.88564981657089,6.65231024598823,7.26810956543432,7.31246830790514,7.19385071536045
"O75534",7.90305519659192,7.81026862257676,7.81817339133608,7.78817108943065,6.81634323358689,7.61590230329266,7.81159616935247,7.27132454038967,6.98894387432088,7.32805375594302,7.69846271750124,7.78405204254168,7.76411127818111,7.56857092787648,7.31462743270175,7.27680114782395,7.25133287172742,7.30364606884987,7.26386165342868,6.95176554879845
"O75643",7.86344837349454,7.95698358796533,7.7269340655248,7.67750105595911,7.34657571231363,7.49027364573316,7.26160887495397,7.46212963700286,7.3430344940033,7.63848521306315,7.87661233540145,7.78225068119331,7.62773841661546,7.6553790878699,7.52979060965137,7.16896711874178,7.44059671280981,7.46246114470746,7.41165398290718,7.45235652341806
"O75718",7.64174769881447,7.60105107396292,7.57498835535408,7.42078723745775,7.2286626867202,7.28949163374397,6.9875865542864,7.13693521647408,6.98971273870715,7.4824454304146,7.56833999913542,7.60458833491283,7.41485438444702,7.44827659584132,7.34718456821673,7.02363890785407,7.29719062081068,7.16352328040133,7.22733381552327,7.23294376912665
"O75822",7.28631916335193,7.52077857477478,7.33170265132512,7.2844445798887,7.08385866941206,7.24470194673429,7.81159616935247,7.1784208415946,7.06322995497676,7.4688337601175,7.31718989321151,7.33242953199858,7.34169222059774,7.27371898329673,7.02817771300076,7.81644917790121,7.28328991515999,7.11727576489224,7.01347991049702,7.07588218280102
"O75874",7.73027286962773,7.87552738868815,7.7997417945855,7.62900804580164,7.95023348465715,8.05829761791703,7.44438005558852,7.95522015903574,7.8663177395607,7.16693394017355,7.8085482859162,7.21904152473389,7.67903740861251,7.82514893291167,8.12649952247931,7.50231543097084,8.15252501382483,8.12095903054309,8.03086689072277,8.06148733115846
"O76003",7.8271891812492,7.74066375451031,7.87461662688989,7.38335794383452,7.32036826610946,7.44664379814304,7.30704526713752,7.54095219706908,7.22894023240213,7.19837171238836,7.72178463468966,7.74131610181166,7.74863140388825,7.71854518994217,7.67903740861251,7.16896711874178,7.21170967545096,7.13607317637556,7.39716268382927,7.27152662822301
"O94808",8.15920836228552,7.92339783716083,7.56038537245945,7.18873867246163,6.93939772619746,6.90902728343602,6.6211168765519,6.95513835567804,6.96655500855948,7.3027543734971,7.96925937810486,7.57511766931347,7.14809548381039,7.15614173361994,6.4158889453252,6.60233251439999,6.93822356925495,7.06931048327125,7.00451850095143,7.57060464184616
"O94855",7.89089990799802,7.71046855907666,7.64332661914515,7.52461887583633,7.41048221341098,7.4911558720378,7.26636703798397,7.20759441945917,7.36823485553943,7.41331328643986,7.78223822964895,7.76508279240764,7.63667418958953,7.71909344658717,7.41838755169198,7.18177100407399,7.26610264777499,7.41525104291905,7.35461418605722,7.50639209657655
