Regulator,Target,Weight
O00232,P05783,0.005759026508109676
O00232,P05787,0.00696421548065657
O00232,P07339,0.027671599362510478
O00232,P13667,0.056976421677963414
O00232,P14174,0.005048482273406454
O00232,P14314,0.037444252322575464
O00232,P14866,0.03765055215162592
O00232,P17174,0.01821684190595442
O00232,P22061,0.022402598503292643
O00232,P23284,0.06450088128663203
O00232,P31949,0.017969627519458454
O00232,P40939,0.029059878687401133
O00232,P50579,0.08857352670170059
O00232,P60903,0.040951171730843734
O00232,P62854,0.03486305032455535
O00232,P62888,0.027261624735175776
O00232,Q01518,0.08911362038424157
O00232,Q02790,0.04454424369599492
O00232,Q13200,0.03834779414034442
O00232,Q16629,0.011840236650234228
O00232,Q6NYC8,0.007629134567568375
O00232,Q92804,0.027126573740781198
O00232,Q96AC1,0.008003431289557203
O00232,Q99439,0.10748400160834817
O00232,Q99460,0.023132994407924358
O00232,Q99613,0.015098749491015086
O00232,Q9NZM1,0.022438200438863513
O00232,Q9UMX0,0.019559356483374108
O00232,Q9Y2W1,0.06436791192989069
P05783,O00232,0.054029778721061524
P05783,P05787,0.010450601479132965
P05783,P07339,0.05044097682525762
P05783,P13667,0.018240686210720673
P05783,P14174,0.06703335151754954
P05783,P14314,0.08463725993409905
P05783,P14866,0.004331661756237913
P05783,P17174,0.01679512936933534
P05783,P22061,0.030528697009834446
P05783,P23284,0.0018239710748318902
P05783,P31949,0.036704396208792
P05783,P40939,0.018842559640870768
P05783,P50579,0.023610226368163026
P05783,P60903,0.041802663327991735
P05783,P62854,0.010623284968455694
P05783,P62888,0.04108988960460499
P05783,Q01518,0.0033220459170038336
P05783,Q02790,0.028787066300918266
P05783,Q13200,0.07370632454484372
P05783,Q16629,0.010424147580829782
P05783,Q6NYC8,0.07073765008293793
P05783,Q92804,0.1853461962511578
P05783,Q96AC1,0.017408296901519082
P05783,Q99439,0.02111188725317633
P05783,Q99460,0.01836454769923215
P05783,Q99613,0.0031201589751214624
P05783,Q9NZM1,0.027339702503052316
P05783,Q9UMX0,0.017761179476586734
P05783,Q9Y2W1,0.011585662496681463
P05787,O00232,0.036381658615338396
P05787,P05783,0.050098268071278304
P05787,P07339,0.08736172552832837
P05787,P13667,0.01081097985287774
P05787,P14174,0.043532680755821035
P05787,P14314,0.06020451034348142
P05787,P14866,0.011919097911229488
P05787,P17174,0.05382914707667233
P05787,P22061,0.11484685240606181
P05787,P23284,0.010289531381678107
P05787,P31949,0.029330658733094848
P05787,P40939,0.03584961049197867
P05787,P50579,0.028192491121751123
P05787,P60903,0.0215612515373707
P05787,P62854,0.033396211353913005
P05787,P62888,0.07903694156087487
P05787,Q01518,0.035758565199720455
P05787,Q02790,0.022516808995537457
P05787,Q13200,0.02427794626957878
P05787,Q16629,0.0487641622175263
P05787,Q6NYC8,0.03610059213778341
P05787,Q92804,0.02732333899098543
P05787,Q96AC1,0.008736641327368908
P05787,Q99439,0.013321923658676573
P05787,Q99460,0.004249622329177832
P05787,Q99613,0.002906374970308979
P05787,Q9NZM1,0.024010720067559645
P05787,Q9UMX0,0.03248972880340124
P05787,Q9Y2W1,0.012901958290624776
P07339,O00232,0.04194801975106403
P07339,P05783,0.0414295561816901
P07339,P05787,0.04327782138079892
P07339,P13667,0.001254650457277978
P07339,P14174,0.06781357583606516
P07339,P14314,0.05155191951284032
P07339,P14866,0.0011812305342400755
P07339,P17174,0.05154127057952648
P07339,P22061,0.06780676328433673
P07339,P23284,0.0118534380647852
P07339,P31949,0.030282951032098618
P07339,P40939,0.026117385538418487
P07339,P50579,0.02446787720069095
P07339,P60903,0.007100826673646468
P07339,P62854,0.029871961806580343
P07339,P62888,0.13928383955140602
P07339,Q01518,0.028588840139127093
P07339,Q02790,0.08958628147610494
P07339,Q13200,0.037699037105776594
P07339,Q16629,0.026334248429897775
P07339,Q6NYC8,0.05465812305565182
P07339,Q92804,0.02409601656541338
P07339,Q96AC1,0.016690874134621482
P07339,Q99439,0.01854936259254496
P07339,Q99460,0.008690039653427871
P07339,Q99613,0.03635186409704935
P07339,Q9NZM1,0.01867381618116758
P07339,Q9UMX0,0.002918033332603552
P07339,Q9Y2W1,0.0003803758511477606
P13667,O00232,0.04598394076347722
P13667,P05783,0.005942659458708504
P13667,P05787,0.047614235698850677
P13667,P07339,0.05715884668224258
P13667,P14174,0.17976252096614975
P13667,P14314,0.009792261567806508
P13667,P14866,0.010217336418198018
P13667,P17174,0.06754300163181058
P13667,P22061,0.023949637509891705
P13667,P23284,0.01895251333893279
P13667,P31949,0.03438759587589268
P13667,P40939,0.010452209333352147
P13667,P50579,0.007868991724861562
P13667,P60903,0.06607184170863743
P13667,P62854,0.024824458100725134
P13667,P62888,0.011915943624796336
P13667,Q01518,0.02820713145889788
P13667,Q02790,0.06802640874566503
P13667,Q13200,0.05807825238401979
P13667,Q16629,0.05323200124436998
P13667,Q6NYC8,0.02083536924630782
P13667,Q92804,0.0011725502814105893
P13667,Q96AC1,0.03386745921721902
P13667,Q99439,0.030156135718812278
P13667,Q99460,0.02874337435179227
P13667,Q99613,0.026889366631354435
P13667,Q9NZM1,0.006174555329597745
P13667,Q9UMX0,0.01868268112463921
P13667,Q9Y2W1,0.0034967198615803836
P14174,O00232,0.0014075149734216023
P14174,P05783,0.037570488273093366
P14174,P05787,0.03334387373923028
P14174,P07339,0.016516503876895114
P14174,P13667,0.012471699964361834
P14174,P14314,0.009359527487806734
P14174,P14866,0.004750057902859257
P14174,P17174,0.026232061054038677
P14174,P22061,0.2954038289885435
P14174,P23284,0.0035713639499391574
P14174,P31949,0.016616875433161298
P14174,P40939,0.0069185177218772905
P14174,P50579,0.045877398135669364
P14174,P60903,0.013127521127213979
P14174,P62854,0.01899986777190918
P14174,P62888,0.039162933425795195
P14174,Q01518,0.007893173358546442
P14174,Q02790,0.008416166935157668
P14174,Q13200,0.04718901141711627
P14174,Q16629,0.022899661614088282
P14174,Q6NYC8,0.0921149888859751
P14174,Q92804,0.006113360174996145
P14174,Q96AC1,0.027326007316643256
P14174,Q99439,0.14005079970186451
P14174,Q99460,0.00848496476759633
P14174,Q99613,0.02174579735164053
P14174,Q9NZM1,0.002741444989282099
P14174,Q9UMX0,0.022979056219047722
P14174,Q9Y2W1,0.0107155334422299
P14314,O00232,0.032181918414792836
P14314,P05783,0.0072412614681395
P14314,P05787,0.01959197876639688
P14314,P07339,0.005964577586319418
P14314,P13667,0.0183755970399247
P14314,P14174,0.056641592669816374
P14314,P14866,0.033993560088343006
P14314,P17174,0.022192391223290645
P14314,P22061,0.020370914982212805
P14314,P23284,0.05378363787455452
P14314,P31949,0.013766872319633973
P14314,P40939,0.02867496778379733
P14314,P50579,0.010525038085681221
P14314,P60903,0.09234658236316877
P14314,P62854,0.010031762257486398
P14314,P62888,0.03743825674475755
P14314,Q01518,0.3206756320677034
P14314,Q02790,0.03312716863242884
P14314,Q13200,0.00618482164025869
P14314,Q16629,0.007466193201629272
P14314,Q6NYC8,0.006917588020965341
P14314,Q92804,0.007424865793240855
P14314,Q96AC1,0.058658814087727655
P14314,Q99439,0.017348604181803673
P14314,Q99460,0.026850013785912053
P14314,Q99613,0.010419836884524454
P14314,Q9NZM1,0.009217006690415164
P14314,Q9UMX0,0.011474774484018064
P14314,Q9Y2W1,0.021113770861056955
P14866,O00232,0.009634937764412566
P14866,P05783,0.009627805380172993
P14866,P05787,0.0007229214285894956
P14866,P07339,0.008124530180353284
P14866,P13667,0.019019554961767673
P14866,P14174,0.004102135939034207
P14866,P14314,0.02090780625322305
P14866,P17174,0.018790578766771548
P14866,P22061,0.04170703264480528
P14866,P23284,0.03736765152602799
P14866,P31949,0.012114772278224868
P14866,P40939,0.06975654440561091
P14866,P50579,0.02200573850286155
P14866,P60903,0.0497138333761701
P14866,P62854,0.10438481374197991
P14866,P62888,0.046990994605461384
P14866,Q01518,0.13272820217821207
P14866,Q02790,0.03754032767973156
P14866,Q13200,0.01292732100550922
P14866,Q16629,0.014061438952524635
P14866,Q6NYC8,0.013314508976019315
P14866,Q92804,0.015105022996310972
P14866,Q96AC1,0.024730691443615435
P14866,Q99439,0.037138218987625364
P14866,Q99460,0.012698707821139408
