"","ctr_1","ctr_2","ctr_3","ctr_4","ctr_7","ctr_8","ctr_9","mg_1","mg_2","mg_3","mg_4","mg_7","mg_8","mg_9"
"O43747",7.22563776997999,7.22836575184045,7.20674071539797,7.01464797737038,7.06889113611399,6.93921381843527,7.03606451666346,7.24273610082584,7.18678930229354,7.2538464826641,6.96968651172742,7.16051851252975,7.79560982290163,7.29698259081079
"O43776",8.09048575056481,7.94828319727727,7.74588645717759,7.84048697812505,7.79262440463072,7.65882315594922,7.39855831675881,8.01696984361368,7.99446739361348,7.89733180386467,7.97451523234962,7.84941451421458,7.3781197145017,6.98250544680246
"O43795",7.24636499623919,7.30354944115656,7.14656781002934,6.96509308925843,7.14166375471264,7.06033513502572,7.79341505321613,7.62074344399985,7.4434874996373,7.20001949721514,7.12920850336426,7.44905304611921,7.79560982290163,7.11092748168051
"O43809",7.60824062993767,7.66620014739651,7.49268418300359,7.34058203203933,7.06371053997164,7.33589621378379,7.79341505321613,7.44768126762922,7.63355139936022,7.67225657700601,7.29587984974016,7.10443217200239,7.79560982290163,7.12567298505366
"O43852",9.16486524276975,9.1881985475662,9.27404310238581,9.17714793523047,8.97416361000667,8.41202588727653,8.65980156385146,9.00335234331255,9.08657258484359,9.22106346136571,9.29435038106404,9.10061973147006,8.93535368064579,9.06717098263768
"O43865",6.9846326904809,6.90254853467993,7.24110097347657,6.67935198079856,6.87824830764625,6.4009088797711,6.80733214343124,7.25673221236942,6.85445337143412,6.75449122928825,6.73475492925325,6.78098282349,6.63585437293112,6.93900992639869
"O60443",7.34947322165715,7.20176193032066,7.31798985044656,7.36373265296366,7.5372342213592,7.27687121864005,7.79341505321613,7.5113427516059,7.26363076723582,7.35622922984201,7.38635559075371,7.01882669741895,6.88215763883424,7.35104743028563
"O60488",7.80910573110714,7.74694327977628,7.56262155813112,7.54081223215422,7.52418952574568,7.44156668840627,7.3274626264433,7.7519999003973,7.66904082623216,7.58147262876081,7.41409136302385,7.31968822664793,7.37570906915096,7.55067408463216
"O60493",7.39973315740329,7.4339737685993,7.38047278971228,7.17074837494567,7.30935648644999,7.35298185503539,7.46720400732871,7.43419465825302,7.24963974189622,7.38815822906841,6.91661989829439,7.23701361523243,7.2547567383572,7.2998714912301
"O60506",8.86111528922049,8.8638648941209,8.76806931321173,8.69338077140608,8.30783199836106,7.93829068912045,7.80253940630618,8.77643029039688,8.80806475009442,8.79632962782819,8.67611903897316,8.28676605850577,7.74064664414285,8.28648081030872
"O60568",7.59977615901613,7.62373815322741,7.51631645923088,7.4375895668071,7.43963034569022,7.35379252604888,7.07782922364024,7.29963795220437,7.70812289105284,7.52449565122081,7.59448191525637,7.48180768691514,7.13003519540925,7.33116432174292
"O60664",8.90156046784914,8.90919711230384,8.97082598748162,8.89665067916985,8.66820601718005,8.68021588848981,7.90632465807432,8.85064218267331,8.82423428167068,8.88294217859335,8.91423726925454,8.6583782125538,8.25131075313343,8.78365417010565
"O60701",8.70774833187718,8.56656194542572,8.69144839105418,8.47075910735376,8.40945962125352,8.22617865639508,7.72649262547894,8.71120976171766,8.60394801838999,8.60176903367373,8.54278103784534,8.394936341177,7.8658811902193,8.16358959233705
"O60711",7.35535450120889,7.39002294348785,7.30570817390004,7.40018635891871,7.35283716922804,7.20255227464051,7.79341505321613,7.3745210583565,7.38862332506194,7.46645871491913,7.47666993427853,7.71529691922944,7.79560982290163,7.64148777924653
"O60716",7.81566838398091,7.80383510484992,7.72779266653712,7.5781548205199,7.50877553388679,7.38669668060179,7.25140124783455,7.77940141391392,7.76201799917823,7.73868366983998,7.69939176092509,7.3248952336386,7.06301789126042,7.2702869208578
"O60763",8.23611459146743,8.12639066505104,7.9607054695447,7.62739587872854,7.96404673492282,7.90953409458047,6.9331254249697,7.98264046257185,7.42324790060791,8.08917015552101,8.14411728975472,7.84036282266342,6.95089786462833,7.84833835785599
"O60784",7.31401409223111,7.37336312516158,7.28273046114471,7.37670794744503,7.38874745934827,7.43737015886683,7.14045604579361,7.20142636303692,7.25958098699011,7.44349089108852,7.47904092488764,7.32813699076534,7.25323399732739,7.3313479079489
"O60832",7.09616383210377,7.10734940235685,7.19592527618524,7.08016167521293,7.00755914424289,7.104493597987,7.79341505321613,6.91692886146871,7.15571954710437,6.98652102403549,7.03180271384114,7.0279700462201,7.79560982290163,7.00270723656704
"O60841",7.6752146844473,7.78897687831126,7.63252245237052,7.41488344680746,7.31118906186982,7.37102233296345,7.27610801057483,7.63329712436701,7.75155089050236,7.71668311474862,7.52498556986945,7.45117138977751,7.01751660712315,7.37774069977646
"O60869",7.70710370172807,7.62323427165891,7.63041706035535,7.73527736435308,7.2449219658967,7.42529394479245,7.05930015605646,7.66081572681192,7.48162040993341,7.55107430829231,7.34808537656048,7.22848936947635,7.07115530263666,7.42013385964543
"O60888",7.51895902698653,7.45867699570596,7.65721414821229,7.83778487392252,7.5639459849117,7.47147385297457,7.28745041658101,7.65727853415298,7.64167129450585,7.6759772140642,7.71254205052803,7.60874127298225,7.31341300461491,7.51502621309938
"O60925",7.31294552883393,7.40220776209489,7.71872911704518,7.53765775286424,7.61302919799348,7.41838605357102,7.27553618222468,7.54297520298814,7.5357971915505,7.6322283275141,7.59030931011897,7.67374093966205,7.08795683463053,7.72210196827471
"O75083",9.13154400875873,9.11356925960021,9.15072593147932,8.93714129245027,8.74393260154902,8.73035705018261,8.4668405917288,9.02618681812068,9.10171588607073,9.06421735494441,9.13433597718952,8.76561202412796,8.46373040558629,8.67297731013419
"O75131",7.81764266695496,7.70581377824052,7.39244068597925,7.47890931082039,7.31279203694895,7.42893317730688,7.79341505321613,7.80420556047058,7.72155661814563,7.57481239506723,7.50950696882497,7.05889927243868,7.79560982290163,7.21060206515435
"O75340",7.53636443164651,7.42317752487157,7.6124766573985,7.30247195568028,7.34260179271558,7.38051323853704,7.79341505321613,7.37512046719928,7.41604624327451,7.44977780393892,7.47873680110413,7.33790479898778,7.13233705031221,7.31185141106181
"O75347",8.17148353161783,8.19937871143268,8.26478146103904,8.4442699872447,8.01684651843897,7.77654258708062,8.03362882332194,8.17371877674801,8.15455449712095,8.37851552357089,8.08365020332943,7.87340192592826,7.81030837865902,7.98648001962828
"O75348",7.3078503660735,7.2298515503187,7.17850413909101,7.19256610023106,7.23781823800153,7.0370723287137,6.73427143045417,7.43776387099712,6.93141353647793,7.2071108686446,7.42197315653366,7.02202071648791,6.80954159585673,7.45068489419026
"O75367",7.52458298225164,7.89450218295677,7.68675719255322,7.49254464925124,7.33731262882974,7.302706867015,7.23921071916064,7.80240326332926,7.79991152321147,7.68961943697868,7.57486863338318,7.42669360798489,7.23392981494044,7.29454034218206
"O75368",7.60720231189112,7.41232525995127,7.67572757524804,7.61037540339199,7.74205692779885,7.71739642912439,7.34592305461646,7.4612497038224,7.63469168436834,7.73320188104924,7.70288121418728,7.72005179092054,7.38629972122183,7.50494362804223
"O75369",9.42788622121845,9.36420468431909,9.30328948353031,9.16914898860279,9.19818228255764,9.22063125451041,8.89773774554949,9.36939844567901,9.35542822033749,9.27535049756073,9.20064418827237,9.10534091049507,8.85828123463489,9.14712815689786
"O75390",7.88366325966708,7.58679137360311,7.87453932217265,7.90018031995483,7.78727986821633,7.46614244467851,7.37341937728089,7.87206632825911,7.57613240041333,7.55615694403399,7.97265253588041,7.84412785479158,7.34170277704411,7.70495215314257
"O75396",7.38173286421187,7.75099380845622,7.21748323158599,7.1590626439965,7.30036499155017,7.51969869658793,7.34271997669248,7.2342722669525,6.9193736893502,7.13125875171301,7.19319108819722,7.27776510757687,7.25878205103197,7.27859270346017
"O75489",7.16045084154611,7.30308207461368,7.28319071814873,7.14013615476435,7.28360037063962,7.51115002140953,6.9354609697195,7.15796594570803,7.26898278638592,7.29987094610048,7.36846509461928,7.22141465761659,6.84562930181646,7.11539113636045
"O75506",7.31288259204214,7.48747647286573,7.72387374090483,7.3625443207402,7.12642179404165,7.61036348609938,7.79341505321613,7.38915171527745,7.41516914737294,7.49234186710366,7.60323163041421,7.20855989991856,6.7184598957964,6.76176230054808
"O75521",8.14264189749889,8.24384938465441,8.10887817423316,7.69999403013329,7.29850962118293,7.48624697347191,7.36092730865883,7.95595023053125,8.02400704193754,7.91392432233619,7.88666960248607,7.42442827098527,7.44125117441905,7.0624563138372
"O75531",7.82328405130147,7.95977824956901,8.0202692072242,7.6323186211918,7.61356399124234,7.68518069164186,7.30877763932071,7.58820641054572,7.43708862090884,8.00984918110293,7.99645241053238,7.77514712286694,7.42197679783994,7.33113006164082
"O75533",8.01368812007045,8.13777292654444,7.97567226029092,7.12807499553137,6.56905842126152,7.05655583699437,7.79341505321613,8.02708220025355,8.05156881333176,7.44142122753309,7.47829713814858,6.45268179944661,7.15420193320596,6.638609165568
"O75534",7.88677808521106,7.79418261417599,7.80207110229469,7.77213059305015,6.8023043112634,7.48491990863594,7.79341505321613,7.68260698424403,7.76802002973916,7.74812033532362,7.55298271940236,7.39271523576768,7.2324396529653,7.22847196411699
"O75643",7.84725283622078,7.9405954058136,7.71101969275522,7.66168849528404,7.36359831449709,7.47484669813228,7.25103159476441,7.86038968566689,7.76622237846981,7.61202834693951,7.63961208954124,7.52251899131044,7.15420193320596,7.39106588616501
"O75694",7.27341532856254,7.74116049335191,7.15512175767556,6.78444118315841,7.14204091804679,7.25171047554968,7.34271997669248,7.14693978218203,7.21138967602659,7.15689239904373,7.28161615087764,7.20852068944405,6.99640307404324,7.16725608346628
"O75718",7.62600877565832,7.58539596946664,7.55938692956346,7.40550340387781,7.34624961472736,7.2757762917212,7.79341505321613,7.55275226628151,7.58892594508334,7.3995827701553,7.43293614525226,7.39650363895679,7.13080504546741,7.39875757874965
"O75822",7.27131227985837,7.50528879930349,7.31660229612091,7.26944155728224,7.06926877301124,7.13702506015907,7.79341505321613,7.30211942844516,7.31732767971288,7.32657129090333,7.25873805110037,7.01370249694908,7.79560982290163,7.26828927069792
"O75874",7.71435162026613,7.85930697350695,7.78367746721155,7.61329536120081,7.93385920500017,8.04170076965972,7.42904763030336,7.79246582071622,7.2041732060852,7.66322168366962,7.80903227706346,8.10976220576148,7.48686368214124,8.13573409507451
"O75886",7.16892977374968,7.21112563415937,7.19198650631999,6.9881666136282,7.00378769918807,6.86121712062011,6.9354609697195,7.01389160991062,7.21975941939222,7.26437281445889,7.16623757686786,7.07673161197221,6.84562930181646,7.04832459850241
"O75955",7.00882475358542,7.0478018323239,6.84878405165446,6.86723195301698,7.82126878896399,6.76989398175009,7.79341505321613,6.9897399513485,7.00812377310541,6.95168661588216,6.88606031239171,6.50360677697264,7.79560982290163,6.80952460551941
"O76003",7.81106832331097,7.72472110410996,7.85839808751126,7.3681511995278,7.30529125517478,7.40268484118171,7.37955958375723,7.70588086767408,7.72537210783855,7.73267234333852,7.70264809487834,7.66322168366962,7.24712648945766,7.19685645745947
"O76021",7.59737757788256,7.81007515477427,7.70109410412338,7.66106539484071,7.17125712167248,7.45820541500555,7.27626067223796,7.63991792139014,7.80687752262997,7.65025269398216,7.67250726515187,7.29764898055704,7.01742587028765,7.31848327513392
"O76094",7.30121237716468,7.27127950414635,7.32497782762691,7.47808823200535,7.50054590641003,7.10652411724025,7.79341505321613,7.40619108521892,7.53114680582061,7.43733222854912,7.2806874795072,7.61600081253647,6.92408646180763,7.24399934554985
"O94760",7.15903368259074,7.40064606642752,7.58995196660388,7.46714158582544,7.0825675725859,7.3094822843738,7.09183552882702,7.36540363174966,7.29128460589195,7.38069128170314,7.48489619839159,7.24661046475973,7.42039622263112,7.13581176605327
"O94808",8.14240367852855,7.90707882813177,7.5448140229334,7.17393276548657,6.79201096851263,6.89479746929094,6.60748004191208,7.95284591276853,7.55951597718816,7.13337328543815,7.14140296321308,6.40267479758455,7.79560982290163,6.99551066251449
"O94855",7.87464783161709,7.6945880986202,7.62758444404889,7.50912119089123,7.39521960403106,7.47572710740597,7.24543975006453,7.76620995257061,7.74908984862204,7.62094571581943,7.70319522233542,7.40310866049844,7.10360391966608,7.35704338186973
"O94925",8.26051702053749,8.20212174463839,8.30753744396391,8.12125172208554,7.6318408049259,7.5731907524487,7.3711302539926,8.09558111083322,8.12669164263136,8.22593505375649,8.30965892727519,7.74741007677469,7.3572487963118,7.84893521325203
"O94979",8.33223369647558,8.11450678120334,8.04760840652196,7.91569232800176,7.86193182425894,7.86059448183262,7.78611633365653,8.27780798003461,8.12702214619118,7.87475831253519,8.00162710708245,7.97308829342561,7.42738841146714,7.78514784670154
"O95182",7.04684064949781,6.87364631972439,7.08316258960061,6.81784323286625,6.87936840179809,6.63315272150752,6.83847353445024,7.30905655758428,7.00375554974218,6.92550389476533,6.44525709077208,6.75723222344549,6.66726217532791,7.11129884719807
"O95336",7.44627882533634,7.34538834889948,7.33696913581047,7.26972188058884,7.67554331395198,7.375739930229,7.79341505321613,7.61799522243449,7.34319277752141,7.25080951612701,7.4880843787802,7.7212515014918,7.79560982290163,7.58642203831335
"O95340",8.6494568259836,8.36405570558264,8.45193692660781,8.10359180972389,8.04572470535609,8.00787802024896,7.42233479947865,8.60518000776724,8.44870677259696,8.14415261397934,8.1374415967095,8.00208194366183,7.32656106934889,7.82257403642148
"O95373",8.46477240229738,8.39111250323629,8.29278344137565,8.18949192173747,7.36180452370165,7.81697842567388,7.39946102526146,8.40367235599842,8.34020767410045,8.35138948033068,8.29142772351215,7.86871514607377,7.45489211534616,7.05160501486817
"O95394",7.85528835549954,7.85026915542505,7.64267537694491,7.65240631317134,7.82104818908716,7.37757767281911,7.29951556742469,7.57499457058446,7.40823784450301,7.43322498874641,7.56411101209298,7.46492136040277,7.26015767183312,7.30630752544764
"O95433",8.20715193642324,8.13463876182258,8.03796121287409,8.02304967248954,7.76989981934174,7.6938875206676,7.46749103915243,8.09223689674683,8.01792031007103,8.09294150414181,7.98140516163792,7.84807817442326,7.49302770279824,7.73628720577202
"O95747",6.97969644447457,6.9926112407585,6.9624193519124,6.90060210693062,7.14026484852253,6.91621504640522,7.79341505321613,6.94299688204371,7.06468386814101,7.1076820714629,7.00368225418918,6.68983077059227,7.79560982290163,6.94465897315319
"O95777",7.33399323598746,7.48044997795072,7.50573935320709,7.43869590961292,7.13283141608343,7.21359801020662,7.79341505321613,7.3192758217418,7.55012347169242,7.59569607075978,7.622457309579,7.19654867409913,7.79560982290163,7.09360363709306
